instance cp2016 incmc2 incmc2o1 incmc2o2
mcs30_b03_s50_AB01 X X X X
mcs30_b03_s50_AB02 X X X X
mcs30_b03_s50_AB03 X X X X
mcs30_b03_s50_AB04 X X X X
mcs30_b03_s50_AB05 X X X X
mcs30_b03_s50_AB06 X X X X
mcs30_b03_s50_AB07 X X X X
mcs30_b03_s50_AB08 X X X X
mcs30_b03_s50_AB09 X X X X
mcs30_b03m_s15_AB00 12 12 12 12
mcs30_b03m_s15_AB01 11 11 11 11
mcs30_b03m_s15_AB02 11 11 11 11
mcs30_b03m_s15_AB03 12 12 12 12
mcs30_b03m_s15_AB04 11 11 11 11
mcs30_b03m_s15_AB05 12 12 12 12
mcs30_b03m_s15_AB06 11 11 11 11
mcs30_b03m_s15_AB07 11 11 11 11
mcs30_b03m_s15_AB08 11 11 11 11
mcs30_b03m_s15_AB09 12 12 12 12
mcs30_b03m_s20_AB00 15 15 15 15
mcs30_b03m_s20_AB01 15 15 15 15
mcs30_b03m_s20_AB02 15 15 15 15
mcs30_b03m_s20_AB03 15 15 15 15
mcs30_b03m_s20_AB04 15 15 15 15
mcs30_b03m_s20_AB05 15 15 15 15
mcs30_b03m_s20_AB06 15 15 15 15
mcs30_b03m_s20_AB07 16 16 16 16
mcs30_b03m_s20_AB08 15 15 15 15
mcs30_b03m_s20_AB09 15 15 15 15
mcs30_b03m_s25_AB00 20 20 X 20
mcs30_b03m_s25_AB01 19 19 X 19
mcs30_b03m_s25_AB02 19 19 X 19
mcs30_b03m_s25_AB03 19 19 X 19
mcs30_b03m_s25_AB04 19 19 X 19
mcs30_b03m_s25_AB05 19 19 X 19
mcs30_b03m_s25_AB06 19 19 19 19
mcs30_b03m_s25_AB07 19 19 19 19
mcs30_b03m_s25_AB08 19 19 X 19
mcs30_b03m_s25_AB09 19 19 X 19
mcs30_b03m_s30_AB00 23 X X X
mcs30_b03m_s30_AB01 23 X X X
mcs30_b03m_s30_AB02 23 X X X
mcs30_b03m_s30_AB03 23 X X X
mcs30_b03m_s30_AB04 23 X X X
mcs30_b03m_s30_AB05 23 X X X
mcs30_b03m_s30_AB06 23 X X X
mcs30_b03m_s30_AB07 23 X X X
mcs30_b03m_s30_AB08 23 X X X
mcs30_b03m_s30_AB09 23 X X X
mcs30_b03m_s35_AB00 X X X X
mcs30_b03m_s35_AB01 X X X X
mcs30_b03m_s35_AB02 X X X X
mcs30_b03m_s35_AB03 X X X X
mcs30_b03m_s35_AB04 X X X X
mcs30_b03m_s35_AB05 X X X X
mcs30_b03m_s35_AB06 X X X X
mcs30_b03m_s35_AB07 X X X X
mcs30_b03m_s35_AB08 X X X X
mcs30_b03m_s35_AB09 X X X X
mcs30_b03m_s40_AB00 X X X X
mcs30_b03m_s40_AB01 X X X X
mcs30_b03m_s40_AB02 X X X X
mcs30_b03m_s40_AB03 X X X X
mcs30_b03m_s40_AB04 X X X X
mcs30_b03m_s40_AB05 X X X X
mcs30_b03m_s40_AB06 X X X X
mcs30_b03m_s40_AB07 X X X X
mcs30_b03m_s40_AB08 X X X X
mcs30_b03m_s40_AB09 X X X X
mcs30_b03m_s50_AB00 X X X X
mcs30_b03m_s50_AB01 X X X X
mcs30_b03m_s50_AB02 X X X X
mcs30_b03m_s50_AB03 X X X X
mcs30_b03m_s50_AB04 X X X X
mcs30_b03m_s50_AB05 X X X X
mcs30_b03m_s50_AB06 X X X X
mcs30_b03m_s50_AB07 X X X X
mcs30_b03m_s50_AB08 X X X X
mcs30_b03m_s50_AB09 X X X X
mcs30_b06_s25_AB00 16 16 16 16
mcs30_b06_s25_AB01 16 16 16 16
mcs30_b06_s25_AB02 16 16 16 16
mcs30_b06_s25_AB03 16 16 16 16
mcs30_b06_s25_AB04 16 16 16 16
mcs30_b06_s25_AB05 16 16 16 16
mcs30_b06_s25_AB06 16 16 16 16
mcs30_b06_s25_AB07 16 16 16 16
mcs30_b06_s25_AB08 15 15 15 15
mcs30_b06_s25_AB09 17 17 17 17
mcs30_b06_s30_AB00 18 X 18 X
mcs30_b06_s30_AB01 19 X 19 X
mcs30_b06_s30_AB02 18 18 18 18
mcs30_b06_s30_AB03 19 19 19 19
mcs30_b06_s30_AB04 19 X 19 X
mcs30_b06_s30_AB05 18 X 18 X
mcs30_b06_s30_AB06 19 X 19 X
mcs30_b06_s30_AB07 18 X 18 X
mcs30_b06_s30_AB08 18 18 18 18
mcs30_b06_s30_AB09 19 X 19 X
mcs30_b06_s35_AB00 X X X X
mcs30_b06_s35_AB01 X X X X
mcs30_b06_s35_AB02 X X X X
mcs30_b06_s35_AB03 X X X X
mcs30_b06_s35_AB04 X X X X
mcs30_b06_s35_AB05 X X X X
mcs30_b06_s35_AB06 X X X X
mcs30_b06_s35_AB07 X X X X
mcs30_b06_s35_AB08 X X X X
mcs30_b06_s35_AB09 X X X X
mcs30_b06_s40_AB00 X X X X
mcs30_b06_s40_AB01 X X X X
mcs30_b06_s40_AB02 X X X X
mcs30_b06_s40_AB03 X X X X
mcs30_b06_s40_AB04 X X X X
mcs30_b06_s40_AB05 X X X X
mcs30_b06_s40_AB06 X X X X
mcs30_b06_s40_AB07 X X X X
mcs30_b06_s40_AB08 X X X X
mcs30_b06_s40_AB09 X X X X
mcs30_b06_s50_AB00 X X X X
mcs30_b06_s50_AB01 X X X X
mcs30_b06_s50_AB02 X X X X
mcs30_b06_s50_AB03 X X X X
mcs30_b06_s50_AB04 X X X X
mcs30_b06_s50_AB05 X X X X
mcs30_b06_s50_AB06 X X X X
mcs30_b06_s50_AB07 X X X X
mcs30_b06_s50_AB08 X X X X
mcs30_b06_s50_AB09 X X X X
mcs30_b06m_s25_AB00 16 16 16 16
mcs30_b06m_s25_AB01 16 16 16 16
mcs30_b06m_s25_AB02 16 16 16 16
mcs30_b06m_s25_AB03 16 16 16 16
mcs30_b06m_s25_AB04 16 16 16 16
mcs30_b06m_s25_AB05 16 16 16 16
mcs30_b06m_s25_AB06 15 15 15 15
mcs30_b06m_s25_AB07 16 16 16 16
mcs30_b06m_s25_AB08 16 16 16 16
mcs30_b06m_s25_AB09 16 16 16 16
mcs30_b06m_s30_AB00 19 X 19 X
mcs30_b06m_s30_AB01 18 X 18 X
mcs30_b06m_s30_AB02 19 19 X 19
mcs30_b06m_s30_AB03 18 X 18 X
mcs30_b06m_s30_AB04 19 X 19 X
mcs30_b06m_s30_AB05 19 X 19 X
mcs30_b06m_s30_AB06 19 X 19 X
mcs30_b06m_s30_AB07 19 X 19 X
mcs30_b06m_s30_AB08 19 X X X
mcs30_b06m_s30_AB09 18 X 18 X
mcs30_b06m_s35_AB00 X X X X
mcs30_b06m_s35_AB01 X X X X
mcs30_b06m_s35_AB02 X X X X
mcs30_b06m_s35_AB03 X X X X
mcs30_b06m_s35_AB04 X X X X
mcs30_b06m_s35_AB05 X X X X
mcs30_b06m_s35_AB06 X X X X
mcs30_b06m_s35_AB07 X X X X
mcs30_b06m_s35_AB08 X X X X
mcs30_b06m_s35_AB09 X X X X
mcs30_b06m_s40_AB00 X X X X
mcs30_b06m_s40_AB01 X X X X
mcs30_b06m_s40_AB02 X X X X
mcs30_b06m_s40_AB03 X X X X
mcs30_b06m_s40_AB04 X X X X
mcs30_b06m_s40_AB05 X X X X
mcs30_b06m_s40_AB06 X X X X
mcs30_b06m_s40_AB07 X X X X
mcs30_b06m_s40_AB08 X X X X
mcs30_b06m_s40_AB09 X X X X
mcs30_b06m_s50_AB00 X X X X
mcs30_b06m_s50_AB01 X X X X
mcs30_b06m_s50_AB02 X X X X
mcs30_b06m_s50_AB03 X X X X
mcs30_b06m_s50_AB04 X X X X
mcs30_b06m_s50_AB05 X X X X
mcs30_b06m_s50_AB06 X X X X
mcs30_b06m_s50_AB07 X X X X
mcs30_b06m_s50_AB08 X X X X
mcs30_b06m_s50_AB09 X X X X
mcs30_b09_s35_AB00 X X X X
mcs30_b09_s35_AB01 X X X X
mcs30_b09_s35_AB02 X X X X
mcs30_b09_s35_AB03 X X X X
mcs30_b09_s35_AB04 X X X X
mcs30_b09_s35_AB05 X X X X
mcs30_b09_s35_AB06 X X X X
mcs30_b09_s35_AB07 X X X 20
mcs30_b09_s35_AB08 X X X X
mcs30_b09_s35_AB09 X X X X
mcs30_b09_s40_AB00 X X X X
mcs30_b09_s40_AB01 X X X X
mcs30_b09_s40_AB02 X X X X
mcs30_b09_s40_AB03 X X X X
mcs30_b09_s40_AB04 X X X X
mcs30_b09_s40_AB05 X X X X
mcs30_b09_s40_AB06 X X X X
mcs30_b09_s40_AB07 X X X X
mcs30_b09_s40_AB08 X X X X
mcs30_b09_s40_AB09 X X X X
mcs30_b09_s50_AB00 X X X X
mcs30_b09_s50_AB01 X X X X
