instance cp2016 incmc2 incmc2o1 incmc2o2
mcs30_b03m_s35_AB01 1000000 1000000 1000000 1000000
mcs30_b03m_s35_AB02 1000000 1000000 1000000 1000000
mcs30_b03m_s35_AB03 1000000 1000000 1000000 1000000
mcs30_b03m_s35_AB04 1000000 1000000 1000000 1000000
mcs30_b03m_s35_AB05 1000000 1000000 1000000 1000000
mcs30_b03m_s35_AB06 1000000 1000000 1000000 1000000
mcs30_b03m_s35_AB07 1000000 1000000 1000000 1000000
mcs30_b03m_s35_AB08 1000000 1000000 1000000 1000000
mcs30_b03m_s35_AB09 1000000 1000000 1000000 1000000
mcs30_b03m_s40_AB00 1000000 1000000 1000000 1000000
mcs30_b03m_s40_AB01 1000000 1000000 1000000 1000000
mcs30_b03m_s40_AB02 1000000 1000000 1000000 1000000
mcs30_b03m_s40_AB03 1000000 1000000 1000000 1000000
mcs30_b03m_s40_AB04 1000000 1000000 1000000 1000000
mcs30_b03m_s40_AB05 1000000 1000000 1000000 1000000
mcs30_b03m_s40_AB06 1000000 1000000 1000000 1000000
mcs30_b03m_s40_AB07 1000000 1000000 1000000 1000000
mcs30_b03m_s40_AB08 1000000 1000000 1000000 1000000
mcs30_b03m_s40_AB09 1000000 1000000 1000000 1000000
mcs30_b03m_s50_AB00 1000000 1000000 1000000 1000000
mcs30_b03m_s50_AB01 1000000 1000000 1000000 1000000
mcs30_b03m_s50_AB02 1000000 1000000 1000000 1000000
mcs30_b03m_s50_AB03 1000000 1000000 1000000 1000000
mcs30_b03m_s50_AB04 1000000 1000000 1000000 1000000
mcs30_b03m_s50_AB05 1000000 1000000 1000000 1000000
mcs30_b03m_s50_AB06 1000000 1000000 1000000 1000000
mcs30_b03m_s50_AB07 1000000 1000000 1000000 1000000
mcs30_b03m_s50_AB08 1000000 1000000 1000000 1000000
mcs30_b03m_s50_AB09 1000000 1000000 1000000 1000000
mcs30_b06_s25_AB00 4202 6004 6081 4922
mcs30_b06_s25_AB01 1699 4667 4656 8903
mcs30_b06_s25_AB02 2960 7610 7594 13661
mcs30_b06_s25_AB03 4495 8274 8277 7142
mcs30_b06_s25_AB04 4830 7880 7879 5563
mcs30_b06_s25_AB05 4688 8002 8026 5579
mcs30_b06_s25_AB06 3090 5264 5278 4500
mcs30_b06_s25_AB07 4780 5908 5949 3580
mcs30_b06_s25_AB08 6499 7915 7925 2705
mcs30_b06_s25_AB09 2207 3935 3943 5679
mcs30_b06_s30_AB00 413292 1000000 296033 1000000
mcs30_b06_s30_AB01 237122 1000000 124104 1000000
mcs30_b06_s30_AB02 66200 801779 88998 802889
mcs30_b06_s30_AB03 94000 1000000 215241 1000000
mcs30_b06_s30_AB04 137180 1000000 112184 1000000
