instance cp2016 incmc2 incmc2o1 incmc2o2
mcs10_m2Dr6_s70_AB07 28 28 28 28
mcs10_m2Dr6_s70_AB08 27 27 27 27
mcs10_m2Dr6_s70_AB09 26 26 26 26
mcs10_m2Dr6_s80_AB00 X 30 30 30
mcs10_m2Dr6_s80_AB01 X X X 32
mcs10_m2Dr6_s80_AB02 X 34 X 34
mcs10_m2Dr6_s80_AB03 33 X 33 X
mcs10_m2Dr6_s80_AB04 X X X X
mcs10_m2Dr6_s80_AB05 X X X 31
mcs10_m2Dr6_s80_AB06 X 31 31 31
mcs10_m2Dr6_s80_AB07 X 32 32 32
mcs10_m2Dr6_s80_AB08 X X X X
mcs10_m2Dr6_s80_AB09 X X X X
mcs10_m2Dr6_s90_AB00 X X X X
mcs10_m2Dr6_s90_AB01 X X X X
mcs10_m2Dr6_s90_AB02 X X X X
mcs10_m2Dr6_s90_AB03 X X X X
mcs10_m2Dr6_s90_AB04 X 34 X 34
mcs10_m2Dr6_s90_AB05 X X X X
mcs10_m2Dr6_s90_AB06 X X X X
mcs10_m2Dr6_s90_AB07 X X X X
mcs10_m2Dr6_s90_AB08 X X X X
mcs10_m2Dr6_s90_AB09 X X X X
mcs10_m3D_s100_AB00 37 37 37 37
mcs10_m3D_s100_AB01 X 36 36 36
mcs10_m3D_s100_AB02 36 36 36 36
mcs10_m3D_s100_AB03 X 35 35 35
mcs10_m3D_s100_AB04 X 36 36 36
mcs10_m3D_s100_AB05 38 38 38 38
mcs10_m3D_s100_AB06 X 35 35 35
mcs10_m3D_s100_AB07 36 36 36 36
mcs10_m3D_s100_AB08 37 37 37 37
mcs10_m3D_s100_AB09 X 36 36 36
mcs10_m3D_s60_AB00 23 23 23 23
mcs10_m3D_s60_AB01 22 22 22 22
mcs10_m3D_s60_AB02 25 25 25 25
mcs10_m3D_s60_AB03 22 22 22 22
mcs10_m3D_s60_AB04 22 22 22 22
mcs10_m3D_s60_AB05 22 22 22 22
mcs10_m3D_s60_AB06 24 24 24 24
mcs10_m3D_s60_AB07 23 23 23 23
mcs10_m3D_s60_AB08 24 24 24 24
mcs10_m3D_s60_AB09 22 22 22 22
mcs10_m3D_s70_AB00 29 29 29 29
mcs10_m3D_s70_AB01 27 27 27 27
mcs10_m3D_s70_AB02 27 27 27 27
mcs10_m3D_s70_AB03 27 27 27 27
mcs10_m3D_s70_AB04 27 27 27 27
mcs10_m3D_s70_AB05 27 27 27 27
mcs10_m3D_s70_AB06 27 27 27 27
mcs10_m3D_s70_AB07 28 28 28 28
mcs10_m3D_s70_AB08 X 28 28 28
mcs10_m3D_s70_AB09 28 28 28 28
mcs10_m3D_s80_AB00 X X 31 X
mcs10_m3D_s80_AB01 X X X X
mcs10_m3D_s80_AB02 X X X X
mcs10_m3D_s80_AB03 X 31 X 31
mcs10_m3D_s80_AB04 X 32 X 32
mcs10_m3D_s80_AB05 X X X X
mcs10_m3D_s80_AB06 X X X X
mcs10_m3D_s80_AB07 X X X X
mcs10_m3D_s80_AB08 29 29 29 29
mcs10_m3D_s80_AB09 X X X X
mcs10_m3D_s90_AB00 X X X X
mcs10_m3D_s90_AB01 X X X X
mcs10_m3D_s90_AB02 X X X X
mcs10_m3D_s90_AB03 X X X X
mcs10_m3D_s90_AB04 X X X X
mcs10_m3D_s90_AB05 X X X X
mcs10_m3D_s90_AB06 X X X X
mcs10_m3D_s90_AB07 X X X X
mcs10_m3D_s90_AB08 X X X X
mcs10_m3D_s90_AB09 X X X X
mcs10_m3Dr2_s100_AB00 35 35 35 35
mcs10_m3Dr2_s100_AB01 X 35 X 35
mcs10_m3Dr2_s100_AB02 X X 38 X
mcs10_m3Dr2_s100_AB03 X 34 34 34
mcs10_m3Dr2_s100_AB04 34 34 34 34
mcs10_m3Dr2_s100_AB05 34 34 34 34
mcs10_m3Dr2_s100_AB06 X 31 31 31
mcs10_m3Dr2_s100_AB07 35 35 35 35
mcs10_m3Dr2_s100_AB08 X 35 35 35
mcs10_m3Dr2_s100_AB09 X 36 36 36
mcs10_m3Dr2_s60_AB00 23 23 23 23
mcs10_m3Dr2_s60_AB01 21 21 21 21
mcs10_m3Dr2_s60_AB02 25 25 25 25
mcs10_m3Dr2_s60_AB03 22 22 22 22
mcs10_m3Dr2_s60_AB04 23 23 23 23
mcs10_m3Dr2_s60_AB05 21 21 21 21
mcs10_m3Dr2_s60_AB06 23 23 23 23
mcs10_m3Dr2_s60_AB07 21 21 21 21
mcs10_m3Dr2_s60_AB08 22 22 22 22
mcs10_m3Dr2_s60_AB09 21 21 21 21
mcs10_m3Dr2_s70_AB00 27 27 27 27
mcs10_m3Dr2_s70_AB01 28 28 28 28
mcs10_m3Dr2_s70_AB02 27 27 27 27
mcs10_m3Dr2_s70_AB03 25 25 25 25
mcs10_m3Dr2_s70_AB04 26 26 26 26
mcs10_m3Dr2_s70_AB05 26 26 26 26
mcs10_m3Dr2_s70_AB06 25 25 25 25
mcs10_m3Dr2_s70_AB07 27 27 27 27
mcs10_m3Dr2_s70_AB08 26 26 26 26
mcs10_m3Dr2_s70_AB09 26 26 26 26
mcs10_m3Dr2_s80_AB00 X X X X
mcs10_m3Dr2_s80_AB01 29 29 29 29
mcs10_m3Dr2_s80_AB02 X X X X
mcs10_m3Dr2_s80_AB03 X 30 X 30
