instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped
r-755 24 0.115942 24 0.108696 215982 460691 215982 329753 420457 242270 482010 242270 999136 2148506 999136
r-745 24 0.731884 24 0.974638 719209 119844959 719209 81791224 6058433 907661 143093512 907661 5925857 108130773 5925857
r-569 24 0.0181159 24 0.884058 11557 1198 1198 10269 973 20797 6145 6145 12774 4314 4314
r-220 24 0.641304 24 0.637681 2810401 2142073 2142073 2932265 1899837 4864656 3653006 3653006 2923038 2724357 2724357
r-268 24 0.518116 24 0.112319 116811 384764 116811 244901 223625 172589 564568 172589 192516 431267 192516
r-141 24 0.5 24 0.822464 152905 467596 152905 379464 308147 214306 662369 214306 244166 665935 244166
r-337 24 0.184783 24 0.315217 1580701 619124 619124 1321967 728399 2454114 881200 881200 1831059 1200861 1200861
r-886 24 0.721014 24 0.949275 62382 8365933 62382 5182422 909018 64719 9976586 64719 430704 9387474 430704
r-660 24 0.710145 24 0.278986 87799 185736 87799 138041 130476 123629 278932 123629 199807 263694 199807
r-371 24 0.405797 24 0.637681 1052362 1432629 1052362 1512826 1144990 1602763 2334811 1602763 1475817 1848850 1475817
r-951 24 0.952899 24 0.199275 22336 1523 1523 12708 982 46748 5198 5198 15685 5251 5251
r-955 24 0.188406 24 0.742754 50599 48981 48981 51484 30997 53815 66706 66706 61749 73428 73428
r-365 24 0.858696 24 0.286232 77980 42579 42579 84371 24565 109305 53130 53130 104812 60637 60637
r-610 24 0.0724638 24 0.876812 11907 6384 6384 10223 3766 20693 11876 11876 19908 11602 11602
r-24 24 0.855072 24 0.431159 330744 173492 173492 382798 104871 487742 264303 264303 450463 274162 274162
r-29 24 0.655797 24 0.184783 115169 133106 115169 134817 95177 164910 203427 164910 105667 209903 105667
r-707 24 0.347826 24 0.173913 189311 676770 189311 424945 520233 250160 1060296 250160 342796 585260 342796
r-60 24 0.423913 24 0.789855 173055 281179 173055 337719 188362 232810 399245 232810 344670 274847 344670
r-860 24 0.195652 24 0.431159 1054162 334974 334974 948439 420784 1903675 515649 515649 829163 581839 581839
