instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped-D mcsplit-smart-swapped-O mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped-D mcsplit-b-smart-swapped-O mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped-D mcsplit-nosort-smart-swapped-O
r-654 31 0.733333 21 0.728571 1791658 335115 335115 335115 1884730 348449 2815310 468868 468868 468868 1514804 1978156 1978156 1978156
r-961 31 0.716129 24 0 624 412800 624 412800 18603 55778 1108 574150 1108 574150 2928 407655 2928 407655
r-937 48 0.35461 41 0.315854 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-854 21 0.280952 22 0.419913 183926 57106 57106 183926 89136 150506 321069 22367 22367 321069 73040 102286 102286 73040
r-921 40 0.0230769 43 0.594684 4860778 20989 20989 4860778 194648 153019 6658000 25572 25572 6658000 4221644 659866 659866 4221644
r-704 28 0 43 0.874862 18434 57 57 18434 31 5589 36618 769 769 36618 18351 2381 2381 18351
r-116 32 0.913306 32 0.766129 -1 485743 485743 -1 58692836 1612685 -1 593629 593629 -1 -1 1221757 1221757 -1
r-886 32 0.893145 41 0.22561 30101 23917 23917 30101 41719 27111 33522 22351 22351 33522 230043 32866 32866 230043
r-899 32 0.0201613 36 0.55873 3981784 10700 10700 3981784 133689 185419 5035534 15650 15650 5035534 4677470 145544 145544 4677470
r-194 18 0.745098 48 0.453014 1568718 678536 678536 1568718 725661 1527259 2147329 879050 879050 2147329 2733265 1781927 1781927 2733265
r-944 44 0.439746 11 0.872727 14075 42384 14075 42384 18702 40429 17725 49178 17725 49178 62843 53638 62843 53638
r-571 29 0.736453 20 0.889474 48571 178689 48571 178689 77504 158256 53160 205303 53160 205303 920686 724273 920686 724273
r-4 25 0.146667 34 0.229947 17520033 7570857 7570857 17520033 10991517 15921327 24120503 9892791 9892791 24120503 20059838 18009391 18009391 20059838
r-905 14 0.164835 39 0.310391 31153 45102 45102 31153 38509 29975 32129 36869 36869 32129 137501 117268 117268 137501
r-484 49 0.807823 33 0.590909 -1 14012616 14012616 14012616 -1 18968899 -1 21636590 21636590 21636590 -1 -1 -1 -1
r-382 22 0.822511 45 0.956566 24508 5455782 24508 24508 5234737 27199 31609 5741517 31609 31609 731886 19358317 731886 731886
r-580 47 0.79556 20 0.636842 2496564 822410 822410 822410 2526710 915701 3782649 1152309 1152309 1152309 841516 2863923 2863923 2863923
r-372 50 0.417143 41 0.460976 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-442 21 0.271429 28 0.941799 868 8528 868 868 9346 375 436 4339 436 436 19724 9936 19724 19724
r-51 45 0.780808 46 0.87343 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-59 19 0.894737 29 0.214286 3779 771 771 3779 730 2522 5887 270 270 5887 17387 19166 19166 17387
r-995 18 0.235294 21 0.047619 5234 309038 5234 5234 266721 5003 1351 304887 1351 1351 3826 371770 3826 3826
r-219 20 0.4 32 0.530242 1300657 399616 399616 1300657 503641 1152027 2028263 595590 595590 2028263 2254126 2230756 2230756 2254126
r-173 13 0.0641026 33 0.831439 2186 63 63 2186 87 1072 3990 133 133 3990 2357 732 732 2357
r-66 37 0.264264 16 0.266667 329811 91093 91093 91093 337617 100497 427274 107266 107266 107266 255059 127701 127701 127701
r-331 23 0.786561 15 0.409524 4432 1377 1377 1377 4994 916 4734 1537 1537 1537 13126 12944 12944 12944
r-980 17 0.0882353 31 0.0795699 941 10785264 941 941 5358162 953 950 10785130 950 950 15384 115613052 15384 15384
r-392 42 0.813008 49 0.0790816 72451 28338 72451 72451 39967 27963 118091 53772 118091 118091 167144 102885 167144 167144
r-389 30 0.496552 34 0.174688 277270 10822231 277270 277270 8093205 341499 428426 21405031 428426 428426 2883877 6284101 2883877 2883877
r-845 24 0.00362319 38 0.268848 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-785 40 0.0923077 33 0.498106 3632152 530300 530300 530300 3350663 787695 5841487 328127 328127 328127 2267998 3427629 3427629 3427629
r-718 32 0.794355 37 0.0795796 23142 25210 23142 23142 29641 9495 15352 20158 15352 15352 33728 18385 33728 33728
r-583 29 0.652709 47 0.309898 8476664 5141577 8476664 8476664 5989458 8870230 13210069 7750578 13210069 13210069 18002151 18950009 18002151 18002151
r-896 33 0.719697 33 0.683712 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-490 41 0.947561 19 0.128655 1185 1542 1542 1542 1185 1023 1190 2465 2465 2465 1519 5397 5397 5397
r-438 39 0.551957 18 0.222222 44874 682888 44874 682888 86270 535931 33834 849814 33834 849814 1204669 1061640 1204669 1061640
r-232 41 0.607317 48 0.99734 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-970 11 0.945455 13 0.333333 1035 37 37 1035 21 389 1524 86 86 1524 1824 2009 2009 1824
r-560 25 0.823333 22 0.298701 9095 10239 10239 10239 10419 6574 7118 7288 7288 7288 68956 49387 49387 49387
r-514 37 0.566066 14 0.945055 9690 1714975 9690 1714975 45917 1156690 3556 2008175 3556 2008175 232075 1813335 232075 1813335
r-472 44 0.361522 22 0.229437 4476711 32463954 4476711 32463954 5228005 30403373 7174585 50721028 7174585 50721028 27432856 42354101 27432856 42354101
r-440 48 0.541667 27 0.287749 6723422 52950519 6723422 52950519 10158655 41585048 -1 -1 -1 -1 -1 -1 -1 -1
