p	maxlab	i	McSplit	MCSa1	MCSa2	ratio	maxlab_jittered
0.2	10	8	14	11	10	1.1	9.98789399447851
0.2	10	9	9	9	9	1	9.9485165911261
0.2	10	10	10	7	7	1	9.98755189813673
0.2	11	1	15	12	11	1.09090909090909	10.9137922078837
0.2	11	2	14	9	11	0.818181818181818	11.0424050887581
0.2	11	3	11	9	9	1	11.0015187191777
0.2	11	4	14	11	11	1	10.9099209042266
0.2	11	5	11	9	9	1	10.9303773161024
0.2	11	6	10	7	7	1	11.0453457100783
0.2	11	7	11	10	8	1.25	11.0594623776153
0.2	11	8	15	10	10	1	10.9286060406826
0.2	11	9	10	7	9	0.777777777777778	10.9557716351468
0.2	11	10	15	12	12	1	10.9572473398875
0.2	12	1	12	11	11	1	12.0253912230954
0.2	12	2	14	9	10	0.9	12.0184596459847
0.2	12	3	14	9	10	0.9	11.9331304075196
0.2	12	4	9	8	7	1.14285714285714	11.928334462503
0.2	12	5	13	10	11	0.909090909090909	11.9738219911698
0.2	12	6	14	10	11	0.909090909090909	12.0125408139545
0.2	12	7	11	9	8	1.125	12.0018707752693
0.2	12	8	11	9	9	1	12.0275553770829
0.2	12	9	12	8	9	0.888888888888889	12.0617114007473
0.2	12	10	11	7	8	0.875	11.9276416306384
0.2	13	1	11	7	7	1	13.0353115458041
0.2	13	2	13	8	10	0.8	13.0483390605077
0.2	13	3	14	8	10	0.8	13.0561232325155
0.2	13	4	12	9	9	1	13.0759459905792
0.2	13	5	12	9	8	1.125	12.9646511174738
0.2	13	6	12	8	9	0.888888888888889	12.9774654919282
0.2	13	7	13	10	11	0.909090909090909	12.9871294064447
0.2	13	8	15	10	10	1	12.9453515119385
0.2	13	9	9	6	6	1	13.0633036933374
0.2	13	10	12	12	11	1.09090909090909	12.9282264857553
0.2	14	1	12	9	9	1	13.9121394030284
0.2	14	2	9	6	6	1	13.9549067493994
0.2	14	3	14	7	9	0.777777777777778	13.9325783644337
0.2	14	4	11	7	8	0.875	14.0936072440352
0.2	14	5	10	9	9	1	13.981437299354
0.2	14	6	10	9	9	1	14.0285453157965
0.2	14	7	13	9	9	1	14.0546032906044
0.2	14	8	10	8	7	1.14285714285714	13.9003264149651
0.2	14	9	9	7	7	1	14.075006919913
0.2	14	10	11	8	8	1	13.9849514313973
0.2	15	1	12	9	10	0.9	14.9554937106092
0.2	15	2	14	9	9	1	14.9205894406419
0.2	15	3	6	5	5	1	15.0813559263945
0.2	15	4	14	8	8	1	15.034722272167
0.2	15	5	10	7	7	1	15.0062234428711
0.2	15	6	10	7	7	1	14.938745935075
0.2	15	7	8	6	7	0.857142857142857	15.0030031715054
0.2	15	8	13	8	8	1	15.0428039318882
0.2	15	9	10	7	8	0.875	14.9378275418654
0.2	15	10	10	8	8	1	14.9060920568183
0.2	16	1	8	5	6	0.833333333333333	16.013742778264
0.2	16	2	7	6	6	1	15.9533553635236
0.2	16	3	11	8	7	1.14285714285714	15.9342213454191
0.2	16	4	13	8	8	1	16.0269198565278
0.2	16	5	11	7	6	1.16666666666667	15.9223425685894
0.2	16	6	10	6	7	0.857142857142857	16.0022999559529
0.2	16	7	12	8	7	1.14285714285714	16.0241324759554
0.2	16	8	10	7	7	1	15.9181598291267
0.2	16	9	13	7	8	0.875	15.9147703970317
0.2	16	10	11	8	8	1	16.017756287707
0.2	17	1	13	10	9	1.11111111111111	16.9905274294317
0.2	17	2	7	5	6	0.833333333333333	17.0820155557711
0.2	17	3	12	7	6	1.16666666666667	16.9891889819875
0.2	17	4	9	8	8	1	16.9140190238133
0.2	17	5	10	6	6	1	17.0527737206314
0.2	17	6	8	7	7	1	16.9860932905227
0.2	17	7	9	8	8	1	17.0229005225934
0.2	17	8	10	9	10	0.9	16.9141970392317
0.2	17	9	14	10	8	1.25	17.0993481487501
0.2	17	10	10	8	7	1.14285714285714	16.9048207073472
0.2	18	1	12	8	9	0.888888888888889	18.0122377547901
0.2	18	2	6	5	5	1	18.0733731830958
0.2	18	3	12	8	7	1.14285714285714	17.9772077246569
0.2	18	4	12	8	7	1.14285714285714	18.0776701136027
0.2	18	5	7	5	5	1	17.9475044630002
0.2	18	6	10	6	6	1	18.0612949022558
0.2	18	7	11	9	8	1.125	17.93417333127
0.2	18	8	10	6	6	1	18.0417623148765
0.2	18	9	8	7	8	0.875	18.0799295913428
0.2	18	10	11	7	8	0.875	17.9808538553771
0.2	19	1	8	7	7	1	18.948538704589
0.2	19	2	12	8	8	1	18.9866878478322
0.2	19	3	12	9	8	1.125	19.0796782698482
0.2	19	4	10	6	6	1	19.0076803232543
0.2	19	5	12	8	8	1	19.0260456571355
0.2	19	6	10	6	7	0.857142857142857	18.901191666862
0.2	19	7	11	7	7	1	18.9480561632663
0.2	19	8	14	7	9	0.777777777777778	19.0764039483853
0.2	19	9	6	3	3	1	18.9445772419684
0.2	19	10	8	6	5	1.2	19.0276706253644
0.2	20	1	9	7	7	1	19.9976914241444
0.2	20	2	9	7	7	1	19.9565275109373
0.2	20	3	9	7	6	1.16666666666667	20.0305659406818
0.2	20	4	10	6	6	1	20.0956778298132
0.2	20	5	8	6	6	1	19.90616153148
0.2	20	6	10	6	6	1	19.9327351513319
0.2	20	7	7	6	7	0.857142857142857	20.0994251300115
0.2	20	8	10	7	7	1	19.9950398746412
0.2	20	9	10	7	7	1	20.0184204731137
0.2	20	10	9	8	7	1.14285714285714	19.9984763290267
0.3	1	1	20	34	35	0.971428571428571	1.05582726555876
0.3	1	2	20	36	37	0.972972972972973	1.07984547312371
0.3	1	3	20	37	36	1.02777777777778	0.914074266515672
0.3	1	4	20	29	34	0.852941176470588	0.920560568664223
0.3	1	5	20	37	38	0.973684210526316	1.06511958907358
0.3	1	6	20	31	36	0.861111111111111	0.918902979046106
0.3	1	7	20	33	34	0.970588235294118	0.959676556941122
0.3	1	8	20	35	32	1.09375	0.992707012407482
0.3	1	9	20	34	35	0.971428571428571	1.05286363959312
0.3	1	10	20	36	33	1.09090909090909	0.923468412877992
0.3	2	1	19	26	24	1.08333333333333	1.96811184543185
0.3	2	2	17	23	21	1.0952380952381	2.05031438940205
0.3	2	3	15	24	22	1.09090909090909	1.90545738292858
0.3	2	4	17	24	25	0.96	2.02944148117676
0.3	2	5	16	26	22	1.18181818181818	1.94355084751733
0.3	2	6	18	28	26	1.07692307692308	2.06324971169233
0.3	2	7	19	27	28	0.964285714285714	2.04373773084953
0.3	2	8	20	29	26	1.11538461538462	1.97041282546706
0.3	2	9	20	26	27	0.962962962962963	2.0184736345429
0.3	2	10	18	21	22	0.954545454545455	2.06002282490954
0.3	3	1	18	22	20	1.1	2.93796102269553
0.3	3	2	15	19	20	0.95	2.99369104537182
0.3	3	3	20	22	21	1.04761904761905	2.96438067355193
0.3	3	4	17	21	18	1.16666666666667	2.97622462981381
0.3	3	5	15	20	20	1	2.96012249318883
0.3	3	6	17	19	19	1	2.95655684233643
0.3	3	7	19	21	20	1.05	3.06052146041766
0.3	3	8	19	23	20	1.15	3.03439956461079
0.3	3	9	19	19	22	0.863636363636364	3.02411253419705
0.3	3	10	18	21	21	1	3.0336822561454
0.3	4	1	12	12	14	0.857142857142857	3.90816175718792
0.3	4	2	15	16	16	1	4.06695482693613
0.3	4	3	16	18	17	1.05882352941176	3.9681562229991
0.3	4	4	17	17	19	0.894736842105263	3.94218691345304
0.3	4	5	17	19	16	1.1875	4.04327704748139
0.3	4	6	15	17	17	1	4.01358680953272
0.3	4	7	17	16	17	0.941176470588235	3.90661493153311
0.3	4	8	14	15	16	0.9375	4.08208097550087
0.3	4	9	17	17	16	1.0625	3.93572286833078
0.3	4	10	15	14	13	1.07692307692308	3.95286510507576
0.3	5	1	17	16	16	1	5.0843364300672
0.3	5	2	13	13	12	1.08333333333333	5.01439107265323
0.3	5	3	15	13	15	0.866666666666667	4.93556186761707
0.3	5	4	17	14	14	1	4.91767917508259
0.3	5	5	17	14	17	0.823529411764706	5.00604870091192
0.3	5	6	14	14	16	0.875	4.93709098342806
0.3	5	7	13	16	14	1.14285714285714	4.90598896392621
0.3	5	8	16	15	15	1	4.99984174119309
