p	maxlab	i	McSplit	MCSa1	MCSa2	ratio	maxlab_jittered
0.2	6	10	16	15	14	1.06666666666667	5.91369870845228
0.2	7	1	16	12	13	1.33333333333333	7.01497388086282
0.2	7	2	14	12	10	1.16666666666667	7.03610020908527
0.2	7	3	16	12	13	1.33333333333333	6.94734627711587
0.2	7	4	15	13	13	1.15384615384615	7.02930673900992
0.2	7	5	13	13	13	1	7.00595298162662
0.2	7	6	15	12	13	1.25	6.94569813120179
0.2	7	7	15	13	10	1.15384615384615	6.97956479908899
0.2	7	8	13	12	12	1.08333333333333	6.92004076619633
0.2	7	9	12	11	11	1.09090909090909	7.01199192339554
0.2	7	10	15	12	14	1.25	6.93163747293875
0.2	8	1	17	14	13	1.21428571428571	7.9752542081289
0.2	8	2	17	12	13	1.41666666666667	7.95287749678828
0.2	8	3	11	9	9	1.22222222222222	8.01484452686273
0.2	8	4	13	11	11	1.18181818181818	8.0889318767935
0.2	8	5	15	10	14	1.5	7.93848294112831
0.2	8	6	16	12	13	1.33333333333333	8.08789447848685
0.2	8	7	13	13	11	1	7.9732540007215
0.2	8	8	14	11	11	1.27272727272727	7.97130675781518
0.2	8	9	15	12	12	1.25	8.03227194696665
0.2	8	10	12	10	11	1.2	7.97647636197507
0.2	9	1	12	9	10	1.33333333333333	8.94751133229584
0.2	9	2	9	8	10	1.125	8.90194827532396
0.2	9	3	17	12	14	1.41666666666667	8.97180057885125
0.2	9	4	11	9	8	1.22222222222222	8.92199601349421
0.2	9	5	14	10	12	1.4	8.95925684361719
0.2	9	6	16	13	13	1.23076923076923	8.9258095706813
0.2	9	7	13	10	10	1.3	8.941283207573
0.2	9	8	13	12	12	1.08333333333333	9.09455947638489
0.2	9	9	9	7	7	1.28571428571429	8.956482930528
0.2	9	10	14	11	12	1.27272727272727	9.0646361161489
0.2	10	1	13	11	12	1.18181818181818	10.096997151617
0.2	10	2	11	11	9	1	10.0316778451204
0.2	10	3	15	12	10	1.25	9.99745890377089
0.2	10	4	13	10	11	1.3	10.0640038562939
0.2	10	5	13	12	11	1.08333333333333	9.91720125935972
0.2	10	6	13	9	10	1.44444444444444	10.0250231145415
0.2	10	7	12	9	10	1.33333333333333	9.95942782224156
0.2	10	8	14	11	10	1.27272727272727	9.99451290033758
0.2	10	9	9	9	9	1	9.90306352032349
0.2	10	10	10	7	7	1.42857142857143	9.9689708485268
0.2	11	1	15	12	11	1.25	11.0326850345358
0.2	11	2	14	9	11	1.55555555555556	11.001546759624
0.2	11	3	11	9	9	1.22222222222222	11.0225281373598
0.2	11	4	14	11	11	1.27272727272727	10.9315090591554
0.2	11	5	11	9	9	1.22222222222222	10.9566918159835
0.2	11	6	10	7	7	1.42857142857143	10.9465833002236
0.2	11	7	11	10	8	1.1	10.9270264489111
0.2	11	8	15	10	10	1.5	11.0863290511072
0.2	11	9	10	7	9	1.42857142857143	11.0914216236211
0.2	11	10	15	12	12	1.25	11.004761684034
0.2	12	1	12	11	11	1.09090909090909	12.0532193270046
0.2	12	2	14	9	10	1.55555555555556	11.9062771190424
0.2	12	3	14	9	10	1.55555555555556	11.999514700938
0.2	12	4	9	8	7	1.125	12.0784513423219
0.2	12	5	13	10	11	1.3	11.9568122212775
0.2	12	6	14	10	11	1.4	11.9794588002842
0.2	12	7	11	9	8	1.22222222222222	12.0079971205909
0.2	12	8	11	9	9	1.22222222222222	11.9036435982678
0.2	12	9	12	8	9	1.5	12.0890624813735
0.2	12	10	11	7	8	1.57142857142857	12.0538593656849
0.2	13	1	11	7	7	1.57142857142857	13.0418978753965
0.2	13	2	13	8	10	1.625	13.0030583556276
0.2	13	3	14	8	10	1.75	13.0149103007279
0.2	13	4	12	9	9	1.33333333333333	12.9957356265746
0.2	13	5	12	9	8	1.33333333333333	13.0772901343647
0.2	13	6	12	8	9	1.5	12.9662988334429
0.2	13	7	13	10	11	1.3	13.0975833378732
0.2	13	8	15	10	10	1.5	12.9520874442067
0.2	13	9	9	6	6	1.5	13.0399664185941
0.2	13	10	12	12	11	1	12.9321468088776
0.2	14	1	12	9	9	1.33333333333333	14.0569721804466
0.2	14	2	9	6	6	1.5	13.9073475417681
0.2	14	3	14	7	9	2	14.0355244726874
0.2	14	4	11	7	8	1.57142857142857	13.9008702991065
0.2	14	5	10	9	9	1.11111111111111	13.9004239828791
0.2	14	6	10	9	9	1.11111111111111	13.9580237322021
