instance n_pattern n_target runtime_realkdown runtime_kdown solsize solsize_over_n_pattern
si2_b09m_m800.08 160 800 594 6 160 1.0
si2_b09m_m800.06 160 800 410 8 160 1.0
si2_b09m_m800.01 160 800 536 6 160 1.0
si4_b03_m400.01 160 400 212 1 160 1.0
si4_b03_m400.02 160 400 129 3 160 1.0
si4_b03_m400.05 160 400 219 1 160 1.0
si4_b03_m400.07 160 400 129 1 160 1.0
si4_b03_m400.06 160 400 144 2 160 1.0
si4_b03_m400.00 160 400 128 3 160 1.0
si4_b03_m400.03 160 400 134 2 160 1.0
si4_b03_m400.04 160 400 203 1 160 1.0
si4_b03_m400.09 160 400 129 1 160 1.0
si4_b03_m400.08 160 400 128 2 160 1.0
si2_b03_m200.05 40 200 30 0 40 1.0
si2_b03_m200.09 40 200 26 0 40 1.0
si2_b03_m200.07 40 200 18 0 40 1.0
si2_b03_m200.01 40 200 18 0 40 1.0
si2_b03_m200.08 40 200 27 0 40 1.0
si2_b03_m200.02 40 200 30 0 40 1.0
si2_b03_m200.04 40 200 32 0 40 1.0
si2_b03_m200.03 40 200 30 0 40 1.0
si2_b03_m200.06 40 200 18 0 40 1.0
si2_b03_m200.00 40 200 18 0 40 1.0
si4_r005_m600.00 240 600 104464 124 240 1.0
si4_r005_m600.02 240 600 30411 146 240 1.0
si4_r005_m600.08 240 600 113407 1039 240 1.0
si4_r005_m600.05 240 600 64060 373 240 1.0
si4_r005_m600.07 240 600 51034 210 240 1.0
si4_r005_m600.06 240 600 197042 432 240 1.0
si4_r005_m600.01 240 600 85976 62 240 1.0
si4_r005_m600.04 240 600 89941 406 240 1.0
si4_r005_m600.03 240 600 37166 55 240 1.0
si4_r005_m600.09 240 600 32662 28 240 1.0
si4_b09_m400.05 160 400 136 2 160 1.0
si4_b09_m400.03 160 400 170 2 160 1.0
si4_b09_m400.00 160 400 137 3 160 1.0
si4_b09_m400.07 160 400 136 2 160 1.0
si4_b09_m400.01 160 400 239 2 160 1.0
si4_b09_m400.06 160 400 199 3 160 1.0
si4_b09_m400.04 160 400 136 2 160 1.0
si4_b09_m400.02 160 400 183 2 160 1.0
si4_b09_m400.08 160 400 137 2 160 1.0
