i labels p nt np mcsplit-si-ll mcsplit-si-dom mcsplit-si-dom-D1 msplit-si-dom-D2 mcsplit-si-adjmat mcsplit-si-adjmat-dom glasgow glasgow-nosupp ri ri-ds vf3
7 8 0.2 5000 1000 1125 312 406 314 420 417 282005 7242 4486 13892 3625
8 8 0.2 5000 1000 1176 310 410 286 407 409 282903 6958 6307 15610 3285
9 8 0.2 5000 1000 1141 320 407 322 415 412 281042 6720 4655 13896 2860
10 8 0.2 5000 1000 1083 306 409 306 412 410 281771 7087 13699 21048 3200
1 8 0.2 5500 1100 1498 423 621 437 516 514 403277 11494 6674 18069 5553
2 8 0.2 5500 1100 1273 334 600 330 495 489 398938 9114 6832 18346 3907
3 8 0.2 5500 1100 1443 398 406 401 524 522 400385 9234 7264 18804 5355
4 8 0.2 5500 1100 1419 389 579 383 538 531 400131 9319 7172 18764 3512
5 8 0.2 5500 1100 1293 345 578 346 506 503 402442 10413 7012 19744 4920
6 8 0.2 5500 1100 1515 448 464 444 554 550 401743 11131 8649 20120 4600
7 8 0.2 5500 1100 1562 451 439 444 560 562 400817 10172 7433 18812 4408
8 8 0.2 5500 1100 1489 443 438 456 556 549 400019 10038 6674 18946 4837
9 8 0.2 5500 1100 1491 410 414 428 527 521 399858 9954 18667 27487 5260
10 8 0.2 5500 1100 1620 484 552 482 621 620 401142 10278 9393 20784 5020
1 8 0.2 6000 1200 2311 510 697 521 731 627 553605 12747 10944 26500 6048
2 8 0.2 6000 1200 2207 619 679 625 776 775 567565 15887 10259 26175 16558
3 8 0.2 6000 1200 1974 572 711 575 649 649 554311 14365 10746 24983 5810
4 8 0.2 6000 1200 2266 638 747 635 757 752 553232 13099 10511 26998 6364
5 8 0.2 6000 1200 2190 654 796 580 684 685 552752 13791 16376 30463 6376
6 8 0.2 6000 1200 2039 645 703 580 685 721 553731 13453 10405 25316 7500
7 8 0.2 6000 1200 1693 447 443 445 566 568 554547 13442 10998 27259 6628
8 8 0.2 6000 1200 2317 658 751 619 754 741 554536 13546 12823 27869 8572
9 8 0.2 6000 1200 1822 487 717 486 603 601 552507 13135 9727 25030 5978
10 8 0.2 6000 1200 2135 602 629 598 676 672 556469 15209 10447 25894 6894
1 8 0.2 6500 1300 2865 804 1032 956 906 907 747820 19933 15185 35435 7779
2 8 0.2 6500 1300 2405 734 667 648 743 889 749392 19748 17678 37156 7695
3 8 0.2 6500 1300 2736 838 839 779 904 896 746901 18821 14753 34781 9607
4 8 0.2 6500 1300 2522 741 1100 720 817 813 759963 19535 17062 36553 8072
5 8 0.2 6500 1300 3443 831 800 797 861 865 744026 17549 17395 35989 11633
6 8 0.2 6500 1300 2931 885 1028 895 1046 1038 760874 19542 16596 35403 14645
7 8 0.2 6500 1300 2692 759 1023 806 859 866 749141 20328 16749 36326 7343
8 8 0.2 6500 1300 2590 749 763 729 953 887 745168 18730 13646 34121 10373
9 8 0.2 6500 1300 2598 746 752 758 846 846 741595 16054 14718 35487 24176
10 8 0.2 6500 1300 2653 793 768 746 812 804 751292 21380 17921 37416 7987
1 8 0.2 7000 1400 3277 934 1507 910 946 1032 991393 27799 20664 44756 12143
2 8 0.2 7000 1400 4535 1003 978 981 1058 1049 983897 23916 20169 43483 9983
3 8 0.2 7000 1400 4030 1181 1243 1143 1274 1259 987556 27186 22415 45758 31481
4 8 0.2 7000 1400 3835 1116 1560 1111 1384 1271 1003249 28441 22193 44365 12405
5 8 0.2 7000 1400 3824 1108 1201 1097 1253 1257 988351 27150 20674 44993 13389
6 8 0.2 7000 1400 3906 1078 1048 1056 1206 1211 989560 25758 19394 44197 33287
7 8 0.2 7000 1400 3577 1047 1020 1015 1091 1086 985727 24312 34880 56094 11941
8 8 0.2 7000 1400 3634 1057 1120 1057 1180 1181 983130 24517 20087 45812 9279
9 8 0.2 7000 1400 3402 954 1224 945 1058 1060 986444 26137 21106 44592 13321
10 8 0.2 7000 1400 3552 985 1421 1043 1098 1097 991236 26900 20809 44724 14571
1 8 0.2 7500 1500 4963 1442 1640 1679 1443 1446 1281701 35533 28577 55766 15357
2 8 0.2 7500 1500 4569 1307 1303 1291 1414 1424 1268249 27933 26556 59124 14461
3 8 0.2 7500 1500 4986 1473 2024 1606 1613 1607 1279551 35914 29436 57431 19446
4 8 0.2 7500 1500 4694 1284 1321 1298 1486 1488 1282981 36462 31480 60939 16229
5 8 0.2 7500 1500 4006 1128 1903 1100 1271 1272 1285255 38883 25001 54199 14997
6 8 0.2 7500 1500 4621 1351 1715 1577 1440 1445 1278070 34074 26414 57275 12910
7 8 0.2 7500 1500 4523 1326 1230 1263 1244 1248 1285166 33936 89378 105214 16408
8 8 0.2 7500 1500 4472 1254 1899 1335 1318 1319 1281253 36281 28969 58538 20090
9 8 0.2 7500 1500 4685 1385 1757 1558 1387 1379 1276192 32909 28800 59438 13601
10 8 0.2 7500 1500 4466 1466 1578 1210 1203 1191 1272885 30071 28776 57084 13220
1 8 0.2 8000 1600 5772 1672 1654 1721 1573 1575 1632153 45063 39162 74018 25085
2 8 0.2 8000 1600 5528 1576 2263 1597 1531 1534 1623922 40503 53714 85135 20120
3 8 0.2 8000 1600 5085 1733 1449 1584 1343 1343 1618327 37554 37394 71813 21847
4 8 0.2 8000 1600 5166 1533 2094 1534 1468 1489 1619133 37098 35975 70324 16429
5 8 0.2 8000 1600 6431 1776 1839 1751 1899 1829 1642447 48033 37192 71420 22312
6 8 0.2 8000 1600 5413 1663 1508 1506 1463 1465 1625121 41390 40642 74576 21506
7 8 0.2 8000 1600 5045 1426 1728 1443 1553 1529 1624263 42195 33878 67750 21807
8 8 0.2 8000 1600 6369 1800 1690 1888 1664 1719 1632856 42937 41122 74461 20279
9 8 0.2 8000 1600 5532 1500 1558 1653 1520 1440 1626856 42344 38366 72610 19612
10 8 0.2 8000 1600 6176 1818 2407 2350 1798 1803 1638595 50865 42097 74174 25777
1 8 0.2 9000 1800 9857 2660 2963 2734 3289 2614 2550999 70240 72930 121453 39133
2 8 0.2 9000 1800 9078 2751 2615 2591 2536 2514 2559148 75142 66894 122320 29077
3 8 0.2 9000 1800 8965 2649 2540 2626 2626 2631 2552734 73613 213118 240204 33228
4 8 0.2 9000 1800 10240 3107 3612 2898 2796 2803 2549058 71098 65883 120528 38358
5 8 0.2 9000 1800 9616 2953 3773 2796 2628 2642 2563355 80039 71034 122631 37939
6 8 0.2 9000 1800 8406 2577 3872 2565 2369 2459 2567605 82590 62951 115956 27954
7 8 0.2 9000 1800 9413 2821 3452 2788 2623 2612 2556552 69994 62470 111390 35204
8 8 0.2 9000 1800 8061 2354 3926 2348 2000 2005 2542961 70594 63860 117105 28475
9 8 0.2 9000 1800 9257 2584 3795 2600 2502 2511 2547397 69227 68193 122846 36070
10 8 0.2 9000 1800 9446 2633 2648 2862 2152 2161 2561017 78167 66090 114900 28348
1 8 0.2 10000 2000 13285 4135 5430 3804 3351 3356 3832182 122556 93118 163971 46982
2 8 0.2 10000 2000 12728 3578 5310 3726 3361 3337 3799079 105389 108494 167332 48021
3 8 0.2 10000 2000 12882 3991 5008 3809 3422 3414 3819149 134681 108164 172209 50752
4 8 0.2 10000 2000 15688 4271 4589 4234 3465 3428 3838325 131753 115239 178449 58191
5 8 0.2 10000 2000 14437 4413 4251 4552 4181 4214 3821898 123329 115319 173953 50257
6 8 0.2 10000 2000 14342 4702 4589 4528 3899 3808 3841614 131504 119595 176954 65777
7 8 0.2 10000 2000 13867 4314 4993 4282 3768 3934 3813715 113998 141743 197763 54020
8 8 0.2 10000 2000 13944 4607 4756 4982 3706 3693 3804788 105370 313115 341085 46126
9 8 0.2 10000 2000 14942 4181 4815 4442 4284 4253 3820588 114071 137222 197178 55160
10 8 0.2 10000 2000 13855 3988 5655 4169 3917 3990 3814042 123388 105931 172048 43392
1 8 0.3 300 60 2 0 0 0 1 1 46 3 1 6 0
2 8 0.3 300 60 2 0 0 0 1 1 52 4 1 4 0
3 8 0.3 300 60 2 0 0 0 1 1 45 3 1 3 0
4 8 0.3 300 60 2 0 0 0 1 1 51 3 1 4 1
5 8 0.3 300 60 2 0 0 0 1 1 59 3 1 4 1
6 8 0.3 300 60 2 0 0 0 1 1 60 3 1 4 1
7 8 0.3 300 60 2 0 0 0 1 1 45 3 1 3 1
8 8 0.3 300 60 2 0 0 0 1 1 45 3 1 4 0
9 8 0.3 300 60 2 0 0 0 1 1 56 4 1 4 0
10 8 0.3 300 60 2 0 0 0 1 1 45 3 1 6 1
1 8 0.3 500 100 9 1 1 1 4 4 249 14 8 26 6
2 8 0.3 500 100 6 0 1 0 4 4 192 9 6 28 6
3 8 0.3 500 100 9 1 1 1 4 4 194 15 5 17 12
4 8 0.3 500 100 9 1 1 1 4 4 252 16 9 29 9
5 8 0.3 500 100 9 1 1 1 4 4 253 16 11 27 7
6 8 0.3 500 100 9 1 1 1 4 4 250 15 12 29 10
7 8 0.3 500 100 9 1 1 1 4 4 256 15 7 25 8
8 8 0.3 500 100 9 1 1 1 4 4 249 16 10 30 9
9 8 0.3 500 100 9 1 1 1 4 4 202 15 8 30 10
10 8 0.3 500 100 6 1 1 0 3 4 238 15 9 28 7
1 8 0.3 750 150 22 2 2 3 7 7 619 28 33 58 25
2 8 0.3 750 150 22 2 3 3 7 7 657 29 20 67 20
3 8 0.3 750 150 17 4 2 2 7 10 620 28 18 68 24
4 8 0.3 750 150 17 3 2 2 10 10 620 30 53 78 22
5 8 0.3 750 150 17 2 2 3 10 7 619 29 21 62 22
6 8 0.3 750 150 23 4 3 4 7 7 621 28 21 66 24
7 8 0.3 750 150 17 2 2 3 10 7 623 32 26 58 20
8 8 0.3 750 150 22 3 2 3 7 7 621 31 19 84 22
9 8 0.3 750 150 22 2 3 2 7 7 621 27 32 86 38
10 8 0.3 750 150 22 3 3 3 7 9 619 29 26 75 21
1 8 0.3 1000 200 36 8 7 6 14 14 1466 60 63 170 68
2 8 0.3 1000 200 44 7 8 7 18 18 1472 85 75 176 55
3 8 0.3 1000 200 39 5 6 9 14 14 1471 62 98 280 154
4 8 0.3 1000 200 34 5 8 5 14 14 1476 59 77 183 73
5 8 0.3 1000 200 35 5 8 8 18 14 1481 61 66 161 67
6 8 0.3 1000 200 45 5 8 5 19 19 1462 63 71 165 78
7 8 0.3 1000 200 35 8 5 9 15 14 1465 65 61 166 82
8 8 0.3 1000 200 34 5 6 5 14 13 1466 61 69 165 65
9 8 0.3 1000 200 35 6 9 6 14 14 1468 61 62 165 80
10 8 0.3 1000 200 34 5 6 7 17 13 1460 57 47 168 73
1 8 0.3 1250 250 62 11 11 11 22 22 3682 155 175 341 183
2 8 0.3 1250 250 61 11 13 11 27 31 3682 157 159 331 144
3 8 0.3 1250 250 62 12 12 12 23 23 3683 157 160 337 154
4 8 0.3 1250 250 60 11 14 11 22 22 3685 150 171 340 251
5 8 0.3 1250 250 64 12 29 20 23 31 3633 164 169 349 180
6 8 0.3 1250 250 60 11 15 11 22 22 3659 152 202 588 196
7 8 0.3 1250 250 61 11 16 11 29 23 3832 180 156 375 191
8 8 0.3 1250 250 57 10 10 10 22 22 3653 148 162 341 145
9 8 0.3 1250 250 61 11 11 11 22 22 3631 212 166 362 176
10 8 0.3 1250 250 61 13 11 11 23 23 3646 154 155 340 135
1 8 0.3 1500 300 105 24 25 24 37 37 6747 290 360 599 367
2 8 0.3 1500 300 93 19 19 18 33 33 6786 257 319 663 218
3 8 0.3 1500 300 100 34 35 32 46 47 6800 276 369 638 288
4 8 0.3 1500 300 96 30 26 32 43 43 6802 270 463 703 294
5 8 0.3 1500 300 95 20 20 20 34 34 6738 412 361 612 315
6 8 0.3 1500 300 100 22 22 22 35 35 7126 283 324 600 352
7 8 0.3 1500 300 100 22 24 22 35 35 6769 312 542 827 366
8 8 0.3 1500 300 102 23 29 23 35 36 6775 281 328 616 329
9 8 0.3 1500 300 106 24 26 24 37 37 6961 272 373 598 359
10 8 0.3 1500 300 97 28 44 21 36 36 6739 253 327 576 262
1 8 0.3 2000 400 235 94 85 62 83 78 18931 734 1211 1931 1161
2 8 0.3 2000 400 241 62 62 62 81 81 18866 727 1198 1877 1038
3 8 0.3 2000 400 226 61 61 62 78 78 18860 855 1430 1965 1092
4 8 0.3 2000 400 223 59 81 62 79 79 19004 735 1468 1914 1049
5 8 0.3 2000 400 240 67 84 67 85 85 18950 863 1358 1983 1063
6 8 0.3 2000 400 228 60 60 59 78 77 18848 708 1241 1925 923
7 8 0.3 2000 400 215 53 77 53 72 72 19744 743 1148 1748 1223
8 8 0.3 2000 400 231 60 81 61 76 78 18904 718 1334 1826 1070
9 8 0.3 2000 400 226 61 62 68 111 82 18966 695 1060 1620 1113
10 8 0.3 2000 400 201 49 64 49 74 73 18843 668 1492 2116 864
1 8 0.3 2500 500 451 145 145 145 177 175 43633 1694 4428 5288 2375
2 8 0.3 2500 500 413 120 179 122 136 133 43496 1587 3013 4001 2251
3 8 0.3 2500 500 459 134 134 134 152 150 44454 1642 4407 4946 2647
4 8 0.3 2500 500 438 130 150 130 141 141 43677 1696 3895 4780 2727
5 8 0.3 2500 500 434 146 165 131 145 146 43338 1623 3586 4521 2440
6 8 0.3 2500 500 389 115 116 115 142 140 43372 1520 4205 4972 1418
7 8 0.3 2500 500 412 123 172 122 144 139 44132 1671 3431 4418 3098
8 8 0.3 2500 500 438 130 133 207 148 197 43638 1740 3124 4211 2382
9 8 0.3 2500 500 438 139 137 194 162 161 43492 1615 3611 4691 2972
10 8 0.3 2500 500 446 138 178 138 161 160 43424 2169 4290 5101 2388
1 8 0.3 3000 600 800 273 427 342 299 307 87877 3692 7758 8924 5009
2 8 0.3 3000 600 860 268 269 268 282 285 87267 3502 9725 10544 4488
3 8 0.3 3000 600 817 294 364 295 335 334 89412 3974 10791 11416 6484
4 8 0.3 3000 600 824 280 278 284 303 299 88008 3901 9779 10581 6231
5 8 0.3 3000 600 714 246 361 245 251 249 88600 3765 7705 8947 6173
6 8 0.3 3000 600 665 208 272 234 219 221 86710 2811 9066 10176 3376
7 8 0.3 3000 600 771 263 356 263 278 284 87273 3330 7561 8793 5174
8 8 0.3 3000 600 731 255 254 252 270 269 88182 3473 8889 9887 4102
9 8 0.3 3000 600 798 264 264 264 289 290 88710 3556 8212 10182 4358
10 8 0.3 3000 600 735 259 359 256 362 274 87684 3480 7613 9028 6314
1 8 0.3 3500 700 1398 504 513 500 536 539 158984 6738 21819 23008 11131
2 8 0.3 3500 700 1403 481 700 496 497 521 159323 6638 17758 19129 11950
3 8 0.3 3500 700 1460 450 655 453 438 431 159533 7350 18318 19379 12994
4 8 0.3 3500 700 1132 411 433 414 415 410 158463 6323 15545 18155 10820
5 8 0.3 3500 700 1344 489 653 496 508 506 159642 6604 18074 18928 14116
6 8 0.3 3500 700 1288 486 607 488 539 536 159202 6472 14415 16444 8984
7 8 0.3 3500 700 1256 453 455 455 448 445 158527 6336 16607 18240 14058
8 8 0.3 3500 700 1357 467 649 517 478 478 159776 7119 17110 18614 10581
9 8 0.3 3500 700 1270 467 457 460 460 460 159478 6843 16375 18013 14393
10 8 0.3 3500 700 1388 500 636 487 511 489 158923 6882 14185 16350 12531
1 8 0.3 4000 800 1792 719 807 719 672 671 265110 11959 32544 34062 18016
2 8 0.3 4000 800 2026 822 1244 824 850 852 264225 12397 29829 30780 16710
3 8 0.3 4000 800 2111 794 1088 805 759 750 264756 13017 37962 38137 19725
4 8 0.3 4000 800 1804 696 692 687 689 688 261494 10407 39595 39359 16933
5 8 0.3 4000 800 2183 825 820 823 824 820 263760 12228 36236 36677 15741
6 8 0.3 4000 800 2046 857 1003 832 886 879 263343 11949 27579 29458 20999
7 8 0.3 4000 800 2097 788 799 789 803 805 263737 12120 25092 27116 14925
8 8 0.3 4000 800 1821 719 793 761 677 680 263434 11933 38766 38346 15069
9 8 0.3 4000 800 2020 762 1064 765 755 755 262217 11360 29659 30962 15323
10 8 0.3 4000 800 2164 801 1143 803 803 801 262240 10880 38785 38539 14840
1 8 0.3 4500 900 3107 1219 1656 1227 1172 1171 412068 19353 69723 68557 21440
2 8 0.3 4500 900 3220 1496 1271 1271 1188 1190 411569 19952 67208 64829 36763
3 8 0.3 4500 900 3278 1381 1812 1392 1338 1326 411043 19390 78968 74091 32283
4 8 0.3 4500 900 2952 1055 1150 1074 1005 999 410072 18398 68606 66465 28358
5 8 0.3 4500 900 3290 1280 1275 1269 1210 1207 412674 19595 53814 52754 27767
6 8 0.3 4500 900 2879 1107 1659 1112 996 993 411902 18843 54719 54997 27728
7 8 0.3 4500 900 3413 1369 1679 1372 1345 1331 411326 19845 45698 47079 42394
8 8 0.3 4500 900 3073 1187 1196 1201 1107 1106 413286 19938 54759 54106 36909
9 8 0.3 4500 900 2903 1191 1173 1172 1129 1127 409711 19404 56902 55998 28189
10 8 0.3 4500 900 3212 1565 1289 1299 1288 1290 410757 19195 57000 56876 26469
1 8 0.3 5000 1000 4499 1896 1891 1882 1757 1737 614039 29727 148133 136599 41909
2 8 0.3 5000 1000 4116 1772 1808 1773 1729 1709 613161 30582 75104 76722 65843
3 8 0.3 5000 1000 4950 1984 1975 1990 1870 1870 615496 31440 88042 87380 41855
4 8 0.3 5000 1000 4410 1683 1669 1679 1491 1498 614352 29696 101060 98985 39806
5 8 0.3 5000 1000 4493 1894 2653 1898 1826 1816 616167 32042 101883 98833 66555
6 8 0.3 5000 1000 4561 1960 1960 1945 1850 1843 615875 31795 94834 95008 61644
7 8 0.3 5000 1000 4787 1900 2658 1876 1676 1664 614836 30314 131138 123931 59422
8 8 0.3 5000 1000 4247 2628 2858 2268 1722 1647 615924 31028 112647 109303 65915
9 8 0.3 5000 1000 4542 1993 2559 2199 1882 1900 614195 30024 126540 116721 41079
10 8 0.3 5000 1000 4569 2012 2617 1977 1808 1800 619227 33768 132744 125212 36482
1 8 0.3 5500 1100 7121 2945 4766 2970 2666 2653 886149 47872 146499 137651 81709
2 8 0.3 5500 1100 6317 2670 3964 2655 2440 2447 886990 48693 150823 144173 82787
3 8 0.3 5500 1100 6934 2619 2614 2624 2353 2357 884901 43882 136280 133314 67911
4 8 0.3 5500 1100 6918 3241 3665 2708 2440 2444 883805 45160 233622 216497 55597
5 8 0.3 5500 1100 7721 3099 4396 3536 2772 2766 887562 46201 167197 164582 53925
6 8 0.3 5500 1100 7247 3201 3629 3365 2885 2925 889105 49591 147184 140230 73619
7 8 0.3 5500 1100 7021 3040 2979 2878 2559 2557 892579 49226 235926 211106 64246
8 8 0.3 5500 1100 6335 2690 3710 2855 2351 2370 887418 44172 131427 129787 81165
9 8 0.3 5500 1100 6804 3013 2819 2785 2638 2514 883819 45729 132032 128150 72777
10 8 0.3 5500 1100 6357 2923 4263 2838 2594 2609 891325 50270 201265 185892 84161
1 8 0.3 6000 1200 9172 3977 5809 3765 3262 3363 1248040 71574 306529 279170 104986
2 8 0.3 6000 1200 11620 4391 4211 4324 3465 3459 1237391 70991 380213 331956 121594
3 8 0.3 6000 1200 10305 4337 6129 4219 3526 3530 1251296 72534 307529 279516 124914
4 8 0.3 6000 1200 9155 3993 5531 4079 3390 3328 1244718 73161 231268 217804 112978
5 8 0.3 6000 1200 9865 4242 5673 4138 3487 3471 1232819 69809 244124 227260 136548
6 8 0.3 6000 1200 10408 5105 6225 4597 3695 3696 1238818 71989 349370 314661 118123
7 8 0.3 6000 1200 9967 4639 5127 4268 3569 3565 1232334 70429 236223 222440 143651
8 8 0.3 6000 1200 10144 4319 5787 4417 3870 3587 1232805 66806 421431 376252 162035
9 8 0.3 6000 1200 9985 4355 5090 4522 3482 3440 1246004 71337 251745 229364 145035
10 8 0.3 6000 1200 11041 4536 4337 4579 3372 3402 1249249 77299 216815 206056 143251
1 8 0.3 6500 1300 14719 6008 7803 5887 4731 4736 1686418 102408 341511 315633 136423
2 8 0.3 6500 1300 14395 6219 8078 5640 4498 4465 1686037 97596 393215 368279 121791
3 8 0.3 6500 1300 16340 5985 5968 6006 4779 4796 1701691 97198 410551 388741 202142
4 8 0.3 6500 1300 13933 5745 7111 5602 4480 4490 1690277 99977 374052 347097 124583
5 8 0.3 6500 1300 15625 6141 6375 7593 4756 4785 1694729 95825 377891 354162 201122
6 8 0.3 6500 1300 13708 5336 8655 5563 4182 4231 1696338 96371 369829 333779 167059
7 8 0.3 6500 1300 16019 6052 8821 6083 4777 4768 1685248 108739 356571 312590 156571
8 8 0.3 6500 1300 13789 6218 5720 6017 4593 4598 1694334 94895 387960 348544 164330
9 8 0.3 6500 1300 15583 5966 7027 5863 4467 4482 1681818 100582 340287 318095 183044
10 8 0.3 6500 1300 15203 6205 8330 6169 4778 4782 1707841 117061 389814 341359 240877
1 8 0.3 7000 1400 20619 7943 13507 7636 5921 5913 2240908 136188 523258 467171 378340
2 8 0.3 7000 1400 20332 7722 7673 7712 5908 6122 2217485 129051 495630 436380 187627
3 8 0.3 7000 1400 22669 8584 8723 8723 6531 6400 2277027 150455 545765 503326 195001
4 8 0.3 7000 1400 21649 7802 12679 7880 5946 5933 2240897 159145 913845 783823 335283
5 8 0.3 7000 1400 23468 8354 8357 8306 6266 6244 2240764 139006 586010 514969 210648
6 8 0.3 7000 1400 22143 8464 8735 8315 5877 5861 2240494 139797 524845 482509 304703
7 8 0.3 7000 1400 21092 8052 8165 8134 6083 6055 2283647 161797 955980 855046 294936
8 8 0.3 7000 1400 22705 8633 9487 9525 6333 6367 2268098 133438 508066 493498 226110
9 8 0.3 7000 1400 21523 8184 12320 8108 6188 6184 2268477 143669 538449 504666 263024
10 8 0.3 7000 1400 23486 9100 9014 8758 6956 6435 2296061 167969 753909 662453 243817
1 8 0.3 7500 1500 30599 12348 16450 10880 7685 7495 2993973 221455 823075 759896 293571
2 8 0.3 7500 1500 28252 10584 10383 12560 7472 7586 2983140 197376 1267145 1072982 257404
3 8 0.3 7500 1500 32060 12029 18312 12475 8287 8439 2957562 199438 1255916 1080961 295865
4 8 0.3 7500 1500 31905 12408 16070 11931 8144 8062 2924952 193370 850905 750209 492722
5 8 0.3 7500 1500 33132 11591 17565 11772 8079 8388 2942998 207866 779768 696220 263453
6 8 0.3 7500 1500 33029 12210 18253 12500 7694 7639 2937052 191232 1280676 1075174 247620
7 8 0.3 7500 1500 30479 11528 11538 11521 7715 7650 2922982 189330 764703 669040 303943
8 8 0.3 7500 1500 32085 11476 11858 11226 7634 7670 3000552 195822 926069 782206 252406
9 8 0.3 7500 1500 33008 12311 19145 11540 8018 8019 2954600 212787 711735 625485 291424
10 8 0.3 7500 1500 33083 12382 19671 12245 7807 7819 2951973 207589 1433866 1210688 354004
1 8 0.3 8000 1600 43242 17291 15551 16723 10170 10460 3805932 294453 1196219 1095738 368167
2 8 0.3 8000 1600 45038 15218 21539 15811 9850 9879 3802524 277538 1057940 905761 341895
3 8 0.3 8000 1600 36752 12888 12861 13016 9080 9150 3839423 287455 984114 984852 408775
4 8 0.3 8000 1600 38593 13102 12885 13965 8768 8710 3872442 250163 1917366 1786858 334356
5 8 0.3 8000 1600 43898 15210 15881 15410 9765 9725 3876960 290024 1209815 1146472 405390
6 8 0.3 8000 1600 47295 15946 16399 16150 9919 9950 3782823 290334 961464 968282 403220
7 8 0.3 8000 1600 42799 15638 15335 15203 9397 9439 3808458 318847 1239984 1077322 429500
8 8 0.3 8000 1600 41554 14303 15065 13852 9577 9669 3769487 272816 2249963 1958520 539446
9 8 0.3 8000 1600 44000 15024 16927 15396 10180 10116 3858435 252909 1812292 1553867 375976
10 8 0.3 8000 1600 42676 15506 21943 15693 10264 10256 3780334 271304 1122644 1045763 391391
1 8 0.3 9000 1800 76875 25365 27106 25746 14591 14574 6320861 620553 2189959 2017854 667097
2 8 0.3 9000 1800 75531 27319 29704 30735 15189 15216 6060031 552001 2124192 1742043 1179667
3 8 0.3 9000 1800 69097 22738 38532 24568 13946 13954 6206763 509865 2631035 2317453 611300
4 8 0.3 9000 1800 83119 27369 39583 28787 15482 15495 6096622 551958 2368527 2105990 700045
5 8 0.3 9000 1800 89566 31603 37478 28619 16200 15351 6232768 623482 3567569 3135867 747095
6 8 0.3 9000 1800 86232 34992 32697 27816 15816 15666 6098816 567275 2523148 2246643 702457
7 8 0.3 9000 1800 76082 29249 44022 25711 15039 15018 6034950 511189 2347715 2056601 669708
8 8 0.3 9000 1800 77405 26479 26062 25090 14851 14710 6323957 568471 2360677 2085194 758361
9 8 0.3 9000 1800 72396 26580 35712 24512 15986 15786 6149195 557871 2078658 1879431 748327
10 8 0.3 9000 1800 89245 30990 29030 31665 16149 15973 6216480 543972 2441978 2068941 826934
1 8 0.4 300 60 3 0 0 0 1 1 69 6 3 9 3
2 8 0.4 300 60 4 0 0 0 1 1 69 4 4 6 4
3 8 0.4 300 60 3 0 0 0 1 1 68 4 3 10 5
4 8 0.4 300 60 3 0 0 0 1 1 83 4 3 5 3
5 8 0.4 300 60 3 0 0 0 1 1 69 6 3 10 3
6 8 0.4 300 60 4 0 0 0 1 1 71 4 5 8 4
7 8 0.4 300 60 3 0 0 0 1 1 69 4 3 5 3
8 8 0.4 300 60 3 0 0 0 1 1 69 4 3 6 2
9 8 0.4 300 60 3 0 0 0 1 1 83 4 5 6 3
10 8 0.4 300 60 3 0 0 0 1 1 74 6 4 7 2
1 8 0.4 500 100 13 2 1 1 3 5 295 15 42 35 16
2 8 0.4 500 100 13 1 2 1 3 3 296 15 26 37 15
3 8 0.4 500 100 10 1 1 2 5 4 299 16 33 31 25
4 8 0.4 500 100 13 1 3 1 4 3 299 14 19 32 22
5 8 0.4 500 100 14 2 2 2 3 3 300 18 42 33 20
6 8 0.4 500 100 10 1 2 1 5 4 297 15 39 35 26
7 8 0.4 500 100 10 1 2 1 5 4 296 15 24 33 26
8 8 0.4 500 100 10 1 1 2 5 4 306 14 29 57 20
9 8 0.4 500 100 9 1 3 1 3 3 294 15 53 43 21
10 8 0.4 500 100 10 2 1 1 4 5 297 15 22 33 20
1 8 0.4 750 150 29 9 5 5 9 12 1020 45 133 153 118
2 8 0.4 750 150 33 5 6 8 12 9 981 42 157 185 101
3 8 0.4 750 150 30 5 9 5 9 12 973 42 113 154 102
4 8 0.4 750 150 31 5 6 5 12 12 974 46 100 143 119
5 8 0.4 750 150 31 6 10 6 9 12 1019 46 144 165 114
6 8 0.4 750 150 31 9 7 5 12 12 974 46 112 147 107
7 8 0.4 750 150 29 5 5 8 12 12 970 42 120 145 112
8 8 0.4 750 150 32 5 5 8 12 9 974 46 154 174 121
9 8 0.4 750 150 29 5 6 5 9 9 1017 43 161 177 119
10 8 0.4 750 150 28 5 6 8 11 9 963 44 137 135 98
1 8 0.4 1000 200 67 15 20 15 20 20 2338 99 465 506 382
2 8 0.4 1000 200 62 14 14 14 19 19 2349 98 617 634 287
3 8 0.4 1000 200 65 15 15 15 20 20 2345 99 654 663 311
4 8 0.4 1000 200 63 14 13 14 18 24 2358 96 440 495 381
5 8 0.4 1000 200 63 14 19 14 19 19 2353 103 547 548 415
6 8 0.4 1000 200 66 15 31 15 19 20 2339 100 433 460 349
7 8 0.4 1000 200 66 15 15 15 19 19 2343 97 367 432 377
8 8 0.4 1000 200 60 13 12 13 24 17 2348 93 484 512 338
9 8 0.4 1000 200 64 15 19 27 25 19 2340 98 404 480 392
10 8 0.4 1000 200 61 24 16 13 22 19 2334 92 355 450 265
1 8 0.4 1250 250 127 35 34 35 39 38 6111 334 1627 1449 1187
2 8 0.4 1250 250 111 28 44 30 36 36 6113 310 1766 1618 692
3 8 0.4 1250 250 119 33 33 33 37 36 6159 293 1175 1156 787
4 8 0.4 1250 250 120 33 43 33 37 38 6247 308 1431 1311 745
5 8 0.4 1250 250 121 32 48 32 37 37 6198 361 1825 1664 1178
6 8 0.4 1250 250 127 36 36 36 42 44 6195 313 1569 1465 922
