i labels p nt np mcsplit-si-ll mcsplit-si-dom mcsplit-si-dom-D1 msplit-si-dom-D2 mcsplit-si-adjmat mcsplit-si-adjmat-dom glasgow glasgow-nosupp ri ri-ds vf3
9 1 0.1 1500 300 259 110 1179 110 207 201 7559 2704 3102 2609 1214
10 1 0.1 1500 300 365 172 180 182 389 392 7487 2613 3771 3136 3026
1 1 0.1 2000 400 468 220 223 220 229 229 20804 6606 3074 3268 4090
2 1 0.1 2000 400 730 368 368 371 675 680 32598 15339 11335 9552 9527
3 1 0.1 2000 400 579 303 473 306 290 289 22061 7553 5775 5201 5426
4 1 0.1 2000 400 633 314 318 309 508 546 23684 9292 7877 7046 7591
5 1 0.1 2000 400 976 513 510 512 975 974 21501 7019 13410 11934 9549
6 1 0.1 2000 400 2664 1552 2536 1500 1543 1505 77854 47380 6068 5080 57982
7 1 0.1 2000 400 705 284 4098 289 478 424 20592 7012 6139 5441 5987
8 1 0.1 2000 400 703 263 808 263 390 427 22967 8262 6273 5516 4762
9 1 0.1 2000 400 900 451 446 450 831 829 20571 6705 13343 11220 11037
10 1 0.1 2000 400 709 349 5781 351 716 721 23776 9428 12269 10388 10496
1 1 0.1 2500 500 2223 1160 1158 1163 1953 1967 220362 131245 16240 14601 32309
2 1 0.1 2500 500 820 419 420 432 570 572 47325 15423 36143 30140 29001
3 1 0.1 2500 500 7181 4355 4377 4395 4155 4153 53072 20285 23149 20434 246333
4 1 0.1 2500 500 1449 789 2341 788 1230 1225 35515 8857 34750 29159 12969
5 1 0.1 2500 500 1804 1024 8250 1023 1559 1532 57219 21987 31920 26928 41017
6 1 0.1 2500 500 1424 775 760 763 1017 1047 67055 29136 8666 7759 11684
7 1 0.1 2500 500 975 496 12824 496 478 477 177147 105699 21755 16193 28164
8 1 0.1 2500 500 1430 794 8569 789 1222 1219 47053 15405 40034 34838 25678
9 1 0.1 2500 500 634 325 377 326 279 286 52567 19985 36387 30786 5102
10 1 0.1 2500 500 1315 704 656 708 884 895 45255 14661 17017 14694 26063
1 1 0.1 3000 600 3423 1849 1832 1841 2512 2511 173194 83131 104103 86253 60127
2 1 0.1 3000 600 3749 2101 1971 1929 2577 2463 85461 27245 37396 32191 26669
3 1 0.1 3000 600 4438 2361 2959 2370 3953 3841 66185 16681 51119 42875 72536
4 1 0.1 3000 600 2894 1506 1498 1501 1739 1737 125756 54988 100820 85107 24365
5 1 0.1 3000 600 3795 2021 7611 2049 2970 2951 97756 35867 96689 79531 74567
6 1 0.1 3000 600 2533 1395 3281 1397 1993 1977 94043 34236 96514 79451 60205
7 1 0.1 3000 600 4520 1522 2063 1551 2357 2325 139336 62855 52496 44090 77473
8 1 0.1 3000 600 1836 990 992 994 941 938 129080 57749 90937 78511 24490
9 1 0.1 3000 600 2878 1509 2616 1500 2286 2300 107778 43847 38999 33125 21396
10 1 0.1 3000 600 2162 1140 1142 1140 1433 1432 120806 54015 42835 37060 73465
1 1 0.1 3500 700 3598 1841 1853 1846 2735 2715 181762 71952 193084 157751 60569
2 1 0.1 3500 700 6666 3837 3434 3885 5264 5272 327528 163240 227419 188763 142718
3 1 0.1 3500 700 6392 3423 3373 3396 4363 4378 187136 76660 85176 72223 65327
4 1 0.1 3500 700 7367 4168 4144 4347 5454 5285 220721 92926 233227 176481 130582
5 1 0.1 3500 700 4402 2438 2436 2476 3207 3198 146295 47279 83646 69771 47756
6 1 0.1 3500 700 5471 2922 5764 2965 4497 4539 158665 57458 81391 69183 64448
