instance mcsp0 mcsp1 mcsp2 mcsp3 csia
mcs10_r02_s50_AB01 -1 -1 -1 -1 -1
mcs10_r02_s50_AB02 -1 -1 -1 -1 -1
mcs10_r02_s50_AB03 -1 -1 -1 -1 -1
mcs10_r02_s50_AB04 -1 -1 -1 -1 -1
mcs10_r02_s50_AB05 -1 -1 -1 -1 -1
mcs10_r02_s50_AB06 -1 -1 -1 -1 -1
mcs10_r02_s50_AB07 -1 -1 -1 -1 -1
mcs10_r02_s50_AB08 -1 -1 -1 -1 -1
mcs10_r02_s50_AB09 -1 -1 -1 -1 -1
mcs30_b03_s15_AB00 1252 1252 1252 1252 1252
mcs30_b03_s15_AB01 19 19 19 19 19
mcs30_b03_s15_AB02 206 206 206 206 206
mcs30_b03_s15_AB03 176 176 176 176 176
mcs30_b03_s15_AB04 506 506 506 506 506
mcs30_b03_s15_AB05 395 395 395 395 395
mcs30_b03_s15_AB06 130 130 130 130 130
mcs30_b03_s15_AB07 36 36 36 36 36
mcs30_b03_s15_AB08 492 492 492 492 492
mcs30_b03_s15_AB09 10 10 10 10 10
mcs30_b03_s20_AB00 2792 2792 2792 2792 2792
mcs30_b03_s20_AB01 1344 1344 1344 1344 1344
mcs30_b03_s20_AB02 1492 1492 1492 1492 1492
mcs30_b03_s20_AB03 42 42 42 42 42
mcs30_b03_s20_AB04 2384 2384 2384 2384 2384
mcs30_b03_s20_AB05 5748 5748 5748 5748 5748
mcs30_b03_s20_AB06 1380 1380 1380 1380 1380
mcs30_b03_s20_AB07 2 2 2 2 2
mcs30_b03_s20_AB08 12 12 12 12 12
mcs30_b03_s20_AB09 8744 8744 8744 8744 8744
mcs30_b03_s25_AB00 2112 2112 2112 -1 2112
mcs30_b03_s25_AB01 41 41 41 41 41
mcs30_b03_s25_AB02 79296 79296 79296 79296 79296
mcs30_b03_s25_AB03 48 48 48 48 48
mcs30_b03_s25_AB04 416 416 416 416 416
mcs30_b03_s25_AB05 6124 6124 6124 6124 6124
mcs30_b03_s25_AB06 59926 59926 59926 59926 59926
mcs30_b03_s25_AB07 12960 12960 12960 12960 12960
mcs30_b03_s25_AB08 2354 2354 2354 2354 2354
mcs30_b03_s25_AB09 52192 52192 52192 52192 -1
mcs30_b03_s30_AB00 1476 1476 1476 1476 -1
mcs30_b03_s30_AB01 113232 113232 113232 113232 -1
mcs30_b03_s30_AB02 360 360 360 360 -1
mcs30_b03_s30_AB03 384 384 384 -1 -1
mcs30_b03_s30_AB04 8 8 8 8 -1
