instance mcsplit-mcis-sparse kdown2017 kdown2019 kdown2019-restarts
si4_m4Dr6_m256.01 0 18 17 34
si4_m4Dr6_m256.00 1 63 18 17
si4_m4Dr6_m256.05 1 118 40 20
si4_m4Dr6_m256.08 0 33 36 18
si4_m4Dr6_m256.03 0 25 34 17
si4_m4Dr6_m256.06 0 40 17 34
si4_m4Dr6_m256.09 0 14 35 17
si4_m4Dr6_m256.07 4 347 54 27
si4_m4Dr6_m256.02 0 25 16 35
si4_m4Dr6_m256.04 0 86 17 17
si2_b03m_m400.02 1 12 54 26
si2_b03m_m400.00 0 12 27 26
si2_b03m_m400.01 0 24 26 55
si2_b03m_m400.05 0 52 26 26
si2_b03m_m400.08 0 25 26 54
si2_b03m_m400.07 0 25 52 26
si2_b03m_m400.09 0 24 25 54
si2_b03m_m400.03 0 24 27 26
si2_b03m_m400.04 0 24 26 55
si2_b03m_m400.06 0 24 26 26
si2_b03m_m200.05 0 6 6 13
si2_b03m_m200.03 0 6 13 13
si2_b03m_m200.00 0 6 7 14
si2_b03m_m200.08 0 6 13 6
si2_b03m_m200.06 0 6 6 13
si2_b03m_m200.02 0 6 13 6
si2_b03m_m200.09 0 6 14 14
si2_b03m_m200.04 0 6 13 13
si2_b03m_m200.01 0 6 6 13
si2_b03m_m200.07 0 6 6 6
si4_r001_m200.04 4 244 10 10
si4_r001_m200.07 1 563 21 10
si4_r001_m200.00 26 5 21 13
si4_r001_m200.01 0 81 20 10
si4_r001_m200.03 79 3587 21 10
si4_r001_m200.06 0 5 21 10
si4_r001_m200.05 7 191 21 10
si4_r001_m200.08 0 7 22 11
si4_r001_m200.09 84 13101 15 11
si4_r001_m200.02 6 263 11 11
si2_m4D_m256.08 0 10 12 29
si2_m4D_m256.03 0 9 24 12
si2_m4D_m256.02 0 9 24 11
si2_m4D_m256.06 0 13 11 24
si2_m4D_m256.04 0 10 23 11
si2_m4D_m256.07 0 12 11 24
si2_m4D_m256.01 0 4 24 12
si2_m4D_m256.09 0 8 24 13
si2_m4D_m256.00 0 10 24 13
si2_m4D_m256.05 0 12 11 12
si6_r01_m400.04 13 28752 1894 1492
si6_r01_m400.08 19 25507 2839 6664
si6_r01_m400.07 1 20341 178 209
