instance mcsplit-mcis-sparse kdown2017 kdown2019 kdown2019-restarts
g22-g66-normed X X X X
g23-g82-normed X X X X
g24-g93-normed X X X X
g26-g59-normed X X X X
g27-g66-normed X X X X
g28-g82-normed X X X X
g29-g93-normed X X X X
g30-g59-normed X X X X
g31-g66-normed X X X X
g32-g82-normed 3 X 3 3
g33-g93-normed X X X X
g35-g59-normed X X X X
g36-g66-normed X X X X
g37-g82-normed X X X X
g38-g93-normed X X X X
g4-g59-normed 9 9 9 9
g40-g66-normed X X X X
g41-g82-normed X X X X
g42-g93-normed X X X X
g44-g59-normed X X X X
g45-g66-normed X X X X
g46-g82-normed X X X X
g47-g93-normed X X X X
g49-g59-normed X X X X
g5-g66-normed 10 10 10 10
g50-g82-normed X X X X
g6-g93-normed 19 19 19 19
g8-g59-normed 24 X X X
g9-g66-normed X X X X
phase-30-150-0.34-0.36-0.42-6 X X X X
phase-30-150-0.38-0.38-0.44-8 X X X X
phase-30-150-0.42-0.46-0.50-2 X X X X
phase-30-150-0.44-0.46-0.50-4 X X X X
phase-30-150-0.46-0.50-0.52-6 X X X X
phase-30-150-0.48-0.50-0.54-8 X X X X
phase-30-150-0.52-0.54-0.56-2 X X X X
phase-30-150-0.54-0.56-0.58-4 X X X X
phase-30-150-0.56-0.56-0.60-6 X X X X
phase-30-150-0.60-0.58-0.62-8 X X X X
phase-30-150-0.66-0.64-0.66-2 X X X X
phase-30-150-0.68-0.64-0.68-4 X X X X
phase-30-150-0.70-0.66-0.70-6 X X X X
phase-30-150-0.72-0.66-0.70-8 X X X X
phase-30-150-0.76-0.70-0.72-2 X X X X
phase-30-150-0.78-0.72-0.74-4 X X X X
phase-30-150-0.80-0.72-0.74-6 X X X X
phase-30-150-0.82-0.74-0.76-8 X X X X
phase-30-150-0.84-0.76-0.76-2 X X X X
phase-30-150-0.86-0.76-0.78-4 X X X X
all-meshes-CVIU11-pattern1-target104 X X X X
all-meshes-CVIU11-pattern1-target114 X X X X
all-meshes-CVIU11-pattern1-target123 X X X X
all-meshes-CVIU11-pattern1-target132 X X X X
all-meshes-CVIU11-pattern1-target141 X X X X
all-meshes-CVIU11-pattern1-target151 X X X X
all-meshes-CVIU11-pattern1-target160 X X X X
all-meshes-CVIU11-pattern1-target17 X X X X
all-meshes-CVIU11-pattern1-target179 X X X X
all-meshes-CVIU11-pattern1-target189 X X X X
all-meshes-CVIU11-pattern1-target198 X X X X
all-meshes-CVIU11-pattern1-target206 X X X X
all-meshes-CVIU11-pattern1-target215 X X X X
all-meshes-CVIU11-pattern1-target224 X X X X
all-meshes-CVIU11-pattern1-target233 X X X X
all-meshes-CVIU11-pattern1-target244 X X X X
all-meshes-CVIU11-pattern1-target253 X X X X
all-meshes-CVIU11-pattern1-target263 X X X X
all-meshes-CVIU11-pattern1-target272 X X X X
all-meshes-CVIU11-pattern1-target284 X X X X
all-meshes-CVIU11-pattern1-target293 X X X X
all-meshes-CVIU11-pattern1-target303 X X X X
all-meshes-CVIU11-pattern1-target312 X X X X
all-meshes-CVIU11-pattern1-target321 X X X X
all-meshes-CVIU11-pattern1-target330 X X X X
all-meshes-CVIU11-pattern1-target34 X X X X
all-meshes-CVIU11-pattern1-target349 X X X X
all-meshes-CVIU11-pattern1-target359 X X X X
all-meshes-CVIU11-pattern1-target368 X X X X
all-meshes-CVIU11-pattern1-target383 X X X X
all-meshes-CVIU11-pattern1-target392 X X X X
all-meshes-CVIU11-pattern1-target400 X X X X
all-meshes-CVIU11-pattern1-target41 X X X X
all-meshes-CVIU11-pattern1-target419 X X X X
all-meshes-CVIU11-pattern1-target429 X X X X
all-meshes-CVIU11-pattern1-target438 X X X X
all-meshes-CVIU11-pattern1-target448 X X X X
all-meshes-CVIU11-pattern1-target457 X X X X
all-meshes-CVIU11-pattern1-target466 X X X X
all-meshes-CVIU11-pattern1-target475 X X X X
all-meshes-CVIU11-pattern1-target485 X X X X
all-meshes-CVIU11-pattern1-target494 X X X X
all-meshes-CVIU11-pattern1-target502 X X X X
all-meshes-CVIU11-pattern1-target511 X X X X
all-meshes-CVIU11-pattern1-target521 X X X X
all-meshes-CVIU11-pattern1-target530 X X X X
all-meshes-CVIU11-pattern1-target62 X X X X
all-meshes-CVIU11-pattern1-target72 X X X X
all-meshes-CVIU11-pattern1-target82 X X X X
all-meshes-CVIU11-pattern1-target91 X X X X
all-meshes-CVIU11-pattern2-target100 X X X X
all-meshes-CVIU11-pattern2-target111 X X X X
all-meshes-CVIU11-pattern2-target120 X X X X
all-meshes-CVIU11-pattern2-target13 X X X X
all-meshes-CVIU11-pattern2-target139 X X X X
all-meshes-CVIU11-pattern2-target149 X X X X
all-meshes-CVIU11-pattern2-target158 X X X X
all-meshes-CVIU11-pattern2-target167 X X X X
all-meshes-CVIU11-pattern2-target176 X X X X
all-meshes-CVIU11-pattern2-target186 X X X X
all-meshes-CVIU11-pattern2-target195 X X X X
all-meshes-CVIU11-pattern2-target203 X X X X
all-meshes-CVIU11-pattern2-target212 X X X X
all-meshes-CVIU11-pattern2-target221 X X X X
all-meshes-CVIU11-pattern2-target230 X X X X
all-meshes-CVIU11-pattern2-target241 X X X X
all-meshes-CVIU11-pattern2-target250 X X X X
all-meshes-CVIU11-pattern2-target260 X X X X
all-meshes-CVIU11-pattern2-target27 X X X X
all-meshes-CVIU11-pattern2-target281 X X X X
all-meshes-CVIU11-pattern2-target290 X X X X
all-meshes-CVIU11-pattern2-target3 X X X X
all-meshes-CVIU11-pattern2-target31 X X X X
all-meshes-CVIU11-pattern2-target319 X X X X
all-meshes-CVIU11-pattern2-target328 X X X X
all-meshes-CVIU11-pattern2-target337 X X X X
all-meshes-CVIU11-pattern2-target346 X X X X
all-meshes-CVIU11-pattern2-target356 X X X X
all-meshes-CVIU11-pattern2-target365 X X X X
all-meshes-CVIU11-pattern2-target380 X X X X
all-meshes-CVIU11-pattern2-target39 X X X X
all-meshes-CVIU11-pattern2-target399 X X X X
all-meshes-CVIU11-pattern2-target407 X X X X
all-meshes-CVIU11-pattern2-target416 X X X X
all-meshes-CVIU11-pattern2-target425 X X X X
all-meshes-CVIU11-pattern2-target435 X X X X
all-meshes-CVIU11-pattern2-target444 X X X X
all-meshes-CVIU11-pattern2-target454 X X X X
all-meshes-CVIU11-pattern2-target463 X X X X
all-meshes-CVIU11-pattern2-target472 X X X X
all-meshes-CVIU11-pattern2-target482 X X X X
all-meshes-CVIU11-pattern2-target491 X X X X
all-meshes-CVIU11-pattern2-target50 X X X X
all-meshes-CVIU11-pattern2-target509 X X X X
all-meshes-CVIU11-pattern2-target519 X X X X
all-meshes-CVIU11-pattern2-target528 X X X X
all-meshes-CVIU11-pattern2-target6 X X X X
all-meshes-CVIU11-pattern2-target69 X X X X
all-meshes-CVIU11-pattern2-target8 X X X X
all-meshes-CVIU11-pattern2-target89 X X X X
all-meshes-CVIU11-pattern2-target99 X X X X
all-meshes-CVIU11-pattern3-target109 X X X X
all-meshes-CVIU11-pattern3-target118 X X X X
all-meshes-CVIU11-pattern3-target127 X X X 161
all-meshes-CVIU11-pattern3-target136 X X X X
all-meshes-CVIU11-pattern3-target146 X X X X
all-meshes-CVIU11-pattern3-target155 X X X X
all-meshes-CVIU11-pattern3-target164 X X X 161
all-meshes-CVIU11-pattern3-target173 X X X X
all-meshes-CVIU11-pattern3-target182 X X X X
all-meshes-CVIU11-pattern3-target192 X X X X
all-meshes-CVIU11-pattern3-target200 X X X X
all-meshes-CVIU11-pattern3-target21 X X X X
all-meshes-CVIU11-pattern3-target219 160 160 160 160
all-meshes-CVIU11-pattern3-target228 X X 160 160
all-meshes-CVIU11-pattern3-target238 X X X 162
all-meshes-CVIU11-pattern3-target248 X X X X
all-meshes-CVIU11-pattern3-target257 X X X X
all-meshes-CVIU11-pattern3-target267 160 X X X
all-meshes-CVIU11-pattern3-target279 X X X X
all-meshes-CVIU11-pattern3-target288 X X X X
all-meshes-CVIU11-pattern3-target297 X X X X
all-meshes-CVIU11-pattern3-target307 X X X X
all-meshes-CVIU11-pattern3-target316 X X X X
all-meshes-CVIU11-pattern3-target325 X X X X
all-meshes-CVIU11-pattern3-target334 X X X X
all-meshes-CVIU11-pattern3-target343 X X X 161
all-meshes-CVIU11-pattern3-target352 160 X X X
all-meshes-CVIU11-pattern3-target362 159 X X 159
all-meshes-CVIU11-pattern3-target378 X X X X
all-meshes-CVIU11-pattern3-target387 X X X X
all-meshes-CVIU11-pattern3-target396 X X X X
all-meshes-CVIU11-pattern3-target404 X X X X
all-meshes-CVIU11-pattern3-target413 X X X X
all-meshes-CVIU11-pattern3-target422 X X X X
all-meshes-CVIU11-pattern3-target432 X X X X
all-meshes-CVIU11-pattern3-target441 X X X X
all-meshes-CVIU11-pattern3-target451 X X X X
all-meshes-CVIU11-pattern3-target460 161 X X X
all-meshes-CVIU11-pattern3-target47 X X X X
all-meshes-CVIU11-pattern3-target479 X X X X
all-meshes-CVIU11-pattern3-target489 X X X X
all-meshes-CVIU11-pattern3-target498 X X X X
all-meshes-CVIU11-pattern3-target506 X X X X
all-meshes-CVIU11-pattern3-target515 X X X X
all-meshes-CVIU11-pattern3-target525 X X X 161
all-meshes-CVIU11-pattern3-target57 X X X X
all-meshes-CVIU11-pattern3-target66 X X X 161
all-meshes-CVIU11-pattern3-target77 159 159 159 159
all-meshes-CVIU11-pattern3-target86 X X X X
all-meshes-CVIU11-pattern3-target96 X X X X
all-meshes-CVIU11-pattern4-target106 X X X X
all-meshes-CVIU11-pattern4-target115 X X X X
all-meshes-CVIU11-pattern4-target124 X X X X
all-meshes-CVIU11-pattern4-target133 X X X X
all-meshes-CVIU11-pattern4-target143 X X X X
all-meshes-CVIU11-pattern4-target152 X X X X
all-meshes-CVIU11-pattern4-target161 X X X X
all-meshes-CVIU11-pattern4-target170 X X X X
all-meshes-CVIU11-pattern4-target18 X X X X
all-meshes-CVIU11-pattern4-target19 X X X X
all-meshes-CVIU11-pattern4-target199 X X X X
all-meshes-CVIU11-pattern4-target207 X X X X
all-meshes-CVIU11-pattern4-target216 X X X X
all-meshes-CVIU11-pattern4-target225 X X X X
all-meshes-CVIU11-pattern4-target234 X X X X
all-meshes-CVIU11-pattern4-target245 X X X X
all-meshes-CVIU11-pattern4-target254 X X X X
all-meshes-CVIU11-pattern4-target264 X X X X
all-meshes-CVIU11-pattern4-target273 X X X X
all-meshes-CVIU11-pattern4-target285 X X X X
all-meshes-CVIU11-pattern4-target294 X X X X
all-meshes-CVIU11-pattern4-target304 X X X X
all-meshes-CVIU11-pattern4-target313 X X X X
all-meshes-CVIU11-pattern4-target322 X X X X
all-meshes-CVIU11-pattern4-target331 X X X X
all-meshes-CVIU11-pattern4-target340 X X X X
all-meshes-CVIU11-pattern4-target35 X X X X
all-meshes-CVIU11-pattern4-target36 X X X X
all-meshes-CVIU11-pattern4-target369 X X X X
all-meshes-CVIU11-pattern4-target384 X X X X
all-meshes-CVIU11-pattern4-target393 X X X X
all-meshes-CVIU11-pattern4-target401 X X X X
all-meshes-CVIU11-pattern4-target410 X X X X
all-meshes-CVIU11-pattern4-target42 X X X X
all-meshes-CVIU11-pattern4-target43 X X X X
all-meshes-CVIU11-pattern4-target439 X X X X
all-meshes-CVIU11-pattern4-target449 X X X X
all-meshes-CVIU11-pattern4-target458 X X X X
all-meshes-CVIU11-pattern4-target467 X X X X
all-meshes-CVIU11-pattern4-target476 X X X X
all-meshes-CVIU11-pattern4-target486 X X X X
all-meshes-CVIU11-pattern4-target495 X X X X
all-meshes-CVIU11-pattern4-target503 X X X X
all-meshes-CVIU11-pattern4-target512 X X X X
all-meshes-CVIU11-pattern4-target522 X X X X
all-meshes-CVIU11-pattern4-target54 X X X X
all-meshes-CVIU11-pattern4-target63 X X X X
all-meshes-CVIU11-pattern4-target73 X X X X
all-meshes-CVIU11-pattern4-target83 X X X X
