instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped-D mcsplit-smart-swapped-O mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped-D mcsplit-b-smart-swapped-O mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped-D mcsplit-nosort-smart-swapped-O
r-523 27 0.826211 24 0.768116 2042521 564761 564761 564761 1986333 604391 2887842 754472 754472 754472 2628514 329581 329581 329581
r-213 40 0.0782051 37 0.0405405 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-28 44 0.542283 30 0.6 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-699 45 0.156566 14 0.230769 1 1 1 1 1 1 1 1 1 1 17097 1 1 1
r-30 12 0.909091 26 0.507692 33867 20547 20547 33867 54585 28461 41507 30860 30860 41507 42403 45201 45201 42403
r-64 24 0.938406 38 0.00284495 1050 826 1050 1050 948 890 7973 11771 7973 7973 1153 1086 1153 1153
r-188 25 0.356667 36 0.638095 7655054 8975633 8975633 7655054 11306494 6508032 13006940 15268877 15268877 13006940 9262253 10976364 10976364 9262253
r-423 39 0.597841 27 0.213675 4617259 10550344 4617259 10550344 8138552 6643703 7389445 17006025 7389445 17006025 8149740 13506320 8149740 13506320
r-677 33 0.86553 48 0.879433 102253139 -1 102253139 102253139 -1 114288881 115111939 -1 115111939 115111939 -1 -1 -1 -1
r-14 14 0.406593 46 0.323671 17519 735243 17519 17519 650743 17541 17521 929160 17521 17521 22941 502386 22941 22941
r-907 36 0.649206 10 0.955556 3258 1 3258 1 3302 1 3208 1 3208 1 1 1 1 1
r-16 32 0.40121 46 0.616425 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-722 45 0.308081 29 0.689655 32210526 28991970 28991970 28991970 42898178 23035881 56292559 49517297 49517297 49517297 57293407 43981024 43981024 43981024
r-701 15 0.390476 19 0.666667 10485 6891 10485 10485 11637 7338 14884 9821 14884 14884 16416 22279 16416 16416
r-210 46 0.0386473 48 0.820035 759954 259206 259206 759954 623750 350186 1723378 407758 407758 1723378 805395 318687 318687 805395
r-235 21 0.361905 23 0.328063 379172 435271 379172 379172 372441 388810 596615 726273 596615 596615 223813 288112 223813 223813
r-865 48 0.449468 34 0.0695187 8318424 -1 8318424 -1 60709586 51271693 14100337 -1 14100337 -1 26859263 -1 26859263 -1
r-499 39 0.187584 17 0.838235 87540 25953 87540 25953 108160 28863 125609 46450 125609 46450 85341 30569 85341 30569
r-446 21 0.971429 11 0.109091 928 299 299 299 949 236 2087 769 769 769 1238 371 371 371
r-290 48 0.719858 31 0.666667 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-680 28 0.716931 11 0.509091 6134 119 119 119 6134 122 6135 120 120 120 8002 1 1 1
r-445 23 0.802372 50 0.982857 3092 -1 3092 3092 -1 3313 3727 -1 3727 3727 -1 -1 -1 -1
r-504 34 0.700535 33 0.82197 63067863 65884855 63067863 65884855 87392527 50604941 93808141 107759787 93808141 107759787 57282498 87196501 57282498 87196501
r-459 28 0.410053 14 0.362637 150239 20764 150239 20764 158181 20231 217135 23825 217135 23825 112863 21232 112863 21232
r-204 20 0.736842 14 0.78022 6014 624 6014 624 6424 631 7726 626 7726 626 4706 935 4706 935
r-228 28 0.402116 27 0.282051 5512046 9083326 5512046 9083326 8904705 7196718 9850491 17042790 9850491 17042790 4576114 6208062 4576114 6208062
r-391 14 0.835165 24 0.199275 5950 4774 4774 5950 6996 4387 9153 7021 7021 9153 5839 7065 7065 5839
r-281 34 0.650624 31 0.0817204 170928 1128104 170928 1128104 549463 302958 287860 1864755 287860 1864755 208889 1130611 208889 1130611
r-592 15 0.514286 21 0.690476 2560 15651 2560 2560 11763 3260 3183 24810 3183 3183 3365 10546 3365 3365
r-49 45 0.0434343 41 0.717073 2821432 401542 401542 401542 2197482 255445 5030497 707100 707100 707100 2593872 707337 707337 707337
r-657 18 0.764706 30 0.616092 308728 920412 920412 308728 1228838 290519 424571 1394156 1394156 424571 247024 816023 816023 247024
r-520 10 0.266667 34 0.139037 1 1 1 1 1 1 1 1 1 1 1 1 1 1
r-99 32 0.820565 43 0.378738 17820962 16232401 16232401 17820962 23694228 12926899 28364140 27954538 27954538 28364140 33129177 13380715 13380715 33129177
r-622 28 0.298942 46 0.689855 26041862 20350573 20350573 26041862 27342626 20005628 45039194 35170696 35170696 45039194 17174606 35075797 35075797 17174606
r-381 27 0.011396 29 0.763547 155076 15305 15305 155076 134465 32644 293915 27282 27282 293915 166258 24289 24289 166258
r-436 23 0.173913 23 0.581028 160780 79883 79883 160780 128452 35354 227862 123896 123896 227862 166767 83455 83455 166767
r-536 49 0.855442 21 0.495238 1863279 445576 445576 445576 2123859 477362 2651398 648180 648180 648180 1577026 239530 239530 239530
r-127 43 0.821705 16 0 23763 143133 23763 143133 189580 54234 41482 223514 41482 223514 26324 143133 26324 143133
r-822 48 0.546099 22 0.982684 5164376 263624227 5164376 263624227 105746808 64174181 8241456 -1 8241456 -1 30789132 277770721 30789132 -1
r-788 47 0.276596 14 0.043956 24647335 1 24647335 1 24647335 1 24647335 1 24647335 1 1 1 1 1
r-159 39 0.31444 35 0.897479 1164906 2074965 1164906 2074965 2018602 1156854 2024306 3314340 2024306 3314340 1281020 1757318 1281020 1757318
r-274 39 0.840756 12 0.363636 13058 4569 4569 4569 15894 4007 17358 5945 5945 5945 22650 8114 8114 8114
r-675 41 0.59878 43 0.0564784 1379367 18134596 1379367 1379367 15596140 754181 2230089 29498966 2230089 2230089 871365 10380727 871365 871365
r-549 23 0.458498 45 0.607071 29331805 52608477 29331805 29331805 57494839 28270096 49865224 91510168 49865224 49865224 17655526 63433750 17655526 17655526
r-207 21 0.966667 50 0.281633 327412 98580 98580 327412 352965 123437 599056 179707 179707 599056 375260 109696 109696 375260
r-160 18 0.0588235 21 0.047619 1 145353 1 1 10699 1 2 145354 2 2 1 120918 1 1
r-552 37 0.403904 33 0.481061 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-672 35 0.0705882 38 0.920341 38178 28627 28627 38178 36717 19461 75779 57687 57687 75779 57041 48341 48341 57041
r-300 16 0.05 22 0.186147 968937 293220 293220 968937 4745847 478217 986499 322651 322651 986499 392803 488211 488211 392803
r-288 35 0.00168067 14 0.417582 1561491 9458 9458 9458 1543670 9430 1867254 11826 11826 11826 1561491 1164269 1164269 1164269
r-434 18 0 44 0.105708 -1 1 1 -1 -1 -1 1 1 1 1 1 -1 -1 1
r-146 47 0.855689 22 0.666667 5920978 199993 199993 199993 5941812 246982 8872554 281804 281804 281804 6750122 746061 746061 746061
r-212 24 0.315217 39 0.048583 38247 14724597 38247 38247 13629725 70461 46950 17391637 46950 46950 294442 16563316 294442 294442
r-731 10 0.333333 46 0.0714976 1 10457 1 1 10287 1 2 10458 2 2 1 15189 1 1
r-26 48 0.655142 27 0.22792 21324797 31324382 21324797 31324382 33298680 23660417 35697184 52284535 35697184 52284535 32752250 37418599 32752250 37418599
r-69 17 0.632353 42 0.440186 1022118 2914055 2914055 1022118 3062339 974676 1351982 4538957 4538957 1351982 1022723 3741306 3741306 1022723
r-406 24 0.695652 29 0.884236 221518 1847523 221518 221518 1355106 327204 309838 2699593 309838 309838 433799 2182223 433799 433799
r-240 14 0.0879121 19 0.871345 1755 895 895 1755 1687 1118 2868 2014 2014 2868 2006 1179 1179 2006
r-814 19 0.152047 34 0.97148 1042 13623 1042 1042 11759 757 3864 26161 3864 3864 4187 11554 4187 4187
r-773 40 0.111538 19 0.707602 98279 42123 42123 42123 125860 25609 140744 62834 62834 62834 86659 48798 48798 48798
r-884 15 0.619048 11 0.909091 1624 1622 1624 1622 5456 1363 1285 1783 1285 1783 612 1154 612 1154
r-883 33 0.844697 17 0.580882 183673 37692 37692 37692 177840 42176 288585 48058 48058 48058 213065 35095 35095 35095
r-162 35 0.811765 26 0.0523077 16523 61053 16523 61053 35797 32644 31304 139333 31304 139333 27781 90593 27781 90593
r-748 17 0.176471 38 0.375533 164028 1044291 1044291 164028 1194065 161145 188903 1457770 1457770 188903 110942 1067804 1067804 110942
r-140 20 0.878947 45 0.108081 27680 20954 27680 27680 34892 22533 50823 27868 50823 50823 22793 15777 22793 22793
r-246 49 0.852041 37 0.283784 10384127 5491379 5491379 5491379 12201466 4509191 17228565 10099682 10099682 10099682 14745354 9406901 9406901 9406901
r-942 40 0.00512821 30 0.864368 43932 4026 4026 4026 35207 2420 85231 16557 16557 16557 44899 15537 15537 15537
r-582 21 0.609524 19 0.0467836 5287 103592 5287 103592 87036 20068 8049 152937 8049 152937 23144 77343 23144 77343
r-205 15 0.380952 30 0.165517 4287 50220 4287 4287 40698 6609 5157 70440 5157 5157 5858 48110 5858 5858
r-111 36 0.601587 13 0.666667 248335 1 248335 1 254079 1 294990 2 294990 2 140803 1 140803 1
r-36 32 0.850806 44 0.172304 796952 741324 741324 796952 962847 569873 1369969 1297450 1297450 1369969 953604 977253 977253 953604
r-465 31 0.683871 17 0.779412 799941 45601 799941 45601 863769 45010 1128804 51102 1128804 51102 546594 55991 546594 55991
r-105 44 0.598309 25 0.41 53992412 32451227 32451227 32451227 60065483 29262257 97926851 55620617 55620617 55620617 81102307 61212170 61212170 61212170
r-744 44 0.208245 12 0.621212 25058 3939 3939 3939 27270 4067 35058 4867 4867 4867 25797 4055 4055 4055
r-25 36 0.485714 50 0.657143 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-322 34 0.714795 35 0.336134 17505635 18192553 18192553 17505635 25166850 13495877 30493964 32149231 32149231 30493964 17213916 22773902 22773902 17213916
r-167 17 0.286765 29 0.918719 3884 13555 3884 3884 16001 3702 6225 20909 6225 6225 3634 16037 3634 3634
r-24 37 0.0405405 23 0.379447 4568039 25103 25103 25103 4626265 25493 7070138 35215 35215 35215 4769673 318190 318190 318190
r-44 18 0.0980392 45 0.678788 265510 163983 163983 265510 307002 204115 421637 265364 265364 421637 204603 161907 161907 204603
r-662 10 0.133333 42 0.932636 1187 1637 1187 1187 1943 1302 1958 3407 1958 1958 860 1359 860 860
