instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped-D mcsplit-smart-swapped-O mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped-D mcsplit-b-smart-swapped-O mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped-D mcsplit-nosort-smart-swapped-O
r-530 29 0.211823 13 0.5 25579 8290 8290 8290 26590 9106 36860 9607 9607 9607 20508 12663 12663 12663
r-339 25 0.24 25 0.563333 793921 441323 441323 793921 934882 357499 1147462 640799 640799 1147462 1326783 901730 901730 1326783
r-916 27 0.165242 32 0.879032 93890 88572 93890 93890 108688 59155 151781 129642 151781 151781 93701 114628 93701 93701
r-311 31 0.16129 12 0.166667 158 207 207 207 158 207 153 179 179 179 3235 239 239 239
r-256 13 0.641026 12 0.969697 2419 131785 2419 131785 71539 33973 2723 154659 2723 154659 5933 132327 5933 132327
r-168 16 0.716667 23 0.134387 5404 9165 5404 5404 8725 3892 6783 12247 6783 6783 11759 9296 11759 11759
r-844 37 0.852853 12 0.878788 69 130 69 130 68 130 75 100 75 100 42 89 42 89
r-154 15 0.647619 12 0.257576 2076 2015 2076 2015 2696 1827 2524 2615 2524 2615 4007 4121 4007 4121
r-344 19 0.140351 24 0.155797 17316 52481 52481 17316 45712 18738 12715 55146 55146 12715 51180 208863 208863 51180
r-451 21 0.77619 23 0.339921 81036 81925 81925 81036 105395 58156 112045 113787 113787 112045 131434 113990 113990 131434
r-558 38 0.362731 40 0.773077 41572145 76090681 41572145 41572145 70426076 32966582 72177197 133736035 72177197 72177197 78235674 95637451 78235674 78235674
r-767 34 0.199643 24 0.141304 13039675 7088977 13039675 7088977 14397045 6982116 17404963 8567423 17404963 8567423 47768327 27073546 47768327 27073546
r-999 33 0.261364 32 0.502016 60799805 50730652 50730652 50730652 69284327 39514523 102320615 92245932 92245932 92245932 77105289 61927742 61927742 61927742
r-928 18 0.202614 14 0.010989 9877 112515383 9877 112515383 36425288 24907830 9658 115386635 9658 115386635 1344663 113239574 1344663 113239574
r-183 23 0.166008 18 0.156863 31951 9606 31951 9606 34265 11218 37650 10967 37650 10967 63807 118367 63807 118367
r-60 38 0.789474 35 0.769748 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-564 30 1 10 0.177778 6401 1179 1179 1179 6474 1179 13432 2025 2025 2025 6401 2079 2079 2079
r-455 39 0.592443 27 0.626781 -1 137448538 -1 137448538 -1 127888056 -1 -1 -1 -1 206535501 211445698 206535501 211445698
r-101 20 0.257895 23 0.142292 15836 119174 15836 15836 87524 21666 20363 170414 20363 20363 95138 257075 95138 95138
r-414 36 0.839683 23 0.3083 241437 210415 210415 210415 303194 135734 355804 326018 326018 326018 435302 393773 393773 393773
r-884 20 0.594737 38 0.719772 1580558 8065544 1580558 1580558 7204976 1707106 2197324 13245512 2197324 2197324 2486858 6425451 2486858 2486858
r-620 19 0.134503 11 0.0909091 70 90 70 90 70 90 56 63 56 63 10887 1063 10887 1063
r-547 23 0.181818 10 0.333333 3679 203 203 203 3680 203 3713 238 238 238 3505 337 337 337
r-591 19 0.51462 28 0.814815 73047 388410 73047 73047 282097 109360 107861 705049 107861 107861 105458 288143 105458 105458
r-950 34 0.16934 16 0.416667 232926 34887 34887 34887 230258 51297 353719 42806 42806 42806 149183 58996 58996 58996
r-914 34 0.368984 39 0.0931174 9017015 78005668 9017015 9017015 62717350 12653029 8540423 120397407 8540423 8540423 13026334 101099157 13026334 13026334
r-302 14 0.472527 21 0.214286 7095 39892 7095 7095 31352 9056 8646 66231 8646 8646 12211 40162 12211 12211
r-987 27 0.57265 33 0.94697 191650 4591499 191650 191650 3983126 208232 285697 6945701 285697 285697 469498 4853726 469498 469498
r-846 38 0.662873 26 0.424615 24918185 19465523 19465523 19465523 28516339 19456358 43603606 32948274 32948274 32948274 28913397 27260218 27260218 27260218
r-7 21 0.909524 15 0.609524 20526 3570 3570 3570 20980 4329 31175 4927 4927 4927 17591 4917 4917 4917
