instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped
r1-1-15-21 15 0.257143 21 0.290476 7 8 7 8 7 10 12 9 10 11 10
r3-1-23-21 23 0.351779 21 0.290476 184 287 287 205 260 291 442 487 226 200 197
r2-3-33-12 33 0.291667 12 0.393939 11 1 1 11 1 11 1 1 12 3 2
r3-1-12-24 12 0.393939 24 0.293478 1 7 1 6 1 1 10 1 1 5 1
r2-2-33-34 33 0.291667 34 0.304813 100006 100005 100004 100008 100001 100001 100007 100001 100009 100006 100008
r2-2-30-16 30 0.252874 16 0.3 102 23 24 104 24 145 30 30 84 48 48
r1-1-22-16 22 0.298701 16 0.291667 28 10 10 28 9 42 14 14 25 11 11
r1-1-26-35 26 0.295385 35 0.319328 30096 42785 30540 44096 29945 51089 78198 51024 38661 44887 38564
r1-3-39-23 39 0.325236 23 0.351779 15667 4733 4722 15389 4975 28082 7611 7604 12641 8896 9101
r2-1-36-21 36 0.366667 21 0.290476 6183 3876 3849 6381 3806 10925 6254 6314 6312 3771 3791
r1-3-28-23 28 0.280423 23 0.351779 1778 507 507 1613 582 3229 786 789 1786 1205 1243
r2-2-18-32 18 0.326797 32 0.288306 172 707 173 643 180 242 1173 240 387 593 385
r3-2-25-30 25 0.286667 30 0.252874 1883 4176 1881 3680 2121 2914 7028 2847 2778 2758 2840
r3-1-19-32 19 0.368421 32 0.268145 218 583 218 500 244 327 995 326 334 790 342
r3-2-35-25 35 0.307563 25 0.3 20310 11115 11155 20804 11153 36102 18203 18256 20546 14630 14644
r2-3-21-36 21 0.314286 36 0.269841 1251 5912 1244 5257 1295 1707 9494 1657 3622 4978 3657
r3-1-14-13 14 0.252747 13 0.410256 1 0 0 1 0 1 0 0 0 0 0
r3-3-39-27 39 0.287449 27 0.321937 71808 31292 31362 71624 33034 100004 49312 49709 77214 40708 40573
r1-3-13-27 13 0.410256 27 0.321937 5 16 5 14 5 6 22 6 6 8 6
r3-1-20-27 20 0.331579 27 0.259259 161 618 159 493 192 225 1041 226 339 473 340
r2-3-33-17 33 0.291667 17 0.279412 174 39 38 177 41 238 50 51 424 327 328
r3-2-28-39 28 0.26455 39 0.327935 80297 88711 79721 98189 75214 100005 100001 100002 56651 77700 56748
r2-3-27-27 27 0.296296 27 0.321937 2348 1899 2303 2368 1537 3989 3185 4000 2212 2407 2192
r1-1-33-21 33 0.327652 21 0.290476 3929 1946 1971 4014 1924 6851 2981 3006 3913 2332 2332
r1-3-22-14 22 0.298701 14 0.252747 4 1 1 4 1 5 1 1 6 3 3
r1-3-25-32 25 0.28 32 0.304435 6886 10296 6888 10450 6612 11446 18212 11277 8976 11535 9133
r1-3-34-14 34 0.306595 14 0.252747 39 4 4 39 5 42 5 4 26 4 4
r2-3-14-21 14 0.21978 21 0.390476 22 14 22 18 20 31 19 32 15 20 15
r3-2-13-31 13 0.358974 31 0.296774 4 29 4 27 4 5 37 5 7 21 4
r2-3-25-23 25 0.3 23 0.351779 953 558 538 933 568 1726 861 881 1004 744 741
r3-3-35-13 35 0.307563 13 0.358974 17 1 1 18 1 17 1 1 30 8 8
r2-3-25-13 25 0.3 13 0.358974 10 4 4 10 4 13 5 4 10 2 2
r2-1-38-16 38 0.314367 16 0.291667 603 135 124 608 132 815 148 148 459 200 197
r3-1-17-26 17 0.279412 26 0.295385 23 112 23 111 24 31 170 30 91 83 91
r1-3-23-35 23 0.304348 35 0.307563 2293 6890 2264 6771 2477 3411 11810 3406 3618 6357 3662
r2-3-10-18 10 0.377778 18 0.326797 0 0 0 0 0 0 0 0 0 0 0
r1-1-13-19 13 0.410256 19 0.304094 3 11 3 9 3 4 17 4 5 9 5
r1-2-37-25 37 0.285285 25 0.3 41350 17001 17060 41390 17626 72317 26577 26617 40542 24533 24473
r2-1-14-24 14 0.21978 24 0.293478 5 11 5 11 5 6 12 5 6 13 6
r3-3-27-11 27 0.321937 11 0.4 5 0 0 5 0 5 0 0 3 0 1
r1-2-30-24 30 0.301149 24 0.32971 3795 1933 1939 3722 1932 6950 3018 3004 3879 2934 2920
r1-1-13-20 13 0.410256 20 0.3 1 6 1 5 1 1 11 1 2 4 2
r2-1-10-29 10 0.377778 29 0.300493 0 5 0 5 0 0 6 0 0 6 0
r2-1-37-10 37 0.303303 10 0.311111 0 0 0 0 0 0 0 0 0 0 0
r3-2-34-40 34 0.304813 40 0.317949 100007 100002 100001 100000 100008 100007 100006 100003 100008 100008 100009
r3-3-15-19 15 0.285714 19 0.368421 8 13 8 14 7 12 21 12 6 9 6
r1-3-27-37 27 0.259259 37 0.304805 40437 54377 40171 56597 38837 67180 96837 67542 52654 76853 52666
r1-2-14-27 14 0.32967 27 0.296296 7 37 7 33 6 8 52 8 10 35 10
r1-1-11-28 11 0.327273 28 0.280423 0 6 0 6 0 0 7 0 1 4 1
r1-2-38-39 38 0.29303 39 0.327935 100000 100001 100008 100007 100005 100008 100004 100002 100006 100006 100001
r3-3-15-12 15 0.285714 12 0.393939 1 0 0 1 0 2 0 0 0 0 0
r2-1-37-40 37 0.303303 40 0.301282 100001 100008 100002 100006 100005 100001 100001 100000 100005 100006 100005
r1-1-17-38 17 0.272059 38 0.29303 126 454 126 416 131 156 624 160 153 299 151
r1-1-18-38 18 0.24183 38 0.29303 198 1115 184 1080 197 252 1565 247 157 1012 154
r3-2-32-30 32 0.304435 30 0.252874 30375 39867 39968 34995 36003 52565 71473 71327 44156 41494 41646
r1-1-40-12 40 0.301282 12 0.272727 6 0 0 6 0 6 0 0 0 1 1
