instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped
r-853 16 0.341667 35 0.319328 247767 306483 247767 283230 247712 320788 422443 320788 270029 304023 270029
r-548 28 0.312169 28 0.298942 7574395 10145013 7574395 9230954 7859996 12877561 17686037 12877561 19674715 10222975 19674715
r-341 37 0.331832 27 0.290598 19747988 36832139 36832139 21416796 35065860 36019135 62858504 62858504 27107821 47224810 47224810
r-490 22 0.281385 14 0.285714 9619 8268 8268 9977 8045 10586 8138 8138 12312 11006 11006
r-578 31 0.335484 40 0.314103 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-505 10 0.311111 39 0.306343 192 204 192 187 203 169 196 169 224 338 224
r-610 26 0.258462 36 0.290476 37437944 17941728 37437944 20020452 35369443 60306813 30780887 60306813 46823875 60779847 46823875
r-563 20 0.310526 38 0.312945 1832301 3835433 1832301 3628725 1832603 2610597 6221606 2610597 3316221 2704766 3316221
r-923 21 0.290476 14 0.285714 7059 2179 2179 7414 2295 9975 2610 2610 26367 17446 17446
r-338 34 0.340463 30 0.324138 22787551 38737847 38737847 26431569 33909960 -1 -1 -1 61672366 57727092 57727092
r-558 36 0.271429 15 0.247619 113908 26550 26550 115307 27671 130678 29941 29941 119690 70563 70563
r-516 20 0.378947 30 0.282759 196471 961740 196471 838966 244521 294836 1698840 294836 326256 449565 326256
r-297 29 0.325123 28 0.31746 9736904 5388430 5388430 11236560 4293783 16676704 8983801 8983801 21885107 14818427 14818427
r-654 18 0.379085 39 0.282051 340350 946310 340350 848905 368206 484970 1514773 484970 449435 383112 449435
r-132 29 0.295567 27 0.347578 6463621 5058212 5058212 6974177 5397402 11949921 8758807 8758807 9838687 20831976 20831976
r-986 38 0.28734 17 0.345588 610941 199041 199041 627750 204314 899201 262355 262355 631110 499913 499913
r-794 12 0.333333 16 0.3 3162 5831 3162 5616 2933 2391 6645 2391 3961 3950 3961
r-662 11 0.309091 22 0.25974 883 1595 883 1477 848 956 1564 956 2079 2977 2079
r-761 22 0.333333 19 0.28655 82715 164551 164551 95487 145005 128969 265158 265158 174755 141987 141987
r-626 17 0.25 18 0.248366 7892 6488 7892 7565 6769 11585 8051 11585 12371 20940 12371
r-617 10 0.155556 14 0.263736 535 465 535 399 504 573 485 573 380 449 380
r-260 18 0.30719 37 0.288288 146296 444982 146296 415949 149048 182281 651080 182281 274670 476844 274670
r-34 31 0.290323 34 0.313725 55936974 41819287 55936974 47419418 49786260 -1 -1 -1 101955588 -1 101955588
r-489 32 0.310484 13 0.24359 19881 8008 8008 19989 8089 21227 8377 8377 5644 5721 5721
r-24 20 0.305263 28 0.280423 261289 697629 261289 586817 316610 359105 1100016 359105 572555 552531 572555
r-317 33 0.299242 15 0.247619 69668 43112 43112 72028 44639 86372 48832 48832 61392 59817 59817
r-883 14 0.285714 14 0.340659 2649 990 2649 2756 968 3670 1211 3670 2595 4578 2595
r-765 15 0.295238 37 0.280781 61584 159047 61584 147577 61855 74013 199749 74013 124536 40221 124536
