instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped-D mcsplit-smart-swapped-O mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped-D mcsplit-b-smart-swapped-O mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped-D mcsplit-nosort-smart-swapped-O
r-662 10 0.133333 42 0.932636 0 0 0 0 0 0 0 1 0 0 0 0 0 0
r-686 41 0.996341 21 0.114286 5 0 0 0 5 0 14 2 2 2 3 2 1 1
r-217 28 0.0925926 38 0.506401 3290 375 372 3348 968 940 5135 540 519 5075 2689 687 695 2689
r-826 16 0.308333 33 0.386364 212 548 528 211 502 217 291 824 837 288 295 473 473 296
r-863 50 0.556735 34 0.483066 100007 100008 100007 100009 100006 100008 100005 100007 100006 100008 100001 100000 100002 100006
r-78 46 0.125604 11 0.8 1 3 2 3 2 2 2 5 5 5 3 2 2 2
r-624 37 0.372372 28 0.521164 50189 42925 42780 42938 52406 39687 96109 85785 84982 85394 62854 65694 65764 66065
r-656 14 0.032967 13 0.641026 0 0 0 0 0 0 0 0 0 0 0 0 0 0
r-965 47 0.372803 30 0.158621 90290 100007 89166 100000 100003 100002 100002 100006 100007 100006 100000 100008 100010 100002
r-518 29 0.137931 18 0.267974 90 2 2 2 88 4 111 3 3 3 91 9 8 9
r-330 14 0.285714 21 0.328571 3 7 7 3 7 3 4 11 10 4 4 9 9 4
r-924 36 0.409524 18 0.248366 1040 840 1044 849 1139 812 1635 1252 1576 1271 1361 839 1351 869
r-708 39 0.184885 47 0.292322 100000 100001 100000 100007 100001 100001 100006 100009 100005 100000 100006 100000 100005 100000
r-319 49 0.987245 20 0.3 64 1 1 1 65 1 95 3 3 3 61 56 55 56
r-751 22 0.748918 37 0.495495 3940 4368 4398 3999 5567 3663 6222 7540 7536 6249 7227 6067 6112 7229
r-795 32 0.417339 23 0.426877 8499 5428 5425 5400 8241 5401 16939 10161 10126 10005 8055 6725 6272 6718
r-654 31 0.733333 21 0.728571 1265 239 264 267 1263 276 2079 377 370 380 1128 901 870 900
r-961 31 0.716129 24 0 31 374 29 363 350 83 42 547 42 570 202 372 202 371
r-937 48 0.35461 41 0.315854 100001 100001 100001 100005 100009 100003 100004 100001 100008 100004 100001 100010 100002 100008
r-854 21 0.280952 22 0.419913 110 70 70 109 113 89 202 88 87 194 61 74 68 61
r-921 40 0.0230769 43 0.594684 11793 245 246 11750 5887 917 17958 452 457 17950 10530 845 841 10664
r-704 28 0 43 0.874862 30 7 7 30 24 15 75 16 15 74 30 19 19 31
r-116 32 0.913306 32 0.766129 100008 1870 1908 100007 65794 2789 100004 2506 2479 100004 100000 4438 4573 100007
r-886 32 0.893145 41 0.22561 241 174 176 241 244 190 463 298 298 460 421 373 339 421
r-899 32 0.0201613 36 0.55873 7237 336 339 7284 5434 770 10745 429 429 10738 5993 333 344 5897
r-194 18 0.745098 48 0.453014 1847 2714 2863 1833 3165 1834 2623 4912 4861 2617 3036 4234 4183 3105
r-944 44 0.439746 11 0.872727 47 16 48 16 59 16 68 18 69 18 71 22 71 23
r-571 29 0.736453 20 0.889474 70 70 72 71 118 65 94 85 93 78 380 226 382 222
r-4 25 0.146667 34 0.229947 7084 9303 9224 7081 13205 6532 10214 13072 13230 10003 8949 11699 11949 8997
r-905 14 0.164835 39 0.310391 10 74 74 10 68 10 11 71 68 11 38 99 99 39
r-484 49 0.807823 33 0.590909 100009 54064 53582 54236 100005 77649 100001 92143 92445 91328 100002 100002 100000 100009
r-382 22 0.822511 45 0.956566 11 4413 11 12 4071 15 14 4663 14 14 245 17591 250 240
r-580 47 0.79556 20 0.636842 3701 551 540 554 3482 618 5511 734 741 758 2611 1365 1346 1342
r-372 50 0.417143 41 0.460976 100002 100004 100001 100004 100000 100004 100001 100004 100005 100006 100004 100004 100000 100002
r-442 21 0.271429 28 0.941799 3 16 3 3 15 2 5 21 5 5 8 14 8 8
r-51 45 0.780808 46 0.87343 100007 100001 100008 100006 100007 100000 100002 100001 100009 100006 100000 100009 100004 100006
r-59 19 0.894737 29 0.214286 6 7 7 6 10 5 13 11 11 13 11 11 11 11
r-995 18 0.235294 21 0.047619 2 196 2 2 146 2 1 206 1 1 2 207 2 2
r-219 20 0.4 32 0.530242 1382 1391 1388 1391 1551 1322 2320 2449 2442 2319 1809 2036 1978 1801
r-173 13 0.0641026 33 0.831439 2 0 0 2 1 1 4 2 2 4 3 1 1 3
r-66 37 0.264264 16 0.266667 239 36 35 36 242 40 315 42 43 42 175 53 51 53
r-331 23 0.786561 15 0.409524 3 4 4 4 4 4 5 6 6 6 9 6 6 6
r-980 17 0.0882353 31 0.0795699 0 28681 0 0 20443 0 0 28566 0 0 3 46794 3 3
r-392 42 0.813008 49 0.0790816 293 312 296 297 298 161 572 682 556 564 331 391 330 334
r-389 30 0.496552 34 0.174688 2475 9368 2508 2772 6617 3692 4299 19171 4300 4324 4386 7139 4373 4464
r-845 24 0.00362319 38 0.268848 100007 100000 100001 100003 100005 100003 100004 100010 100006 100009 100008 100009 100006 100005
r-785 40 0.0923077 33 0.498106 2525 776 785 794 2088 1177 4599 1173 1158 1163 3613 1990 2009 1984
r-718 32 0.794355 37 0.0795796 36 59 37 37 70 18 55 107 55 58 42 58 43 43
r-583 29 0.652709 47 0.309898 19775 31499 19777 19627 35503 18911 35426 57827 35673 35488 38528 36246 38703 38452
r-896 33 0.719697 33 0.683712 100007 100005 100000 100004 100008 100001 100013 100003 100004 100008 100004 100009 100004 100008
r-490 41 0.947561 19 0.128655 3 2 2 2 2 1 6 4 4 4 4 3 3 3
r-438 39 0.551957 18 0.222222 406 755 411 711 514 618 646 1018 657 1044 1043 856 1038 859
r-232 41 0.607317 48 0.99734 100007 100008 100002 100005 100000 100008 100007 100002 100009 100001 100000 100003 100005 100007
r-970 11 0.945455 13 0.333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0
r-560 25 0.823333 22 0.298701 30 33 32 33 37 22 46 50 54 54 62 50 51 50
r-514 37 0.566066 14 0.945055 70 665 70 678 206 502 108 819 110 815 254 664 257 664
r-472 44 0.361522 22 0.229437 35011 27079 34862 27077 36914 26327 58997 42555 59035 42160 42761 30315 42675 30954
r-440 48 0.541667 27 0.287749 74435 97496 73778 96783 94930 86741 100002 100007 100007 100000 100006 100002 100007 100004
r-371 22 0.25974 34 0.124777 51 726 51 51 569 86 62 1014 62 61 138 781 134 140
r-215 24 0.057971 46 0.203865 8760 8541 8484 8845 14450 6882 8689 9315 9368 8643 100002 100000 100006 100006
r-498 39 0.939271 45 0.521212 51969 3001 2978 51986 27531 8827 89785 5205 5213 88606 73092 15546 15646 73560
r-710 37 0.813814 32 0.590726 41406 10716 10814 10759 36484 14796 85643 19218 18941 19585 30833 39878 39853 39924
r-929 34 0.803922 42 0.400697 21769 15471 15475 21693 21106 17666 37209 29905 29853 36894 34829 24444 24664 34343
r-112 13 0.128205 18 0.620915 1 0 0 1 1 1 1 0 0 1 3 1 1 2
r-293 16 0.566667 26 0 9 1452 9 9 1399 9 2 1660 2 2 195 1456 189 190
r-324 47 0.894542 45 0.515152 100003 52108 51717 51744 100007 84854 100004 94257 93833 93846 100005 100003 100003 100009
r-444 50 0.331429 23 0.478261 68198 21051 20785 21348 68125 22160 100002 36054 36227 36242 51330 29012 29172 29062
r-678 22 0.324675 24 0.438406 749 440 429 747 610 563 1375 753 742 1413 583 568 568 571
r-611 38 0.189189 23 0.818182 51 73 49 72 62 61 85 136 77 134 57 74 58 74
r-259 44 0.209302 39 0.423752 100008 100002 100008 100003 100010 100000 100002 100004 100009 100004 100007 100003 100006 100009
r-415 17 0.154412 29 0.726601 7 13 13 7 18 6 11 21 20 10 9 13 13 9
r-629 25 0.703333 38 0.755334 10736 34466 10622 10700 29828 11905 15803 58452 15897 15834 11375 18916 11375 11372
r-209 11 0.636364 26 0.729231 0 3 0 0 3 0 0 3 0 0 0 2 0 0
r-182 27 0.666667 28 0.989418 84 100002 85 84 100008 84 96 100003 98 98 2731 100000 2753 2689
r-585 29 0.0960591 34 0.741533 75 35 35 73 58 43 156 60 59 148 139 54 52 138
r-137 45 0.290909 42 0.593496 100003 100004 100008 100007 100005 100007 100000 100005 100008 100008 100005 100008 100003 100003
r-562 30 0.432184 24 0.376812 4598 4532 4657 4553 4890 4166 8860 8993 8837 8957 5286 5131 5256 5070
r-796 12 0.212121 30 0.873563 0 1 0 0 1 0 1 2 1 1 0 1 0 0
r-65 48 0.307624 14 0.67033 109 96 95 98 123 85 153 126 124 125 279 129 128 128
r-277 19 0.385965 36 0.509524 1530 1315 1318 1492 1470 1416 2241 2223 2265 2279 1514 1637 1617 1528
r-594 39 0.0350877 48 0.853723 61 43 43 60 72 53 191 89 87 193 98 70 71 94
r-429 50 0.0914286 31 0.989247 4 19 4 18 12 11 14 54 14 53 6 16 6 16
r-441 23 0.517787 31 0.423656 3189 4068 3266 3267 4276 2945 5777 7595 5803 5764 3714 4246 3734 3617
r-606 27 0.421652 14 0.813187 12 12 13 13 17 11 19 18 18 18 23 23 23 23
r-969 35 0.776471 31 0.28172 407 867 845 861 548 560 706 1439 1454 1468 1292 1472 1472 1482
r-695 11 0.490909 49 0.854592 1 4 1 1 4 1 1 5 1 1 4 8 4 5
r-737 28 0.452381 14 0.197802 42 65 41 63 55 62 61 92 64 89 53 67 53 66
r-346 30 0.554023 13 0.423077 23 21 23 21 24 21 31 28 30 28 44 29 45 29
r-762 31 0.191398 46 0.50628 72482 50602 51394 71895 92820 59825 100000 93300 92014 100008 94111 72806 73637 93220
r-341 32 0.715726 46 0.814493 54837 100008 54145 54133 100007 70033 83655 100000 82106 82188 100008 100000 100003 100005
r-9 36 0.871429 13 0.230769 3 2 2 2 5 1 4 3 3 3 3 2 2 2
r-766 17 0.198529 31 0.627957 55 39 37 55 57 35 84 62 61 83 90 82 85 89
r-519 25 0.913333 27 0.290598 33 10 10 33 25 17 57 17 17 57 37 21 21 37
r-148 14 0.340659 29 0.152709 2 14 2 2 12 2 2 18 2 2 10 8 10 10
r-468 24 0.264493 38 0.0938834 277 5069 281 281 3975 454 373 7228 371 372 973 11295 949 952
r-749 38 0.415363 31 0.262366 84801 100004 85925 100002 100002 100010 100000 100001 100002 100009 100003 100003 100005 100005
r-387 15 0.314286 23 0.193676 2 10 2 2 9 2 2 15 2 2 1 4 2 1
r-920 19 0.783626 29 0.337438 58 24 25 56 38 40 89 37 37 91 76 63 65 78
r-377 28 0.351852 20 0.621053 182 192 199 196 218 158 279 321 325 327 277 292 286 289
r-833 33 0.511364 46 0.404831 100009 100007 100005 100008 100000 100001 100005 100005 100001 100009 100009 100009 100006 100003
r-644 40 0.935897 10 0.933333 0 0 0 0 0 0 0 0 0 0 0 0 0 0
r-945 12 0.439394 38 0.761024 6 17 6 6 18 6 8 21 8 8 9 28 9 9
r-946 12 0.409091 11 0.527273 0 0 0 0 0 0 0 0 0 0 0 0 0 0
