instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped-D mcsplit-smart-swapped-O mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped-D mcsplit-b-smart-swapped-O mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped-D mcsplit-nosort-smart-swapped-O
r-26 22 0.337662 34 0.427807 7163882 1687183 1687183 7163882 2232880 6741295 12839475 2758808 2758808 12839475 7347801 6342382 6342382 7347801
r-872 11 0.927273 32 0.625 19313 2813 2813 19313 3680 14921 18541 2131 2131 18541 2631 1325 1325 2631
r-103 10 0.822222 18 0.588235 1530 100 100 1530 230 1471 1759 111 111 1759 1472 1074 1074 1472
r-991 34 0.131907 10 0.288889 22754 292 292 292 22755 294 22789 322 322 322 7730 56306 56306 56306
r-354 20 0.294737 14 0.252747 8475 4694 8475 4694 8952 4175 11523 5501 11523 5501 9702 14406 9702 14406
r-474 40 0.942308 19 0.0818713 519 794 794 794 519 543 302 1469 1469 1469 396 4079 4079 4079
r-823 40 0.0923077 11 0.454545 5623 1015 1015 1015 5785 1313 7483 1170 1170 1170 811 1705 1705 1705
r-836 12 0.106061 29 0.433498 7859 8512 8512 7859 11974 7379 5190 2812 2812 5190 6684 18323 18323 6684
r-720 31 0.597849 36 0.501587 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-6 23 0.304348 37 0.53003 6270759 2178452 2178452 6270759 3232120 4814183 10089906 3275510 3275510 10089906 4467749 9055697 9055697 4467749
r-998 37 0.39039 15 0.428571 144547 136586 136586 136586 150311 137583 204154 178861 178861 178861 289627 206196 206196 206196
r-87 24 0.971014 39 0.712551 -1 531650 531650 -1 -1 -1 -1 242778 242778 -1 -1 -1 -1 -1
r-429 27 0.210826 22 0.640693 31877 42162 42162 42162 34387 25727 27169 57985 57985 57985 66387 207475 207475 207475
r-398 14 0.692308 17 1 4979 3440377 4979 4979 3386245 4979 144 3715141 144 144 75765 3239720 75765 75765
r-969 34 0.285205 10 0.288889 204 211 211 211 204 221 217 194 194 194 38 68 68 68
r-37 18 0.24183 31 0.591398 142139 29944 29944 142139 52945 91251 197862 22864 22864 197862 427812 136975 136975 427812
r-132 25 0.46 23 0.225296 234006 752480 234006 752480 285564 623079 353022 1350204 353022 1350204 483837 259721 483837 259721
r-105 38 0.559033 16 0.808333 48726 752946 48726 752946 66383 697178 63935 1068895 63935 1068895 395462 652552 395462 652552
r-993 39 0.155196 19 0.438596 248537 9858 9858 9858 238831 27546 404787 13662 13662 13662 170445 482290 482290 482290
r-761 23 0.695652 36 0.453968 2129321 620912 620912 2129321 780310 1778679 3237438 921235 921235 3237438 7204750 3827252 3827252 7204750
r-887 30 0.347126 29 0.268473 8521110 19618643 8521110 19618643 10240388 16184316 14871467 35651576 14871467 35651576 11239324 20916914 11239324 20916914
r-608 33 0.198864 15 0.257143 31794 7041 7041 7041 32372 7655 37052 7564 7564 7564 24628 47604 47604 47604
r-703 23 0.822134 19 0.146199 719 1189 719 1189 729 861 753 1158 753 1158 1657 3159 1657 3159
r-157 32 0.016129 23 0.916996 397 101 101 101 397 115 801 715 715 715 550 208 208 208
r-787 24 0.057971 11 0.454545 365 312 312 312 416 298 403 100 100 100 332 266 266 266
