mcsplit mcsplit-h mcsplit+f mcsplit+fmm mcsplit+bigf mcsplit+r mcsplit+S
100000 100007 100007 100000 100010 100009 100009
503 2149 530 2400 471 489 492
41272 28671 42954 46520 60574 63029 41512
2757 3233 2731 2782 2443 2487 2749
26 25 25 26 26 26 26
0 0 0 0 0 0 0
100005 100008 100001 100004 100003 100001 100005
1844 2157 2006 2193 1687 1775 1829
100000 100009 100008 100006 100002 100002 100000
2 2 2 2 2 2 2
0 0 0 0 0 0 0
26 54 29 42 23 24 26
100001 100005 100003 100011 100006 100005 100009
31 40 31 31 31 31 31
1 1 1 1 1 1 1
34 42 36 38 31 33 34
13003 14738 13838 84332 12841 13233 13025
1 1 1 2 1 1 1
0 0 0 0 0 0 0
5 6 5 6 5 5 5
3 7 3 13 2 3 3
4 5 5 4 5 5 4
9 14 8 7 6 5 9
100005 100005 100009 100001 100003 100009 100009
0 0 0 0 0 0 0
0 1 0 0 0 0 0
19 20 21 22 18 19 19
14 18 13 1959 14 17 14
0 0 0 0 0 0 0
0 0 0 0 0 0 0
13 14 14 24 13 14 14
91885 100000 92796 100005 83810 83567 91819
1 2 1 2 2 2 2
100009 100009 100009 100009 100004 100009 100002
17734 100002 19123 34355 18673 19752 17856
0 0 0 0 0 0 0
0 0 0 0 0 0 0
19096 55171 20816 29236 20217 22020 19067
0 0 0 0 0 0 0
0 0 0 0 0 0 0
56 60 54 126 56 56 56
0 0 0 0 0 0 0
0 0 0 0 0 0 0
158 950 186 441 150 177 154
1221 2584 1205 3012 1285 1274 1215
0 0 0 0 0 0 0
1782 4022 1734 2179 1869 1857 1784
1988 2364 2027 9540 1596 1726 1987
100006 100007 100003 100009 100007 100002 100007
4 4 4 4 5 4 4
26 25 26 20 26 26 26
0 0 0 0 0 0 0
100006 100006 100003 100001 100001 100004 100002
0 0 0 1 0 0 0
1 0 1 0 1 1 1
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
8632 22552 6598 10048 5241 5336 8535
7 7 8 8 5 5 7
817 1513 817 1250 778 753 816
89180 100003 92449 100005 74479 84634 88980
31177 31943 44580 31483 33513 39929 31330
1 1 1 1 1 1 1
5078 13341 4377 4442 5745 5195 5002
5 12 5 11 5 5 5
80 133 101 116 87 100 80
2 4 2 2 2 2 2
100005 100006 100002 100003 100005 100007 100005
0 0 0 0 0 0 0
2 2 1 2 1 1 2
135 251 131 166 140 141 139
