instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped-D mcsplit-smart-swapped-O mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped-D mcsplit-b-smart-swapped-O mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped-D mcsplit-nosort-smart-swapped-O
r-102 19 0.877193 18 0.79085 3053 2270 2270 2270 1364 4501 3814 2748 2748 2748 7989 1658 1658 1658
r-474 31 0.462366 37 0.651652 158340104 210804252 158340104 158340104 257137428 169293778 305263013 394840067 305263013 305263013 182729753 246104082 182729753 182729753
r-173 32 0.885081 41 0.209756 432490 442271 442271 432490 818353 642928 782571 766258 766258 782571 619761 617833 617833 619761
r-70 41 0.590244 31 0.0344086 302036 4669088 302036 4669088 2391002 695647 599100 7802958 599100 7802958 673682 4965037 673682 4965037
r-365 28 0.719577 33 0.94697 731646 26488447 731646 731646 21124142 748098 925615 35199939 925615 925615 646017 32781504 646017 646017
r-780 26 0.766154 27 0.541311 2565052 1852217 1852217 2565052 4674763 2262877 4815382 3106124 3106124 4815382 3213877 1297977 1297977 3213877
r-754 41 0.239024 24 0.322464 27813318 2398961 2398961 2398961 25250827 2979070 45981684 3385921 3385921 3385921 20649802 6064855 6064855 6064855
r-295 28 0.328042 44 0.299154 99174510 348230743 99174510 99174510 345550530 96244291 156577515 618033232 156577515 156577515 59043283 311665917 59043283 59043283
r-833 16 0.00833333 28 0.846561 9802 1859 1859 9802 7237 5960 19881 5351 5351 19881 10443 3270 3270 10443
r-62 28 0.285714 34 0.668449 4572679 3194914 3194914 4572679 5594160 5434300 7357341 5387283 5387283 7357341 3554860 5184864 5184864 3554860
r-100 48 0.0992908 22 0.0822511 1 1 1 1 1 1 1 1 1 1 1 1 1 1
r-846 20 0.473684 43 0.0675526 35409 243540 35409 35409 247543 61008 51738 466760 51738 51738 56124 381080 56124 56124
r-88 39 0.916329 37 0.686186 460048517 14957952 14957952 14957952 246036908 27718597 652927971 21914535 21914535 21914535 493811357 110160661 110160661 110160661
r-35 30 0.0298851 41 0.0695122 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
