instance n1 density1 n2 density2 mcsplit mcsplit+f mcsplit+bigf mcsplit+randombigf
r-976 42 0.483159 42 0.483159 907536437 568010782 635311004 615857448
r-586 28 0.42328 28 0.42328 1158132 2921152 929907 937258
r-396 22 0.519481 22 0.519481 257671 462306 260524 268757
r-270 26 0.470769 26 0.470769 2555688 1958755 2118690 2072131
r-758 35 0.329412 35 0.329412 198521919 353572649 191718119 195543626
r-665 27 0.518519 27 0.518519 2277046 3147758 2055689 2093739
r-340 21 0.428571 21 0.428571 69912 130940 55992 56266
r-347 33 0.170455 33 0.170455 -1 -1 -1 -1
r-691 41 0.256098 41 0.256098 -1 -1 -1 -1
r-954 22 0.506494 22 0.506494 525940 251630 475142 466138
r-704 29 0.339901 29 0.339901 21473474 20473162 18534511 18145452
r-593 17 0.529412 17 0.529412 14546 19677 14797 15372
r-397 40 0.480769 40 0.480769 179036182 291717974 157684931 157992201
r-820 38 0.0526316 38 0.0526316 -1 -1 -1 -1
r-973 29 0.246305 29 0.246305 -1 -1 -1 -1
r-83 26 0.52 26 0.52 1698790 2273952 1658379 1676539
r-844 45 0.20202 45 0.20202 -1 -1 -1 -1
r-156 41 0.512195 41 0.512195 690163139 946039698 646434486 650726741
r-910 36 0.285714 36 0.285714 -1 -1 -1 -1
r-989 34 0.40107 34 0.40107 8661243 990412606 8510684 8891363
r-322 24 0.391304 24 0.391304 71119 962531 48177 47943
r-585 34 0.299465 34 0.299465 210780163 383562159 202145105 204924213
r-459 32 0.175403 32 0.175403 -1 -1 -1 -1
r-65 19 0.51462 19 0.51462 40840 26570 35973 33702
r-242 28 0.388889 28 0.388889 10415789 1305678 1687851 1404736
r-532 39 0.45614 39 0.45614 227054573 142798667 142277006 138156617
r-794 19 0.45614 19 0.45614 28177 32188 19876 19761
r-379 29 0.246305 29 0.246305 21866696 16850572 17140514 16414060
r-902 25 0.52 25 0.52 1523611 1667617 1425313 1450273
r-918 24 0.507246 24 0.507246 1858798 1015351 1513719 1466020
r-579 42 0.507549 42 0.507549 1657252803 2176809133 1501414941 1505468134
r-850 37 0.0540541 37 0.0540541 -1 -1 -1 -1
r-674 19 0.51462 19 0.51462 47933 53056 47910 51707
r-174 29 0.339901 29 0.339901 628496 536128203 344678 345797
r-654 17 0.220588 17 0.220588 3604 6736 3123 3061
r-89 28 0.47619 28 0.47619 1193043 2364224 955796 946433
r-442 21 0.514286 21 0.514286 245753 189233 209933 202942
r-583 35 0.443697 35 0.443697 306264488 375895371 267391349 265725904
r-552 45 0.438384 45 0.438384 394915975 897599894 422518319 430494817
r-82 44 0.241015 44 0.241015 -1 -1 -1 -1
r-821 29 0.295567 29 0.295567 11669749 19344370 10805060 10939907
r-353 27 0.433048 27 0.433048 651086 1412942 458268 461694
r-475 29 0.413793 29 0.413793 44107843 29601443 37978324 37105942
r-968 20 0.189474 20 0.189474 14996 12284 12320 12068
r-609 42 0.371661 42 0.371661 -1 -1 -1 -1
r-838 18 0.470588 18 0.470588 9536 5639 7889 7982
r-29 41 0.139024 41 0.139024 440744538 1783555142 393484166 403687725
r-823 17 0.308824 17 0.308824 1635498 558712 297376 231690
r-391 35 0.363025 35 0.363025 431846482 89400039 30336771 25415296
r-692 20 0.505263 20 0.505263 113157 75555 102083 100015
r-912 41 0.443902 41 0.443902 361917793 179412230 230993563 221664851
r-739 35 0.443697 35 0.443697 302075665 397873553 275591833 278286454
r-107 29 0.46798 29 0.46798 21553224 14360267 18494674 17903022
r-51 17 0.441176 17 0.441176 29121 15599 24640 23547
r-565 45 0.0868687 45 0.0868687 2892155848 -1 2721504292 3004221086
r-549 26 0.212308 26 0.212308 -1 -1 -1 -1
r-376 34 0.213904 34 0.213904 -1 -1 -1 -1
r-48 45 0.480808 45 0.480808 2000183262 1046359554 1406189037 1369455370
r-426 32 0.508065 32 0.508065 36536103 47123714 34204974 34750738
r-817 35 0.252101 35 0.252101 147973178 289589089 136096117 136766462
r-233 44 0.426004 44 0.426004 -1 -1 -1 -1
r-241 30 0.0666667 30 0.0666667 -1 -1 -1 -1
r-209 44 0.485201 44 0.485201 1000392788 1786019998 889679719 900299024
r-667 18 0.366013 18 0.366013 16882 25707 13132 12853
r-148 38 0.422475 38 0.422475 781784443 780352550 662344810 648747695
r-895 24 0.15942 24 0.15942 -1 -1 -1 -1
r-893 30 0.514943 30 0.514943 11849521 8188446 10050636 9841074
r-224 41 0.42439 41 0.42439 -1 -1 -1 -1
r-14 30 0.370115 30 0.370115 28754290 12614152 23525803 22618077
r-60 39 0.48583 39 0.48583 957987704 1169212834 822302159 817204417
r-763 30 0.23908 30 0.23908 -1 -1 -1 -1
r-671 25 0.38 25 0.38 2795012 1692280 2345665 2262570
r-534 38 0.308677 38 0.308677 585358576 993143805 543698669 552577169
r-947 20 0.189474 20 0.189474 -1 15655645417 1119509833 768316158
r-98 35 0.208403 35 0.208403 299050736 190782152 233977965 222701653
r-629 24 0.228261 24 0.228261 11018210 -1 11015419 11015419
r-639 27 0.358974 27 0.358974 297508 35576651 239134 239369
r-460 34 0.499109 34 0.499109 74321267 45276971 53230157 52020693
r-384 21 0.428571 21 0.428571 56739 75887 44199 44110
r-690 34 0.499109 34 0.499109 99320761 127923177 84182180 83813206
r-709 22 0.52381 22 0.52381 290267 385951 251136 257802
r-170 34 0.370766 34 0.370766 1103644819 193510617 89528646 71251721
r-438 16 0.533333 16 0.533333 6500 7249 5988 5492
r-154 25 0.153333 25 0.153333 242533 123974 182101 175087
r-631 30 0.508046 30 0.508046 26526133 19995467 23470897 23042813
r-473 29 0.37931 29 0.37931 20045393 14570017 16539427 15848411
r-392 41 0.402439 41 0.402439 2077778129 2185996949 1735281412 1692909535
r-13 16 0.125 16 0.125 2276965506 9973134189 2276965431 2276965431
r-655 20 0.268421 20 0.268421 137467 34455773 136579 136579
r-938 42 0.437863 42 0.437863 -1 -1 -1 -1
r-612 28 0.304233 28 0.304233 3631141983 1971844626 176732234 133298637
r-54 34 0.508021 34 0.508021 60816419 39140628 51191918 49642203
r-458 43 0.389812 43 0.389812 107944685 487622956 111531202 113942550
r-114 19 0.19883 19 0.19883 3566 4504 2471 2616
r-766 39 0.48583 39 0.48583 141850909 290602018 127652984 129392793
r-724 16 0.525 16 0.525 8371 17771 6873 6803
r-187 40 0.384615 40 0.384615 -1 -1 -1 -1
r-764 42 0.371661 42 0.371661 -1 -1 -1 -1
r-937 15 0.533333 15 0.533333 6682 3606 5684 5668
r-462 23 0.513834 23 0.513834 723871 356234 629873 611965
r-172 34 0.45098 34 0.45098 16797489 9650136 11680003 11337725
r-46 18 0.503268 18 0.503268 72352 42663 64571 60745
r-955 28 0.515873 28 0.515873 6333135 7987326 5699910 5701802
r-950 21 0.32381 21 0.32381 101735 246492 98077 100670
r-725 17 0.220588 17 0.220588 172978433 254507966 25850641 22080875
r-618 27 0.358974 27 0.358974 4797033 4131963 3990843 3895684
r-851 16 0.5 16 0.5 4634 3198 3989 3895
r-997 41 0.497561 41 0.497561 -1 -1 -1 -1
r-96 28 0.507937 28 0.507937 2009959 3294744 2000943 2062664
r-495 42 0.0929152 42 0.0929152 38391104 221706382 33577804 34250089
r-635 21 0.466667 21 0.466667 233266 173476 195833 188312
r-319 22 0.311688 22 0.311688 91522 177034 77738 79485
r-808 35 0.363025 35 0.363025 1369753189 426217611 63287222 52157675
r-801 20 0.336842 20 0.336842 84475 66250 70123 68230
r-614 27 0.31339 27 0.31339 3312890 2842818 2618272 2529356
r-985 16 0.533333 16 0.533333 10527 9898 9531 9144
r-589 22 0.519481 22 0.519481 503884 573943 465917 473142
r-117 42 0.511034 42 0.511034 1929830258 2281668979 1817736218 1842681340
r-151 21 0.466667 21 0.466667 205790 247127 154032 148029
r-99 18 0.424837 18 0.424837 66277 14418 29130 28056
r-966 17 0.308824 17 0.308824 18489 6236 13944 13576
r-145 18 0.424837 18 0.424837 20451 43867 15924 15688
r-643 23 0.166008 23 0.166008 -1 -1 -1 -1
r-146 39 0.496626 39 0.496626 484826353 164340944 345682136 342079676
r-276 40 0.296154 40 0.296154 -1 -1 -1 -1
r-324 45 0.377778 45 0.377778 -1 -1 -1 -1
r-590 42 0.437863 42 0.437863 302415513 719496805 318605790 326059026
r-933 44 0.332981 44 0.332981 88707182 -1 101689012 103794589
r-300 18 0.111111 18 0.111111 -1 -1 -1 -1
r-962 29 0.295567 29 0.295567 1881339 8728513112 1809710 1809878
r-413 42 0.501742 42 0.501742 -1 -1 -1 -1
r-772 35 0.510924 35 0.510924 244045863 193207134 217580752 214332141
r-126 29 0.487685 29 0.487685 22502176 16668900 19298397 18731115
r-778 45 0.438384 45 0.438384 -1 -1 -1 -1
r-141 33 0.458333 33 0.458333 3828692 7548024 3173691 3177341
r-4 30 0.287356 30 0.287356 16555718 12691017 13059154 12614041
r-830 29 0.339901 29 0.339901 8592494 15788520 7566661 7766953
r-863 19 0.51462 19 0.51462 69806 94987 63094 64659
r-102 32 0.352823 32 0.352823 52862482 70469577 48902975 49146921
r-403 17 0.441176 17 0.441176 5433 7668 3864 3786
r-341 40 0.466667 40 0.466667 106300978 259799851 102306991 103846890
r-647 45 0.454545 45 0.454545 675719858 1272351846 643955432 653023046
r-943 37 0.348348 37 0.348348 7351528 4116133270 6138697 6242340
r-572 31 0.27957 31 0.27957 28015332 40982837 25217160 25176740
r-656 16 0.233333 16 0.233333 3017 4304 2623 2566
r-841 17 0.514706 17 0.514706 17685 18915 15574 15050
r-886 27 0.39886 27 0.39886 20894197 3772820 2704594 2400345
r-749 17 0.514706 17 0.514706 32960 23235 28708 27924
r-521 18 0.503268 18 0.503268 43860 30074 38054 36642
r-67 15 0.47619 15 0.47619 5910 2188 4601 4533
r-502 37 0.45045 37 0.45045 113950330 50014672 65000622 61877591
r-317 31 0.511828 31 0.511828 25267309 23354490 22302335 21904226
r-680 18 0.20915 18 0.20915 2715749924 2150606903 216215576 129677243
r-143 15 0.247619 15 0.247619 2251 25794 1693 1673
r-775 25 0.5 25 0.5 500343 365805 365154 353357
r-354 16 0.4 16 0.4 7129 8334 5144 5149
r-978 38 0.308677 38 0.308677 -1 -1 -1 -1
r-197 43 0.365449 43 0.365449 -1 -1 2777293993 2020497123
r-723 30 0.45977 30 0.45977 17544694 19834480 14594162 14452558
r-940 30 0.434483 30 0.434483 2726305 5336317 2565964 2593002
r-745 41 0.378049 41 0.378049 -1 -1 -1 -1
r-809 35 0.393277 35 0.393277 240457682 375984340 230775168 233108014
r-331 43 0.511628 43 0.511628 2547864117 1658753704 2225155712 2172874834
r-536 30 0.404598 30 0.404598 8851940 2509200 1970782 1840873
r-822 44 0.332981 44 0.332981 -1 -1 -1 -1
r-987 39 0.415655 39 0.415655 2608456181 1947037655 2166044646 2122994791
r-71 43 0.449612 43 0.449612 -1 -1 -1 -1
r-166 32 0.225806 32 0.225806 14003217 10832252 10697931 10512930
r-491 36 0.488889 36 0.488889 68994778 45913703 50933170 49778711
r-390 23 0.403162 23 0.403162 273410 50426 92566 84771
r-163 23 0.498024 23 0.498024 484169 157503 317724 311185
r-176 33 0.477273 33 0.477273 105830055 75936920 85801094 83063213
r-386 34 0.258467 34 0.258467 151299754 -1 151018912 151018359
r-834 39 0.145749 39 0.145749 693145632 1995893455 645740520 657589399
r-729 15 0.419048 15 0.419048 5642 8755 4167 3939
r-515 27 0.358974 27 0.358974 193632 33172766 150034 149401
r-507 28 0.253968 28 0.253968 1490613 1264447 1046721 1020414
r-447 42 0.511034 42 0.511034 1283722341 1567286969 1250079430 1268866271
r-211 34 0.508021 34 0.508021 57843541 87673035 58415362 60287306
r-359 39 0.496626 39 0.496626 1084684016 711946954 876783068 858293310
r-90 37 0.153153 37 0.153153 130846323 662412596 123773245 128212988
r-470 39 0.48583 39 0.48583 244747248 158564093 165085360 160436170
r-633 34 0.40107 34 0.40107 5043509 18277063 4638719 4684262
r-125 39 0.512821 39 0.512821 501345729 638344718 479278324 484065898
