instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped-D mcsplit-smart-swapped-O mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped-D mcsplit-b-smart-swapped-O mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped-D mcsplit-nosort-smart-swapped-O
r-724 29 0.204433 42 0.551684 5045502 1949597 1949597 5045502 32058382 5070601 7262390 2812506 2812506 7262390 7455740 7010449 7010449 7455740
r-910 16 0.816667 49 0.823129 8000 18712 8000 8000 16432 7996 3376 7447 3376 3376 3849 18754 3849 3849
r-754 41 0.239024 24 0.322464 10553474 2341505 2341505 2341505 10044913 2881090 15890299 3494801 3494801 3494801 11212437 8728072 8728072 8728072
r-490 35 0.438655 19 0.0701754 4520 2215245 4520 2215245 16328 833003 1870 3088646 1870 3088646 75316 2198506 75316 2198506
r-978 34 0.84492 38 0.44239 954713 676108 676108 954713 16399835 1391866 1431931 1000620 1000620 1431931 2178055 3957215 3957215 2178055
r-281 18 0.111111 43 0.0531561 548 91923 548 548 90677 549 486 91938 486 486 1373 337492 1373 1373
r-521 50 0.545306 47 0.543016 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-618 17 0.617647 23 0.549407 104751 47133 47133 104751 50528 94621 172820 70565 70565 172820 101266 82089 82089 101266
r-824 45 0.774747 49 0.521259 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-391 37 0.735736 10 0.511111 5557 1259 1259 1259 5355 1290 5654 1372 1372 1372 1373 6017 6017 6017
r-354 13 0.102564 50 0.493878 671325 39561 39561 671325 60707 640811 816408 36145 36145 816408 573240 142254 142254 573240
r-393 39 0.796221 10 0.4 339 1678 1678 1678 389 3585 402 2158 2158 2158 605 2135 2135 2135
r-944 12 0.136364 16 0.533333 2368 277 277 2368 3456 3316 3387 364 364 3387 1516 1280 1280 1516
r-561 33 0.590909 44 0.443975 433633691 147734095 147734095 433633691 689385821 424627955 -1 -1 -1 -1 499745271 645691156 645691156 499745271
r-245 11 0.418182 39 0.721997 2864 594 2864 2864 13274 2802 2814 678 2814 2814 10051 4618 10051 10051
r-62 28 0.285714 34 0.668449 279551 275770 275770 279551 4567510 424643 401269 405053 405053 401269 3683890 2345903 2345903 3683890
r-242 26 0.510769 43 0.218162 480803 1701803 480803 480803 9193900 762240 757185 2445487 757185 757185 1191054 7058369 1191054 1191054
r-149 21 0.766667 36 0.968254 6904 4678880 6904 6904 4751053 10181 4746 5014326 4746 4746 95494 8399683 95494 95494
r-25 34 0.0641711 23 0.719368 5431 1262 1262 1262 7143 21133 10070 1876 1876 1876 10182 16507 16507 16507
r-96 17 0.595588 47 0.0286772 959 120705 959 959 19977 973 1705 67153 1705 1705 5777 28468 5777 5777
r-794 46 0.91401 30 0.170115 10675 17813 17813 17813 14178 93480 14656 27269 27269 27269 27579 45586 45586 45586
r-908 18 0.660131 21 0.0190476 189 4232 189 189 8980 128 443 6154 443 443 2926 4372 2926 2926
r-167 45 0.635354 14 0.21978 2790 51603 2790 51603 5040 212940 1207 72479 1207 72479 36626 202199 36626 202199
r-697 28 0.39418 23 0.418972 2420151 2769682 2769682 2769682 2309209 3123772 4526276 5093477 5093477 5093477 1932207 3526768 3526768 3526768
r-778 10 0.577778 27 0.777778 331 1354 331 331 1356 331 368 1393 368 368 812 762 812 812
r-783 48 0.678191 31 0.326882 8633049 12480691 12480691 12480691 11551890 66311528 14411440 21032384 21032384 21032384 10588409 49033330 49033330 49033330
r-446 39 0.80027 21 0.314286 11159 28213 28213 28213 11765 251734 10611 10593 10593 10593 147216 176936 176936 176936
r-146 16 0.183333 24 0.51087 22058 3304 3304 22058 90000 24126 29394 3500 3500 29394 38047 34419 34419 38047
r-143 29 0.29803 35 0.467227 45565300 10998280 10998280 45565300 17607580 39658882 92496898 19888554 19888554 92496898 45697431 21293968 21293968 45697431
r-171 15 1 41 0.917073 363020 314018 314018 363020 314015 363023 363011 314032 314032 363011 332 135 135 332
r-74 25 0.45 24 0.286232 187701 1789806 187701 1789806 293274 1038125 265946 3351312 265946 3351312 417672 916976 417672 916976
r-827 49 0.660714 21 0.604762 25018649 11735415 11735415 11735415 25114704 12395983 43527171 18345888 18345888 18345888 7618810 31496348 31496348 31496348
r-270 49 0.829932 15 0.0952381 131 9035 131 9035 190 10417 178 18118 178 18118 1923 11740 1923 11740
r-309 14 0.10989 34 0.919786 625 396 625 625 2171 501 1241 384 1241 1241 1098 368 1098 1098
r-730 18 0.261438 26 0.858462 3956 145 3956 3956 20746 4207 6210 291 6210 6210 4712 4429 4712 4712
r-453 40 0.425641 20 0.663158 337474 2848474 337474 2848474 451288 4358614 490416 4687417 490416 4687417 1305096 4092149 1305096 4092149
r-894 36 0.507937 13 0.397436 18113 79875 18113 79875 19684 90294 22786 93379 22786 93379 49397 82735 49397 82735
r-893 12 0.818182 25 0.263333 2606 1909 1909 2606 14596 2234 4668 722 722 4668 5535 2410 2410 5535
r-183 38 0.504979 42 0.700348 199272145 798749503 199272145 199272145 681697877 201283813 388854194 -1 388854194 388854194 267726680 323074173 267726680 267726680
r-69 32 0.391129 49 0.521259 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-259 35 0.317647 29 0.450739 32426881 7424250 7424250 7424250 29534478 8542305 66071881 13350793 13350793 13350793 20658808 23339726 23339726 23339726
r-470 17 0.0808824 37 0.316817 805445 102013 102013 805445 148919 759912 927128 124657 124657 927128 1522638 762213 762213 1522638
r-234 45 0.585859 18 0.601307 3170975 3678742 3170975 3678742 3300142 3644245 5168991 5447901 5168991 5447901 3144077 7266493 3144077 7266493
r-947 25 0.306667 43 0.785161 87824 96810 87824 87824 1282547 153428 138857 143784 138857 138857 1350824 571929 1350824 1350824
r-586 10 0.533333 22 0.324675 844 377 844 844 2330 859 944 436 944 944 1245 1230 1245 1245
r-311 31 0.23871 26 0.84 7870 8251 7870 8251 14921 112593 12309 14340 12309 14340 33118 194285 33118 194285
r-395 27 0.367521 43 0.803987 177078 248739 177078 177078 2196904 283818 217464 353903 217464 217464 1073555 991552 1073555 1073555
r-11 31 0.335484 13 0.974359 412 24296 412 24296 828 13222 391 37575 391 37575 5313 41934 5313 41934
r-973 41 0.112195 42 0.873403 6313 12018 12018 6313 407212 8838 12532 7456 7456 12532 38432 54438 54438 38432
r-984 22 0.541126 44 0.464059 29060669 7218651 7218651 29060669 23431633 28148318 51227255 10909239 10909239 51227255 45427138 29539021 29539021 45427138
r-705 36 0.0730159 15 0.885714 224 480 480 480 223 1411 197 1589 1589 1589 1270 955 955 955
r-716 30 0.871264 42 0.442509 2346485 262516 262516 2346485 11949461 2280771 3720658 403868 403868 3720658 3394845 2578984 2578984 3394845
r-488 47 0.466235 13 0.679487 19915 125740 19915 125740 23213 335874 24708 141453 24708 141453 137882 329094 137882 329094
r-213 29 0.512315 18 0.679739 214757 878412 214757 878412 283334 734521 326977 1486594 326977 1486594 233606 844948 233606 844948
r-804 11 0.581818 10 0.755556 45 96 45 96 52 89 66 132 66 132 199 116 199 116
r-810 10 0.333333 46 0.829952 2418 1137 2418 2418 4559 2378 3343 274 3343 3343 4974 4409 4974 4974
r-262 19 0.77193 41 0.964634 90498 2010680 90498 90498 2016549 107388 15585 890108 15585 15585 149881 5518268 149881 149881
r-680 14 0.879121 44 0.588795 114023 193105 193105 114023 220441 112862 93718 72932 72932 93718 59978 180670 180670 59978
r-756 14 0.923077 20 0.673684 64678 1087 1087 64678 3461 44391 73380 1305 1305 73380 72887 30863 30863 72887
r-869 35 0.878992 23 0.490119 113973 70849 70849 70849 145873 569885 55856 115272 115272 115272 149427 478335 478335 478335
r-921 10 0.511111 24 0.427536 2168 93 2168 2168 1490 2152 2241 115 2241 2241 2120 3634 2120 2120
r-988 17 0.977941 41 0.612195 153657653 245582 245582 153657653 1907517 47020789 176456181 166218 166218 176456181 132487472 37349245 37349245 132487472
r-637 27 0.0569801 16 0.708333 334 403 403 403 365 4631 821 794 794 794 943 2396 2396 2396
r-410 44 0.84778 24 0.634058 8711183 882680 882680 882680 7627934 1942540 14036335 1270861 1270861 1270861 3441193 1488516 1488516 1488516
r-548 10 1 40 0.837179 134 65 65 134 65 134 134 95 95 134 176 65 65 176
r-508 18 0.928105 25 0.24 4403 41 41 4403 12701 3005 3962 236 236 3962 3401 366 366 3401
r-606 22 0.450216 33 0.954545 1353 38872 1353 1353 60034 991 2222 56475 2222 2222 2645 56180 2645 2645
r-622 46 0.859903 46 0.639614 -1 389109878 389109878 -1 -1 -1 -1 696675069 696675069 -1 -1 1244809382 1244809382 -1
r-499 20 0.189474 47 0.343201 3514323 3935332 3935332 3514323 4206688 3479851 1621996 2307170 2307170 1621996 3434463 3421724 3421724 3434463
r-445 21 0.138095 36 0.955556 388 1762 388 388 3754 380 969 2302 969 969 2489 2105 2489 2489
r-168 11 0.490909 16 0.15 398 2057 398 398 2023 659 151 2641 151 151 827 699 827 827
r-119 13 0.0897436 33 0.8125 2299 101 101 2299 6927 2281 4556 219 219 4556 3352 133 133 3352
