instance n1 density1 n2 density2 mcsplit mcsplit+f mcsplit+bigf mcsplit+randombigf
r-263 28 0.198413 28 0.198413 -1 -1 -1 -1
r-764 42 0.371661 42 0.371661 -1 -1 -1 -1
r-245 35 0.420168 35 0.420168 60032442 31760348 23107372 21940182
r-564 43 0.389812 43 0.389812 -1 -1 -1 -1
r-309 28 0.452381 28 0.452381 5098217 3950563 3105114 2978526
r-611 22 0.246753 22 0.246753 15164285004 11827432128 3831392111 3494316164
r-12 39 0.364372 39 0.364372 3897236753 1435093717 235496337 201261079
r-344 36 0.474603 36 0.474603 91072428 67763458 64587000 62827079
r-927 36 0.436508 36 0.436508 25084192 38165968 21771999 22044269
r-410 31 0.180645 31 0.180645 18612787 24485388 13688881 13227180
r-737 17 0.485294 17 0.485294 22338 15360 17431 17432
r-557 31 0.503226 31 0.503226 51738378 49796611 47165412 47261696
r-874 28 0.507937 28 0.507937 17811751 17600337 16134456 16197710
r-290 18 0.366013 18 0.366013 297230 234944 31995 26148
r-98 35 0.208403 35 0.208403 299979357 232397484 234634093 223353988
r-749 17 0.514706 17 0.514706 46174 43753 41127 40631
r-729 15 0.419048 15 0.419048 11986 10470 8888 8695
r-760 17 0.220588 17 0.220588 7567 7182 6431 6287
r-488 15 0.47619 15 0.47619 7856 8577 5929 5826
r-525 39 0.364372 39 0.364372 3101356824 2980039099 2607112971 2545922063
r-590 42 0.437863 42 0.437863 479370931 764933035 483962345 493827028
r-936 31 0.511828 31 0.511828 23052107 25982212 21281705 21661660
r-51 17 0.441176 17 0.441176 31189 25937 25770 24688
r-226 24 0.431159 24 0.431159 435327 584629 317593 315649
r-292 43 0.511628 43 0.511628 3123210416 -1 -1 -1
r-255 43 0.27907 43 0.27907 -1 -1 -1 -1
r-71 43 0.449612 43 0.449612 -1 -1 -1 -1
r-496 22 0.519481 22 0.519481 342806 365608 285483 287181
r-758 35 0.329412 35 0.329412 242133366 355781265 234608960 239310457
r-221 23 0.0869565 23 0.0869565 -1 -1 -1 -1
r-635 21 0.466667 21 0.466667 285942 314962 240680 233433
r-984 30 0.48046 30 0.48046 46221551 40684159 38584366 38050041
r-127 40 0.466667 40 0.466667 -1 3300114869 2800342926 2745072592
r-533 44 0.332981 44 0.332981 -1 -1 -1 -1
r-624 32 0.514113 32 0.514113 54432007 52788000 47157231 46000461
r-711 34 0.515152 34 0.515152 95869378 95017302 85377440 84197483
r-125 39 0.512821 39 0.512821 797715537 697539710 748905220 750295861
r-53 45 0.509091 45 0.509091 -1 -1 -1 -1
r-668 17 0.441176 17 0.441176 23969 20616 18226 18106
r-404 27 0.518519 27 0.518519 9616425 9062205 8564400 8428097
r-403 17 0.441176 17 0.441176 13450 10500 10700 10294
r-306 38 0.490754 38 0.490754 858385937 897638019 697573758 678816403
r-793 32 0.483871 32 0.483871 86985337 97159502 73497179 71729154
r-845 38 0.341394 38 0.341394 960626708 1275773133 892099345 901619571
r-976 42 0.483159 42 0.483159 1022450741 880044452 695640031 674599804
r-924 42 0.315912 42 0.315912 -1 -1 -1 -1
r-206 42 0.512195 42 0.512195 2848955334 2571631296 2525599702 2489129995
r-526 45 0.4 45 0.4 3216299334 1454295149 410125174 372779137
r-933 44 0.332981 44 0.332981 106231033 -1 120411964 123051951
r-625 20 0.478947 20 0.478947 171218 173585 140429 136332
r-779 29 0.512315 29 0.512315 9747621 12579700 8723840 8563980
r-478 39 0.437247 39 0.437247 165621904 98119896 93327231 90651212
r-35 44 0.494715 44 0.494715 -1 -1 -1 -1
r-4 30 0.287356 30 0.287356 20029109 19636548 15324355 14852334
r-260 41 0.443902 41 0.443902 376126919 271172943 229562546 220195120
r-503 35 0.110924 35 0.110924 -1 -1 -1 -1
r-816 24 0.431159 24 0.431159 728859 441400 312442 295158
r-397 40 0.480769 40 0.480769 267129932 324563435 230172457 230272556
r-88 23 0.513834 23 0.513834 640540 674942 611475 601329
r-747 28 0.137566 28 0.137566 -1 -1 -1 -1
r-373 40 0.328205 40 0.328205 -1 -1 4703806165 3591909000
r-287 22 0.246753 22 0.246753 32683819 5002844089 32681125 32681125
r-441 41 0.35122 41 0.35122 -1 6376101036 1134554408 894051849
r-268 37 0.348348 37 0.348348 -1 4117197587 1735711371 1158522116
r-580 18 0.522876 18 0.522876 81129 84209 72706 75709
r-376 34 0.213904 34 0.213904 -1 -1 -1 -1
r-710 45 0.268687 45 0.268687 -1 -1 -1 -1
r-889 18 0.522876 18 0.522876 45459 46671 41678 40585
r-857 17 0.382353 17 0.382353 10145 168071 7743 7784
r-704 29 0.339901 29 0.339901 25124051 30151780 21571992 21165562
r-74 31 0.232258 31 0.232258 54181340 44883947 39545441 37944296
r-460 34 0.499109 34 0.499109 86149337 86342406 61354623 60174408
r-310 17 0.382353 17 0.382353 38508 37727 31702 31036
r-8 42 0.135889 42 0.135889 -1 2596751204 -1 -1
r-148 38 0.422475 38 0.422475 854083189 1056741457 721583277 707846624
r-848 43 0.172757 43 0.172757 -1 -1 -1 -1
r-230 26 0.492308 26 0.492308 4345179 4761908 3434934 3363494
r-123 25 0.513333 25 0.513333 1703916 1817827 1580137 1620197
r-656 16 0.233333 16 0.233333 5776 8299 4795 4941
r-63 25 0.453333 25 0.453333 3450463 3032277 3022941 3004631
r-738 18 0.111111 18 0.111111 1523548 -1 1523395 1523395
r-713 26 0.212308 26 0.212308 18506863 -1 17756600 17756600
r-677 19 0.280702 19 0.280702 762352 56091029 760779 760779
r-312 29 0.512315 29 0.512315 15679660 15274804 13969021 13655036
r-37 19 0.526316 19 0.526316 46097 52621 41901 41545
r-539 15 0.47619 15 0.47619 14836 14440 12731 12368
r-30 41 0.42439 41 0.42439 -1 -1 -1 -1
r-603 39 0.267206 39 0.267206 2244620842 2467937634 1781267664 1732300717
r-21 32 0.272177 32 0.272177 168964684 163215911 139505750 135601868
r-523 44 0.511628 44 0.511628 -1 -1 -1 -1
r-999 29 0.37931 29 0.37931 14579839 17230228 12762865 12839052
r-909 29 0.46798 29 0.46798 23996263 22395569 19810441 19604242
r-913 15 0.533333 15 0.533333 8190 5929 7052 7000
r-910 36 0.285714 36 0.285714 -1 -1 -1 -1
r-896 39 0.504723 39 0.504723 945535310 1014613152 848632011 838473850
r-705 18 0.503268 18 0.503268 101446 89308 78069 75625
r-334 36 0.507937 36 0.507937 155130658 172639367 131813026 129358954
r-217 34 0.499109 34 0.499109 99754132 103253596 78147186 76059169
r-150 35 0.252101 35 0.252101 549161768 430563716 417608324 406091504
r-360 43 0.498339 43 0.498339 981105481 1411511422 880706649 899399623
r-623 42 0.284553 42 0.284553 -1 -1 -1 -1
r-701 36 0.488889 36 0.488889 573844864 555094758 496165164 492434946
r-343 45 0.511111 45 0.511111 -1 -1 -1 -1
r-992 33 0.378788 33 0.378788 4951110 188196752 4816460 4935190
r-276 40 0.296154 40 0.296154 -1 -1 -1 -1
r-58 43 0.310078 43 0.310078 -1 -1 -1 -1
r-602 32 0.516129 32 0.516129 51068734 52923672 46933682 46485380
r-42 27 0.433048 27 0.433048 511621 464303 366494 365173
r-519 15 0.514286 15 0.514286 13006 13028 12324 12963
r-665 27 0.518519 27 0.518519 4168241 3929600 3569545 3562944
r-725 17 0.220588 17 0.220588 172978482 281981830 25850735 22080969
r-790 24 0.521739 24 0.521739 785039 831830 648202 631048
r-54 34 0.508021 34 0.508021 66316227 56913203 55771122 54091699
r-596 18 0.503268 18 0.503268 34586 28787 29935 29829
r-582 31 0.124731 31 0.124731 -1 -1 -1 -1
r-912 41 0.443902 41 0.443902 392381656 299775624 248994181 239326953
r-472 29 0.44335 29 0.44335 33213012 34572493 29751629 29790520
r-509 18 0.503268 18 0.503268 62408 54564 53723 53212
r-75 21 0.380952 21 0.380952 395807 314834 338118 330321
r-372 42 0.507549 42 0.507549 -1 -1 -1 -1
r-259 34 0.499109 34 0.499109 162871755 142736445 138473068 136585055
r-86 40 0.184615 40 0.184615 3128138018 -1 2981732165 3060236581
r-445 27 0.39886 27 0.39886 6765499 7427329 5959677 5999895
r-558 22 0.311688 22 0.311688 432899 493442 391428 393610
r-573 37 0.483483 37 0.483483 124134380 115234616 85356082 83231972
r-462 23 0.513834 23 0.513834 815164 670180 708979 690056
r-320 39 0.45614 39 0.45614 122743652 94885129 78246680 75194013
r-364 18 0.294118 18 0.294118 10094 6399622 9031 9031
r-520 36 0.512698 36 0.512698 253550998 224030222 219838798 215043288
r-240 42 0.315912 42 0.315912 -1 -1 -1 -1
r-553 25 0.453333 25 0.453333 4651596 4658531 4008848 3899334
r-683 44 0.5074 44 0.5074 -1 -1 -1 -1
r-187 40 0.384615 40 0.384615 -1 -1 -1 -1
r-823 17 0.308824 17 0.308824 1653902 638623 298113 232427
r-369 39 0.267206 39 0.267206 -1 -1 -1 -1
r-273 23 0.300395 23 0.300395 920719 1060631 818540 806274
r-777 24 0.15942 24 0.15942 -1 -1 -1 -1
r-452 18 0.424837 18 0.424837 89122 94250 74958 74118
r-998 39 0.145749 39 0.145749 -1 -1 -1 -1
r-799 36 0.322222 36 0.322222 -1 -1 4417240041 3170795575
r-506 22 0.415584 22 0.415584 150611 132136 101962 100514
r-167 32 0.497984 32 0.497984 21978431 21109611 16617625 16139881
r-229 23 0.300395 23 0.300395 285404 389640 217542 213029
r-935 17 0.308824 17 0.308824 467401 208880 116097 99118
r-165 19 0.491228 19 0.491228 108861 93901 84020 83019
r-377 38 0.500711 38 0.500711 1448555207 1405299046 1302065322 1293759217
r-361 41 0.512195 41 0.512195 1480646976 1618054127 1373589015 1382379421
r-735 40 0.142308 40 0.142308 -1 -1 -1 -1
r-544 23 0.403162 23 0.403162 291132 1272517 233673 236594
r-293 43 0.478405 43 0.478405 -1 -1 -1 -1
r-389 45 0.490909 45 0.490909 1838431855 2459192034 1652178886 1667955860
r-679 32 0.417339 32 0.417339 8675543 12845475 8116728 8250082
r-436 39 0.504723 39 0.504723 1480143840 1412348360 1328355476 1322565492
r-820 38 0.0526316 38 0.0526316 -1 -1 -1 -1
r-569 40 0.492308 40 0.492308 1709889093 1637974589 1467754003 1459906062
r-513 31 0.516129 31 0.516129 24693719 28298741 21733001 21683341
r-822 44 0.332981 44 0.332981 -1 -1 -1 -1
r-59 31 0.395699 31 0.395699 30704082 12847159 4981204 4581488
r-352 19 0.105263 19 0.105263 -1 -1 -1 -1
r-156 41 0.512195 41 0.512195 1016572293 1030333897 957442575 962244598
r-942 16 0.458333 16 0.458333 19316 14293 8658 7741
r-68 16 0.325 16 0.325 7740 2708609 7049 7049
r-15 45 0.480808 45 0.480808 2916339621 2509016113 2011340044 1950731700
r-663 30 0.23908 30 0.23908 -1 -1 -1 -1
r-3 40 0.142308 40 0.142308 -1 -1 -1 -1
r-556 20 0.336842 20 0.336842 336921 6912517 289215 289122
r-288 34 0.299465 34 0.299465 133779048 163005167 126990281 128370410
r-835 40 0.408974 40 0.408974 2064310997 1821050784 1694215698 1643081929
r-99 18 0.424837 18 0.424837 110265 76530 47096 45759
r-530 34 0.508021 34 0.508021 144230674 127798237 124872784 124486654
r-102 32 0.352823 32 0.352823 70239990 87855986 64772426 65162072
r-561 25 0.22 25 0.22 384095 489704 330283 330999
r-244 41 0.095122 41 0.095122 734449314 1520868916 790808477 870495214
r-426 32 0.508065 32 0.508065 47977065 53610384 43828755 44321506
r-262 16 0.4 16 0.4 8429 10649 5994 6044
r-571 37 0.153153 37 0.153153 -1 -1 -1 -1
r-130 20 0.521053 20 0.521053 136795 120963 127737 134058
r-251 27 0.14245 27 0.14245 -1 -1 -1 -1
r-728 23 0.237154 23 0.237154 451474 726803 430113 439761
r-220 15 0.47619 15 0.47619 5636 6874 3678 3313
r-651 30 0.48046 30 0.48046 3886756 4428600 3341584 3413757
r-294 32 0.314516 32 0.314516 33991333 52402785 34003229 34917550
r-732 18 0.424837 18 0.424837 43544 39258 35170 34426
r-208 25 0.28 25 0.28 787872 4973791309 778133 778141
r-752 32 0.417339 32 0.417339 83603143 90253376 72304648 72480020
r-868 39 0.472335 39 0.472335 214053483 213380347 144578443 140582273
r-480 34 0.40107 34 0.40107 376672968 228061653 303394875 295550961
r-85 24 0.228261 24 0.228261 -1 -1 7691558091 5045427814
r-988 22 0.519481 22 0.519481 606610 615554 518490 505929
r-67 15 0.47619 15 0.47619 7494 8112 5595 5518
r-474 32 0.387097 32 0.387097 45021212 18433434 7103402 6529126
r-852 22 0.484848 22 0.484848 500239 471420 422655 414830
r-622 34 0.213904 34 0.213904 170093126 287877880 162179641 166420950
r-76 44 0.502114 44 0.502114 -1 -1 -1 -1
r-956 42 0.344948 42 0.344948 -1 -1 -1 -1
r-101 31 0.395699 31 0.395699 19136618 6984700 4762761 4540040
r-806 35 0.420168 35 0.420168 280831858 324777562 236979878 231176482
r-487 30 0.23908 30 0.23908 -1 -1 -1 -1
r-940 30 0.434483 30 0.434483 4792397 6554982 4116221 4149975
r-800 29 0.339901 29 0.339901 1637425 203768577 1472566 1480167
r-387 22 0.415584 22 0.415584 187413 216179 153532 153357
r-49 29 0.44335 29 0.44335 7097868 5046392 3868158 3628563
r-918 24 0.507246 24 0.507246 2247415 2312241 1759308 1706743
r-853 23 0.237154 23 0.237154 283722 322807 274161 281380
r-142 35 0.393277 35 0.393277 296643779 274901828 240771909 232895455
r-709 22 0.52381 22 0.52381 487249 434458 425816 431572
r-548 27 0.262108 27 0.262108 19052760 -1 19029341 19029352
r-715 22 0.367965 22 0.367965 813018 385746 137269 118205
r-767 29 0.37931 29 0.37931 772693 5862062 607128 608753
r-128 33 0.306818 33 0.306818 7946111 -1 7546379 7553521
r-552 45 0.438384 45 0.438384 644218727 940855933 673436683 686953123
r-841 17 0.514706 17 0.514706 33373 31343 29702 28792
r-893 30 0.514943 30 0.514943 13161426 12976084 11070752 10876460
r-341 40 0.466667 40 0.466667 210366734 298757157 192134838 194659720
r-672 25 0.42 25 0.42 2399012 2243104 1808763 1743170
r-401 19 0.19883 19 0.19883 9000 7177 5279 5099
r-923 33 0.306818 33 0.306818 247937618 -1 247646067 247645715
r-479 36 0.107937 36 0.107937 -1 -1 -1 -1
r-274 32 0.387097 32 0.387097 157929886 139581965 129523592 127014857
r-859 23 0.498024 23 0.498024 643780 525381 513157 507846
r-56 16 0.4 16 0.4 14701 13263 12161 11975
r-155 39 0.099865 39 0.099865 75670479 266754899 73490397 78276408
r-680 18 0.20915 18 0.20915 2716793026 2968754418 216220985 129682652
r-736 22 0.519481 22 0.519481 532383 550302 462272 457528
r-97 25 0.453333 25 0.453333 4537873 4611425 3951085 3916623
r-414 20 0.336842 20 0.336842 178582 219070 170107 172061
r-639 27 0.358974 27 0.358974 432109 35764434 349664 350110
r-808 35 0.363025 35 0.363025 1380232370 437941638 63813314 52678679
