instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped
r-106 24 0.456522 24 0.478261 4216528 3480257 3480257 4175078 3769914 7874635 6107483 6107483 4183885 3970714 3970714
r-718 24 0.623188 24 0.166667 82790 248676 82790 252650 96995 103106 374550 103106 164810 264709 164810
r-654 24 0.351449 24 0.503623 1906541 2170773 2170773 2319018 1825241 3128286 3600026 3600026 3003719 2180234 2180234
r-540 24 0.916667 24 0.0797101 4754 6669 4754 11579 4357 10517 11761 10517 8739 7056 8739
r-687 24 0.318841 24 0.90942 19624 90093 19624 71366 18817 32871 148380 32871 26737 89200 26737
r-745 24 0.0253623 24 0.398551 3106863 39756 39756 2407911 239089 4257506 53079 53079 3523005 178343 178343
r-260 24 0.0905797 24 0.264493 4941710 55883 55883 1498676 2236852 5985780 73809 73809 9922431 3058495 3058495
r-971 24 0.836957 24 0.0543478 6429 14646 6429 24355 5152 12471 32757 12471 10723 19262 10723
r-41 24 0.800725 24 0.865942 371678 1408100 371678 1166563 392710 473552 1817062 473552 832433 1620283 832433
r-343 24 0.507246 24 0.710145 1198696 2565651 1198696 2150161 1239067 2014959 4876024 2014959 1301060 1498111 1301060
r-928 24 0.913043 24 0.391304 40496 28285 28285 103935 40117 67172 44284 44284 60349 34144 34144
r-351 24 0.884058 24 0.532609 538027 38794 38794 334127 278014 853500 55906 55906 568710 343789 343789
r-946 24 0.228261 24 0.971014 4334 73280 4334 22247 2967 9584 122770 9584 9224 39035 9224
r-761 24 0.0869565 24 0.576087 125243 58380 58380 205784 121808 187963 81815 81815 175378 65842 65842
r-636 24 0.119565 24 0.547101 240766 106155 106155 397706 240131 366298 159532 159532 337732 183527 183527
r-509 24 0.688406 24 0.641304 3087704 2459332 2459332 3118020 2618969 5276352 4029536 4029536 3235654 2920493 2920493
r-198 24 0.876812 24 0.51087 250305 42601 42601 173235 179666 463484 66235 66235 228227 97447 97447
r-346 24 0.293478 24 0.0144928 25847539 774574655 25847539 657885889 25832015 25881900 895750810 25881900 7497337 730866768 7497337
r-373 24 0.503623 24 0.228261 335811 344094 335811 618968 347317 461851 505455 461851 406768 427248 406768
r-682 24 0.949275 24 0.373188 120694 15157 15157 131956 72396 191501 25729 25729 103854 24542 24542
r-555 24 0.452899 24 0.956522 16456 119593 16456 92609 15377 24219 182462 24219 50240 121014 50240
r-888 24 0.731884 24 0.481884 1070279 1070666 1070666 1903002 1139410 1640169 1723719 1723719 2057879 1494012 1494012
r-413 24 0.257246 24 0.126812 461427 3807948 461427 2664269 543111 637970 5334755 637970 923911 4002755 923911
r-995 24 0.0615942 24 0.865942 12758 4678 4678 15856 12927 26363 9249 9249 13439 7585 7585
r-505 24 0.528986 24 0.833333 144189 529101 144189 413296 191183 170997 882780 170997 293119 301204 293119
r-672 24 0.471014 24 0.148551 204303 629734 204303 490111 246055 303902 1113407 303902 312555 616047 312555
r-45 24 0.246377 24 0.438406 2113765 630352 630352 1559886 1640008 3922458 952641 952641 1778701 1274646 1274646
