instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped-D mcsplit-smart-swapped-O mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped-D mcsplit-b-smart-swapped-O mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped-D mcsplit-nosort-smart-swapped-O
r-293 25 0.83 22 0.575758 618168 166592 166592 166592 488981 258938 978990 226440 226440 226440 407042 274761 274761 274761
r-465 13 0.102564 10 0.0666667 844 1731 844 1731 2726 865 840 1726 840 1726 111 85 111 85
r-34 10 0.644444 17 0.639706 943 2886 2886 943 2930 940 1018 3185 3185 1018 910 3282 3282 910
r-412 11 0.218182 16 0.633333 3989 2665 2665 3989 8481 4412 5276 3527 3527 5276 7885 3994 3994 7885
r-92 15 0.685714 42 0.379791 213056 477728 477728 213056 1420250 211048 263951 682509 682509 263951 494690 721688 721688 494690
r-866 21 0.385714 12 0.181818 17838 25951 17838 25951 27267 22323 24027 33275 24027 33275 46274 32895 46274 32895
r-280 36 0.614286 17 0.580882 2595096 680294 680294 680294 2605371 689561 4112840 946185 946185 946185 2179998 1421323 1421323 1421323
r-662 50 0.367347 47 0.66975 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-257 21 0.457143 44 0.954545 45761 518196 45761 45761 373442 51769 36195 799627 36195 36195 87785 412980 87785 87785
r-98 25 0.223333 23 0.422925 814200 357620 357620 357620 607830 443985 1389563 492741 492741 492741 1092533 510778 510778 510778
r-633 30 0.947126 49 0.329932 2773379 448534 448534 2773379 4040538 1944385 4984078 832551 832551 4984078 3704533 779097 779097 3704533
r-612 47 0.424607 25 0.743333 33691998 34468260 33691998 34468260 59589232 63076589 58091201 55229888 58091201 55229888 56527161 47445975 56527161 47445975
r-23 10 0.733333 30 0.471264 4641 15966 15966 4641 21844 4633 4340 16169 16169 4340 5220 22527 22527 5220
r-730 18 0.261438 26 0.858462 19828 10785 19828 19828 40814 21434 31195 15353 31195 31195 21547 22855 21547 21547
r-752 48 0.211879 15 0.790476 75229 46665 75229 46665 134571 116879 112454 76924 112454 76924 142488 124469 142488 124469
r-511 12 0.378788 33 0.0719697 840 13727 840 840 12675 1010 918 18819 918 918 4056 9147 4056 4056
r-838 42 0.47619 31 0.0774194 4219742 20613448 4219742 20613448 11048347 9032890 7325810 37829622 7325810 37829622 10477102 23650597 10477102 23650597
r-204 35 0.660504 48 0.336879 533105867 574349038 533105867 533105867 737311400 629297331 983015665 1079811802 983015665 983015665 476560400 543252593 476560400 476560400
r-705 36 0.0730159 15 0.885714 2833 2618 2618 2618 4542 3469 6591 7408 7408 7408 4468 3212 3212 3212
r-123 43 0.0487265 46 0.23285 -1 140249167 140249167 -1 -1 -1 -1 209210475 209210475 -1 -1 -1 -1 -1
r-760 24 0.503623 21 0.72381 688772 1743171 688772 1743171 1243191 1067926 1119364 3271652 1119364 3271652 809210 1089093 809210 1089093
r-288 16 0.833333 41 0.0560976 7638 9056 7638 7638 18401 7829 10483 15068 10483 10483 9474 8746 9474 9474
r-14 27 0.737892 32 0.625 67158168 37543907 37543907 67158168 52038413 60240652 118021633 63780669 63780669 118021633 62115636 56736852 56736852 62115636
r-237 25 0.133333 31 0.582796 561477 454653 454653 561477 1172395 673720 849011 714179 714179 849011 963574 462736 462736 963574
r-359 39 0.179487 12 0.681818 34228 10199 10199 10199 42052 45842 47144 15109 15109 15109 55011 10922 10922 10922
r-354 13 0.102564 50 0.493878 728590 829991 829991 728590 1082558 698076 873675 1117172 1117172 873675 618321 997520 997520 618321
r-762 28 0.417989 13 0.24359 61635 29314 61635 29314 65410 28127 75840 32922 75840 32922 67602 35105 67602 35105
r-943 20 0.178947 19 0.760234 9873 11066 11066 11066 22861 12099 14061 16639 16639 16639 12500 15165 15165 15165
r-686 36 0.371429 11 0.436364 68019 8730 8730 8730 66800 8947 68507 9026 9026 9026 60621 7961 7961 7961
r-89 43 0.479513 38 0.780939 474804693 648411022 474804693 648411022 910989374 813889928 905052363 1157890555 905052363 1157890555 672018414 747986824 672018414 747986824
r-29 45 0.267677 36 0.431746 3106982376 862527815 862527815 862527815 2706374579 1154634896 -1 1577666617 1577666617 1577666617 2479303599 1789937806 1789937806 1789937806
r-681 32 0.554435 23 0.296443 4474658 2834679 4474658 2834679 6921698 5921521 7744650 4359069 7744650 4359069 6267670 8377496 6267670 8377496
r-392 13 0.576923 21 0.519048 15939 23943 23943 15939 24282 15408 21323 33242 33242 21323 23978 24553 24553 23978
r-282 17 0.294118 18 0.346405 47443 34971 34971 47443 45982 43282 71791 50283 50283 71791 45070 46098 46098 45070
r-981 25 0.283333 27 0.424501 11265128 6719916 6719916 11265128 9711020 10143871 21168844 11826263 11826263 21168844 8515357 5810832 5810832 8515357
r-67 47 0.395005 21 0.595238 25716455 14942487 14942487 14942487 29954734 24143714 43422282 23677173 23677173 23677173 42691030 25693729 25693729 25693729
r-915 29 0.837438 20 0.00526316 2927 25832 2927 25832 12665 11044 8568 51489 8568 51489 5636 26694 5636 26694
r-616 11 0.727273 17 0.360294 729 1908 1908 729 2632 840 920 2497 2497 920 3477 2615 2615 3477
r-895 18 0 35 0.912605 25863 3254 3254 25863 20485 11111 41962 10013 10013 41962 25863 9392 9392 25863
r-107 25 0.543333 43 0.320044 24914695 52221756 24914695 24914695 86214920 27005076 41037189 89565495 41037189 41037189 39084755 65794440 39084755 39084755
r-803 47 0.46901 22 0.406926 143318018 93305004 143318018 93305004 150204718 88358891 265358003 158720914 265358003 158720914 161495024 109355014 161495024 109355014
r-369 46 0.0879227 37 0.884384 328351 343641 343641 343641 454351 223032 539662 612472 612472 612472 495336 285213 285213 285213
