instance n1 density1 n2 density2 mcsplit mcsplit+f mcsplit+bigf mcsplit+randombigf
r-310 17 0.382353 17 0.382353 14722 5161 11882 11835
r-8 42 0.135889 42 0.135889 -1 625519414 -1 -1
r-148 38 0.422475 38 0.422475 72298746 276388907 59238467 59098929
r-848 43 0.172757 43 0.172757 -1 -1 -1 -1
r-230 26 0.492308 26 0.492308 818613 2154297 644714 649523
r-123 25 0.513333 25 0.513333 717138 287636 614471 615259
r-656 16 0.233333 16 0.233333 2759 3995 2172 2375
r-63 25 0.453333 25 0.453333 1093866 437241 915186 913993
r-738 18 0.111111 18 0.111111 1498058 -1 1498007 1498007
r-713 26 0.212308 26 0.212308 3168327 -1 2424991 2424991
r-677 19 0.280702 19 0.280702 14539 3645714 13540 13540
r-312 29 0.512315 29 0.512315 1218488 5212515 1275685 1265142
r-37 19 0.526316 19 0.526316 26953 30684 24200 23982
r-539 15 0.47619 15 0.47619 3411 6670 2726 2718
r-30 41 0.42439 41 0.42439 -1 -1 -1 -1
r-603 39 0.267206 39 0.267206 38778286 788624850 31936717 31701628
r-21 32 0.272177 32 0.272177 13133725 43467763 8604268 8516303
r-523 44 0.511628 44 0.511628 -1 -1 -1 -1
r-999 29 0.37931 29 0.37931 3924803 3136372 3296116 3318976
r-909 29 0.46798 29 0.46798 5976541 2623881 5071398 5011397
r-913 15 0.533333 15 0.533333 3108 1114 2590 2581
r-910 36 0.285714 36 0.285714 -1 -1 -1 -1
r-896 39 0.504723 39 0.504723 141458876 317572668 128427294 128790358
r-705 18 0.503268 18 0.503268 31732 41361 19941 19118
r-334 36 0.507937 36 0.507937 27678977 93759040 21449937 21170876
r-217 34 0.499109 34 0.499109 11075304 39594753 7174782 7178414
r-150 35 0.252101 35 0.252101 37552896 87480949 24468493 24244708
r-360 43 0.498339 43 0.498339 343678261 175835944 300639215 303990726
r-623 42 0.284553 42 0.284553 -1 -1 -1 -1
r-701 36 0.488889 36 0.488889 155189415 72408203 132998031 131734997
r-343 45 0.511111 45 0.511111 -1 -1 -1 -1
r-992 33 0.378788 33 0.378788 2799391 3098236 2641416 2693862
r-276 40 0.296154 40 0.296154 -1 -1 -1 -1
r-58 43 0.310078 43 0.310078 -1 -1 -1 -1
r-602 32 0.516129 32 0.516129 14053712 7809873 11790793 11318806
r-42 27 0.433048 27 0.433048 242287 71639 156598 156572
r-519 15 0.514286 15 0.514286 6817 1989 6448 6801
r-665 27 0.518519 27 0.518519 1891195 781842 1513856 1469205
r-725 17 0.220588 17 0.220588 49 27473864 94 94
r-790 24 0.521739 24 0.521739 92203 386177 60905 60798
r-54 34 0.508021 34 0.508021 5499808 17772575 4579204 4449496
r-596 18 0.503268 18 0.503268 11653 5202 9348 9234
r-582 31 0.124731 31 0.124731 -1 -1 -1 -1
r-912 41 0.443902 41 0.443902 30463863 120363394 18000618 17662102
r-472 29 0.44335 29 0.44335 8550392 1987025 7582771 7587543
r-509 18 0.503268 18 0.503268 28356 16161 24559 24268
r-75 21 0.380952 21 0.380952 164652 133497 146294 146088
r-372 42 0.507549 42 0.507549 -1 -1 -1 -1
r-259 34 0.499109 34 0.499109 45889738 13849199 39200096 38824203
r-86 40 0.184615 40 0.184615 801280383 -1 816397775 838873847
r-445 27 0.39886 27 0.39886 2092192 445196 1843394 1862954
r-558 22 0.311688 22 0.311688 195095 116839 173743 176411
r-573 37 0.483483 37 0.483483 17791151 49734562 9853835 9922794
r-462 23 0.513834 23 0.513834 91293 313946 79106 78091
r-320 39 0.45614 39 0.45614 12884987 36388443 6557575 6431796
r-364 18 0.294118 18 0.294118 3673 3287 2980 2980
r-520 36 0.512698 36 0.512698 30338400 71822284 28078930 27768087
r-240 42 0.315912 42 0.315912 -1 -1 -1 -1
r-553 25 0.453333 25 0.453333 356171 1512556 293104 294543
r-683 44 0.5074 44 0.5074 -1 -1 -1 -1
r-187 40 0.384615 40 0.384615 -1 -1 -1 -1
r-823 17 0.308824 17 0.308824 18404 79911 737 737
r-369 39 0.267206 39 0.267206 -1 -1 -1 -1
r-273 23 0.300395 23 0.300395 299129 215841 251163 243024
r-777 24 0.15942 24 0.15942 -1 -1 -1 -1
r-452 18 0.424837 18 0.424837 36122 26104 29905 30138
r-998 39 0.145749 39 0.145749 -1 -1 -1 -1
r-799 36 0.322222 36 0.322222 -1 -1 6952943 6944593
r-506 22 0.415584 22 0.415584 58663 21561 40214 39686
r-167 32 0.497984 32 0.497984 3828305 7103213 2545493 2538896
r-229 23 0.300395 23 0.300395 111686 221060 97701 96005
r-935 17 0.308824 17 0.308824 1807 32498 601 575
r-165 19 0.491228 19 0.491228 69637 14123 50028 49411
r-377 38 0.500711 38 0.500711 395297013 102706752 346027821 340049530
r-361 41 0.512195 41 0.512195 459508969 284608811 386268917 380140186
r-735 40 0.142308 40 0.142308 -1 -1 -1 -1
r-544 23 0.403162 23 0.403162 112871 66595 80763 82988
r-293 43 0.478405 43 0.478405 -1 -1 -1 -1
r-389 45 0.490909 45 0.490909 821973350 330532628 684561099 685655676
r-679 32 0.417339 32 0.417339 2890112 540334 2707713 2749797
r-436 39 0.504723 39 0.504723 541451706 208726056 470807429 464211832
r-820 38 0.0526316 38 0.0526316 -1 -1 -1 -1
r-569 40 0.492308 40 0.492308 483772319 169898538 416418514 412728977
r-513 31 0.516129 31 0.516129 11346002 5014569 9930742 9879576
r-822 44 0.332981 44 0.332981 -1 -1 -1 -1
r-59 31 0.395699 31 0.395699 324287 1538586 122624 120463
r-352 19 0.105263 19 0.105263 -1 -1 -1 -1
r-156 41 0.512195 41 0.512195 326409154 84294199 311008089 311517857
r-942 16 0.458333 16 0.458333 10533 12133 2568 2563
r-68 16 0.325 16 0.325 3805 3226 3353 3353
r-15 45 0.480808 45 0.480808 212251078 992549754 116657285 114986625
r-663 30 0.23908 30 0.23908 -1 -1 -1 -1
r-3 40 0.142308 40 0.142308 -1 -1 -1 -1
r-556 20 0.336842 20 0.336842 322393 98913 276579 276486
r-288 34 0.299465 34 0.299465 33218419 23248494 32704963 33170483
r-835 40 0.408974 40 0.408974 131128588 516336701 104308125 103504477
r-99 18 0.424837 18 0.424837 43988 62112 17966 17703
r-530 34 0.508021 34 0.508021 36729618 9850101 28894491 28224277
r-102 32 0.352823 32 0.352823 17377508 17386409 15869451 16015151
r-561 25 0.22 25 0.22 121986 65457 99165 100399
r-244 41 0.095122 41 0.095122 492934576 580804712 602189940 645181190
r-426 32 0.508065 32 0.508065 11440962 6486670 9623781 9570768
r-262 16 0.4 16 0.4 5107 1790 3779 3842
r-571 37 0.153153 37 0.153153 -1 -1 -1 -1
r-130 20 0.521053 20 0.521053 50269 12775 43212 44661
r-251 27 0.14245 27 0.14245 -1 -1 -1 -1
r-728 23 0.237154 23 0.237154 139658 20038 136768 142155
r-220 15 0.47619 15 0.47619 1024 3789 640 634
r-651 30 0.48046 30 0.48046 2235676 739343 1791409 1825086
r-294 32 0.314516 32 0.314516 14184452 3766428 14218344 14700110
r-732 18 0.424837 18 0.424837 15373 9569 13626 13537
r-208 25 0.28 25 0.28 85140 477828973 81651 81659
r-752 32 0.417339 32 0.417339 19202637 3886321 16405763 16465566
r-868 39 0.472335 39 0.472335 45055434 116945244 30232950 29540520
r-480 34 0.40107 34 0.40107 8230092 89937684 6347890 6353311
r-85 24 0.228261 24 0.228261 -1 -1 11614 11588
r-988 22 0.519481 22 0.519481 48894 220280 39910 40611
r-67 15 0.47619 15 0.47619 1584 5924 994 985
r-474 32 0.387097 32 0.387097 257518 2429596 233805 231522
r-852 22 0.484848 22 0.484848 200407 153918 184213 183967
r-622 34 0.213904 34 0.213904 65152273 23250448 63296613 66200258
r-76 44 0.502114 44 0.502114 -1 -1 -1 -1
r-956 42 0.344948 42 0.344948 -1 -1 -1 -1
r-101 31 0.395699 31 0.395699 712095 2444388 309562 305988
r-806 35 0.420168 35 0.420168 19950326 126677416 15654874 15556660
