instance last_unsat_time sat_time total_subproblem_time total_subproblem_time_minus_last_unsat run_time last_unsat_time sat_time total_subproblem_time total_subproblem_time_minus_last_unsat run_time
mcs30_r005_s50_AB05 566937 190893 999993 433056 1000000 580867 171846 999992 419125 1000000
mcs90_m2D_s10_AB03 0 0 0 0 0 0 0 0 0 0
mcs30_b06m_s40_AB04 291178 546397 960585 669407 960592 291531 541137 955692 664161 955698
mcs90_r02_s50_AB08 10 0 13 3 15 10 0 13 3 15
mcs70_b03m_s30_AB06 373 0 412 39 415 390 0 461 71 464
mcs50_b03_s40_AB02 25103 116393 144667 119564 144669 25114 116819 145084 119970 145087
mcs50_b06m_s50_AB04 224048 681118 999992 775944 1000000 224818 680085 999994 775176 1000000
mcs70_b06m_s30_AB08 277 123 545 268 548 177 123 388 211 392
mcs90_m3Dr2_s10_AB02 0 0 0 0 0 0 0 0 0 0
mcs50_m4D_s30_AB04 108 603 740 632 742 63 457 536 473 539
mcs50_m3Dr2_s20_AB01 13 3 18 5 20 13 3 18 5 20
mcs70_b06_s10_AB09 0 0 0 0 0 0 0 0 0 0
mcs70_r005_s35_AB04 8397 17637 27914 19517 27918 8433 17550 27751 19318 27755
mcs30_r02_s20_AB03 58 6 94 36 96 37 3 58 21 61
mcs70_m2Dr6_s50_AB00 268205 16724 381881 113676 381887 264670 16702 375119 110449 375126
mcs70_r01_s15_AB06 0 0 0 0 0 0 0 0 0 0
mcs50_b09_s50_AB06 279793 501375 999992 720199 1000000 280318 500111 999992 719674 1000000
mcs30_b03_s30_AB04 38 76 122 84 124 22 64 90 68 92
mcs30_r02_s15_AB07 1 0 1 0 2 2 0 2 0 4
mcs90_r02_s25_AB06 0 0 0 0 0 0 0 0 0 0
mcs70_b09_s20_AB07 3 0 4 1 5 3 0 4 1 5
mcs90_b06_s10_AB00 0 0 0 0 0 0 0 0 0 0
mcs70_m2Dr4_s25_AB01 83 299 406 323 409 141 358 540 399 543
mcs10_r01_s25_AB06 106 61 209 103 212 106 61 210 104 212
