mcsplit mcsplit-h mcsplit+f mcsplit+fmm mcsplit+bigf mcsplit-swapped mcsplit+S mcsplit+O mcsplitb mcsplitb+f mcsplitb+bigf mcsplitb+S mcsplitb+O mcsplit+randombigf mcsplitb+randombigf
14655022 15582675 64689585 69920153 14222073 59600515 59600515 14655022 15141675 71866000 14931171 66349412 15141675 14065004 14065004
1494346 1666743 20897426 22518310 2031252 24763366 1494346 1494346 2384117 32786748 3314202 2384117 2384117 2140360 2140360
2376491 2370065 213027179 237303320 2885473 227596077 2376491 2376491 2498110 234822031 3091365 2498110 2498110 3202858 3202858
-1 -1 -1 -1 301131049 212289625 212289625 212289625 -1 -1 320804181 215182801 215182801 275445222 275445222
1644 2401 1659 2025 831 852 1644 852 2145 2113 991 2145 999 812 812
80 80 1677 1935 81 1743 80 80 95 1677 95 95 95 117 117
9800013 18061057 8941196 9574027 2325635 1328665 1328665 1328665 14738941 13157877 2998530 1657665 1657665 2198027 2198027
29767672 31287850 17051017 17803939 22127720 3332891 3332891 29767672 37326147 21109211 27956078 4194229 37326147 20277885 20277885
16076 26656 12106 13666 8307 2837 2837 2837 7702 6510 2116 942 942 7253 7253
594 594 2880 3115 592 3194 594 594 485 2582 485 485 485 587 587
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
7608298 7822936 1646304506 1666747985 8376869 1648323402 7608298 7608298 7027922 1716312031 7929978 7027922 7027922 9659268 9659268
969946 1634480 827526 884956 86722 59299 59299 59299 1163039 990147 94431 63945 63945 78605 78605
16599372 21491405 15495615 16621991 3373012 2578042 2578042 2578042 22454142 20919094 4403206 3294967 3294967 3223149 3223149
-1 -1 -1 -1 625603239 479833315 479833315 479833315 -1 -1 634746477 516122928 516122928 588077295 588077295
83 83 48 56 83 48 83 83 73 44 73 73 73 83 83
26635 32594 21691 20593 2304 1762 1762 1762 29928 24223 2264 1750 1750 2156 2156
7118 13076 6808 8372 525 510 7118 510 7148 6838 567 7148 538 529 529
10433922 10727238 70629691 82945888 10354097 72279408 10433922 10433922 12618934 91443955 12519186 12618934 12618934 10704926 10704926
19169 20317 1352914 1411009 28497 1394147 19169 19169 15869 1448810 30211 15869 15869 33974 33974
2298832065 2440172146 1525160718 1559991067 25822737 16134731 16134731 16134731 3037386314 2012565505 35143328 21604440 21604440 24486899 24486899
1404439 1444647 1153268 1182421 1226406 511770 511770 1404439 1554494 1276315 1358100 576863 1554494 1096960 1096960
523303 2010646 518319 906970 145796 90402 90402 90402 783506 772330 188198 115398 115398 127214 127214
23617009 23752992 -1 -1 24067234 -1 23617009 23617009 17915079 -1 18356530 17915079 17915079 27955573 27955573
20907868 22179314 42788673 47412216 20199943 38240945 38240945 20907868 27964142 60466593 27044559 54180717 27964142 20037986 20037986
117838 122437 3612191 3684378 136269 3513020 117838 117838 146507 4688506 176572 146507 146507 143065 143065
13471 14602 197054 215035 18814 219019 13471 13471 11779 205919 18547 11779 11779 20291 20291
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
16097651 16349771 78832540 83169452 17313326 102553138 16097651 16097651 22565706 114324394 24774578 22565706 22565706 18207645 18207645
8575 20246 8252 14256 1113 1035 1035 1035 8708 8383 1173 1069 1069 1080 1080
5857 5960 117329 312423 10090 122030 5857 5857 4893 127664 5793 4893 4893 11687 11687
196385 205547 1679831 2452547 267123 1720264 196385 196385 275901 2535340 377461 275901 275901 307325 307325
