instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped
r-741 45 0.314141 18 0.228758 2153 713 554 2557 694 2957 664 793 2007 614 611
r-511 41 0.309756 16 0.225 427 87 56 464 58 563 61 62 269 166 267
r-291 18 0.287582 45 0.323232 892 2231 727 2325 1112 926 2923 925 792 2391 631
r-925 21 0.328571 23 0.264822 73 157 116 235 79 110 307 110 198 148 323
r-626 34 0.331551 49 0.306973 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000
r-873 19 0.298246 36 0.274603 188 1010 155 1023 235 327 1739 303 345 734 545
r-60 18 0.248366 10 0.266667 0 0 0 0 0 0 0 0 0 0 0
r-863 38 0.278805 39 0.303644 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000
r-775 34 0.315508 46 0.307246 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000
r-232 49 0.27381 50 0.320816 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000
r-148 30 0.275862 12 0.30303 7 0 0 7 0 7 0 0 5 1 2
r-121 45 0.317172 20 0.278947 9439 2548 2419 10215 2493 14517 3253 3895 9454 3197 3293
r-268 48 0.300532 27 0.287749 276531 102387 101823 275323 109049 493492 159704 160634 337613 168288 169175
r-546 36 0.295238 20 0.263158 4567 1737 1770 4326 1876 6895 2285 2414 4026 2593 2683
r-702 21 0.280952 24 0.304348 164 226 119 151 173 244 258 189 206 208 204
r-826 45 0.29798 19 0.350877 4572 699 953 4423 773 7394 923 1075 3032 1433 1302
r-76 25 0.286667 18 0.333333 113 41 65 176 72 286 59 95 89 71 44
r-828 39 0.290148 35 0.322689 774806 312741 312400 728886 327113 1000000 591935 589326 705088 438250 437624
r-144 33 0.299242 47 0.301573 909744 1000000 907241 1000000 901006 1000000 1000000 1000000 1000000 1000000 1000000
r-744 47 0.297872 17 0.301471 1565 214 182 1765 191 2317 338 337 1178 305 433
r-692 46 0.298551 49 0.316327 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000
r-116 42 0.292683 18 0.267974 2493 682 723 2624 976 3834 753 753 1921 1040 1196
r-154 26 0.267692 13 0.320513 10 1 1 9 1 12 1 1 4 3 2
r-331 31 0.288172 39 0.275304 114029 192334 113775 184446 114432 198956 361713 198353 139388 249336 139823
r-921 20 0.315789 18 0.372549 74 39 25 68 23 127 35 57 67 61 61
r-310 33 0.310606 33 0.30303 63557 68976 63746 69110 60336 120232 131272 119972 76096 81180 76198
r-592 32 0.296371 24 0.282609 3823 2607 2322 4059 2307 6126 3393 3268 4278 2919 2745
r-32 35 0.289076 27 0.319088 17846 12817 12864 17003 13800 32780 20914 20958 22209 8352 8279
r-185 18 0.287582 49 0.284014 313 1646 304 1765 202 247 2191 378 212 1536 324
r-545 43 0.320044 33 0.299242 1000000 676432 678815 1000000 656270 1000000 1000000 1000000 1000000 938551 939161
r-867 17 0.301471 17 0.25 9 8 8 13 5 12 20 12 6 14 11
r-25 43 0.322259 48 0.281028 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000
r-416 32 0.298387 50 0.301224 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000
r-501 39 0.296896 33 0.339015 434320 239280 238787 403970 260808 876125 441656 440669 428906 317582 315737
r-165 38 0.280228 33 0.301136 332565 173639 173186 317512 187582 646010 314994 315749 351331 307299 308074
r-357 20 0.310526 22 0.320346 65 60 64 58 54 100 60 100 46 45 46
r-754 18 0.339869 24 0.318841 37 128 58 75 35 53 134 84 71 130 71
