mcsplit mcsplit-h mcsplit+f mcsplit+fmm mcsplit+bigf mcsplit-swapped mcsplit+S
1204201 1263999 1088827 984750 1185992 826669 1204201
38 68 31 31 38 31 38
78830 99125 87043 102265 43485 51169 78830
1500037 1855343 1492914 1736255 1274196 1323402 1323402
49992 69702 64086 88847 42187 62333 62333
34 32 32 32 35 33 34
-1 -1 -1 -1 -1 -1 -1
4179 4269 7123 7184 4252 11636 4179
1422171 1575730 2097129 2226855 1249612 1610045 1422171
599 640 1649 1667 577 1805 599
420 416 304 304 386 259 420
-1 -1 -1 -1 -1 -1 -1
17327 19024 19839 20651 16043 16964 17327
438249 535024 522939 513289 404703 452198 438249
4954928 5035770 5758588 6088610 4521973 3096060 3096060
-1 -1 -1 -1 -1 -1 -1
56876 65461 62942 68574 50197 60312 56876
147 169 136 136 147 137 137
-1 -1 -1 -1 -1 -1 -1
28018 39676 30312 32283 24772 31810 28018
5885128 6246671 8865331 9520807 5259219 7102066 5885128
2810818 3509653 5124266 5769483 2489046 4605829 2810818
14729690 17543637 14943102 16504918 12995724 12905184 14729690
-1 -1 -1 -1 -1 -1 -1
-1 -1 -1 -1 -1 -1 -1
47 46 33 32 47 33 47
188 224 198 200 182 181 181
-1 -1 4042324048 4379439494 -1 2394906504 -1
157 157 157 157 157 157 157
-1 -1 -1 -1 -1 -1 -1
17154 17343 30042 30348 16785 31365 17154
-1 -1 -1 -1 -1 -1 -1
119 112 113 104 119 116 119
156063 163205 689262 774727 145518 1627068 156063
-1 -1 -1 -1 -1 -1 -1
346067369 414794046 465170850 525581133 312918704 351777090 346067369
-1 -1 -1 -1 -1 -1 -1
4500 5102 4253 4547 3918 4393 4393
-1 -1 -1 -1 -1 -1 -1
44107066 51856297 86801781 92259004 43463169 77914089 44107066
82198 133809 31803 33404 66107 32958 82198
81 81 69 69 70 74 81
43750 50609 29884 30931 34981 27644 27644
-1 -1 -1 -1 -1 -1 -1
1661559 2135998 1337450 1419999 1325290 974276 974276
826920 919627 1248704 1353256 775475 1125553 826920
5462883 6101673 9415753 10522321 4742982 5818333 5462883
10067 11082 5322 6271 9299 4042 10067
103296530 147946920 638921334 726862625 98031064 601693612 601693612
3138132999 -1 -1 -1 2764058591 -1 3138132999
15788 16679 17409 18492 14163 15465 15788
282749472 340245608 266500734 298270212 238874949 195100234 195100234
122954385 145305371 147624234 168140922 112424504 118402224 118402224
805 900 908 917 713 793 805
10022 10671 8919 9082 8722 8381 10022
4932932103 -1 -1 -1 4000129423 -1 -1
-1 -1 -1 -1 -1 3764491616 -1
31065586 33880111 25671762 27932732 24661182 17305773 31065586
1090640 1186193 1187940 1249615 752073 1041314 1090640
5030 9279 9992 9526 4471 4791 5030
37702587 44377280 42086851 45262072 34571751 34656045 37702587
-1 -1 -1 -1 -1 -1 -1
2450062 2953390 3410305 3894584 2082904 2849433 2450062
-1 -1 -1 -1 -1 -1 -1
6399688 7840135 7253628 8009447 5856817 6287217 6399688
11403 12546 17204 18032 10008 17807 11403
3495148 4572382 4299292 4884836 3350535 4465003 3495148
-1 -1 -1 -1 -1 -1 -1
2324 2399 3286 3277 2142 2915 2324
