instance n1 density1 n2 density2 mcsplit mcsplit+f mcsplit+bigf mcsplit+randombigf
r-851 16 0.5 16 0.5 2 2 1 1
r-41 45 0.490909 45 0.490909 847924 693502 625288 624529
r-796 21 0.514286 21 0.514286 51 42 39 22
r-778 45 0.438384 45 0.438384 1000000 1000000 1000000 1000000
r-106 31 0.0645161 31 0.0645161 1000000 1000000 1000000 1000000
r-83 26 0.52 26 0.52 1024 794 656 879
r-784 25 0.453333 25 0.453333 1234 1266 1027 1146
r-911 33 0.378788 33 0.378788 27799 23028 23453 23411
r-19 22 0.311688 22 0.311688 1168 604 267 336
r-281 24 0.507246 24 0.507246 436 354 388 475
r-87 41 0.47561 41 0.47561 1000000 1000000 1000000 1000000
r-493 18 0.424837 18 0.424837 5 3 3 2
r-159 19 0.51462 19 0.51462 14 7 8 9
r-538 29 0.502463 29 0.502463 2312 2288 1420 1464
r-454 26 0.270769 26 0.270769 574 384 412 529
r-171 25 0.22 25 0.22 432 622 319 311
r-222 35 0.510924 35 0.510924 61012 57661 56999 58860
r-871 35 0.161345 35 0.161345 1000000 1000000 1000000 1000000
r-612 28 0.304233 28 0.304233 318200 170331 19508 15730
r-524 32 0.465726 32 0.465726 27261 27666 25480 26117
r-846 25 0.08 25 0.08 1000000 1000000 1000000 1000000
r-253 20 0.394737 20 0.394737 19 6 9 4
