mcsplit mcsplit-h mcsplit+f mcsplit+fmm mcsplit+bigf mcsplit-swapped mcsplit+S mcsplit+O mcsplitb mcsplitb+f mcsplitb+bigf mcsplitb+S mcsplitb+O mcsplit+randombigf mcsplitb+randombigf
150404 158789 148124 148781 588 415 612 608 170230 159711 420 674 504 553 551
25 27 47 52 25 80 26 16 23 123 35 23 35 26 26
4089 8549 3720 4874 1346 1186 1186 1187 7743 7013 2114 1943 2314 1356 1359
1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000
86 54 252 264 50 136 200 51 96 310 96 283 58 53 54
22 24 489 579 35 478 13 13 27 514 44 26 26 42 42
3181 3381 23774 25017 4280 29977 3269 3519 4535 36864 6383 4557 4559 4425 4748
178 137 945 1122 216 732 732 192 140 1143 222 1206 222 221 142
1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000
1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000
28 94 27 66 10 10 10 10 26 25 2 10 10 10 6
74 127 2621 2671 205 3118 113 68 90 3799 285 90 122 229 195
303 262 6903 7153 239 7451 347 311 432 8834 456 433 430 253 254
0 0 1 1 0 1 0 0 0 2 0 0 0 0 0
47827 49632 640721 771095 49080 688533 47817 47710 63486 936356 65717 63607 63507 52058 52366
1 1 25 19 1 26 1 1 2 38 2 1 2 2 2
337959 350153 111214 108107 229524 39376 39411 333860 531954 170173 390822 65199 530564 220024 219786
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 1 11 0 3 0 0 0 2 0 0 0 0 0
5776 6926 3844 3081 4159 1376 1120 5781 8888 4349 6687 1669 8897 3866 3927
2074 2057 3328 3507 1638 2893 1918 1951 2388 3886 2202 2597 2331 1813 1765
19971 21493 10754 10758 12642 2872 2843 20902 23827 12541 15480 3914 23894 11458 11495
21 27 14 9 17 9 5 21 34 16 28 8 34 15 9
37 119 56 70 23 13 20 21 53 51 30 28 28 23 23
0 0 1 1 0 1 0 0 0 1 0 0 0 0 0
8 9 69 196 8 114 12 8 9 166 9 15 15 13 8
1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000
388200 437857 667175 679363 566464 809082 387577 807311 673607 1000000 1000000 675159 1000000 603476 600022
1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000
1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1761 1939 1070 1193 213 92 92 154 1861 1263 252 180 177 127 206
0 0 3 5 0 3 0 0 0 3 0 0 0 0 0
117 297 62 175 10 5 5 5 150 79 23 7 11 16 16
186 573 174 175 22 19 12 19 231 217 16 14 14 21 21
185 122 2262 2300 120 2443 211 211 128 2752 196 227 128 244 249
290029 328508 421264 473971 285039 411363 412362 289409 441754 656902 432341 639113 438039 299787 300335
321893 352213 1000000 1000000 450993 1000000 318237 321678 550534 1000000 777634 550978 552581 485347 481938
0 1 0 0 0 0 0 0 0 1 0 0 0 0 0
32326 47439 30391 31807 168 146 146 86 44554 41634 236 117 198 161 238
4 7 4 3 0 0 0 0 4 4 0 0 0 0 0
312 407 255 178 4 2 1 2 196 263 2 2 2 2 2
0 0 2 9 0 5 0 0 0 5 0 0 0 0 0
