instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped-D mcsplit-smart-swapped-O mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped-D mcsplit-b-smart-swapped-O mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped-D mcsplit-nosort-smart-swapped-O
r-548 10 1 40 0.837179 0 0 0 0 0 0 0 0 0 0 0 0 0 0
r-508 18 0.928105 25 0.24 5 1 1 4 3 2 9 1 1 9 7 2 2 4
r-606 22 0.450216 33 0.954545 7 56 4 4 45 7 6 163 6 12 9 69 9 17
r-622 46 0.859903 46 0.639614 1000000 470341 471727 1000000 1000000 1000000 1000000 870083 871154 1000000 1000000 875124 874982 1000000
r-499 20 0.189474 47 0.343201 1038 3098 3103 1089 4079 1265 911 3706 3745 603 1158 2533 2337 1161
r-445 21 0.138095 36 0.955556 0 2 0 1 2 1 4 5 2 4 1 2 2 2
r-168 11 0.490909 16 0.15 0 0 0 0 0 0 0 0 0 0 0 0 0 0
r-119 13 0.0897436 33 0.8125 2 0 0 1 2 2 2 1 2 2 1 0 0 2
r-332 41 0.615854 33 0.0549242 136 1181 216 1051 484 329 231 1783 258 1847 223 1070 220 1073
r-6 33 0.941288 27 0.102564 6 4 3 3 9 7 6 4 8 9 4 3 6 3
r-846 20 0.473684 43 0.0675526 17 105 10 17 90 30 14 187 14 23 34 94 57 34
r-377 20 0.847368 48 0.471631 656 777 747 600 1996 667 1186 1537 1785 1339 2777 1251 1332 2784
r-536 19 0.0818713 42 0.235772 299 909 916 299 992 362 416 1013 1257 311 845 14147 14003 700
r-285 35 0.0537815 27 0.0940171 1000000 1293 1026 1871 1000000 12749 1000000 1179 1011 965 1000000 17785 17894 17897
r-347 42 0.0418118 11 0.327273 1 0 0 0 2 0 1 0 0 0 3 0 0 0
r-63 44 0.395349 12 0.378788 97 13 97 13 150 19 127 19 97 13 114 21 108 14
r-316 35 0.12437 29 0.512315 1176 312 316 194 1775 885 1731 446 481 305 907 451 360 473
r-376 12 0.636364 42 0.771196 0 8 0 0 14 0 0 14 0 0 2 5 1 2
r-53 29 0.295567 17 0.845588 6 6 3 6 16 7 9 11 10 17 13 12 13 20
r-982 38 0.0981508 31 0.944086 6 7 6 13 13 16 8 18 13 30 12 20 6 11
r-684 35 0.678992 15 0.00952381 7 29 7 29 20 17 10 106 19 60 28 37 32 74
r-934 35 0.30084 39 0.842105 684 1044 777 1036 1390 1170 1268 1946 1274 1250 1148 1489 1151 987
r-836 14 1 29 0.610837 11496 210 263 11631 6913 4989 14513 352 174 14605 11873 3303 2475 11498
r-976 50 0.197551 16 0.991667 3 10 7 18 9 11 7 46 15 25 6 24 6 13
r-40 47 0.775208 18 0.30719 157 81 51 83 370 257 251 132 134 126 157 140 195 223
r-633 30 0.947126 49 0.329932 970 99 85 587 1083 489 1301 276 168 1197 791 264 149 792
r-13 28 0.015873 27 0.80057 18 0 1 0 9 3 21 3 1 3 13 2 2 2
r-565 49 0.32483 25 0.896667 335 561 200 433 760 424 549 712 327 712 437 836 436 836
r-619 19 0.51462 23 0.588933 85 266 85 135 176 80 169 335 173 217 196 152 182 145
r-759 22 0.991342 49 0.863095 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000
r-327 37 0.885886 20 0.00526316 1 2 1 4 2 3 4 12 2 6 2 5 1 2
r-848 19 0.695906 11 0.218182 0 0 0 0 0 1 0 0 0 1 0 1 0 0
r-851 46 0.891787 25 0.186667 63 29 48 29 57 89 96 87 88 51 59 106 108 107
r-544 35 0.448739 41 0.881707 1513 4406 1498 2056 3307 1942 2382 5794 2442 2604 1991 3513 1772 1769
r-320 12 0.181818 30 0.114943 0 0 0 0 0 0 0 0 0 0 0 0 0 0
r-643 30 0.657471 31 0.926882 228 4869 131 234 2832 282 269 6549 154 277 242 4479 244 350
r-333 50 0.281633 25 0.04 14894 962809 14620 961829 987580 310265 14742 798763 14845 797416 121811 1000000 121985 1000000
r-209 37 0.442943 18 0.986928 24 492 54 484 382 300 92 892 93 790 56 1068 57 700
r-801 32 0.780242 50 0.269388 4533 4339 4444 4033 12140 5620 6944 7628 7453 7089 5991 8315 8280 6079
r-45 23 0.557312 15 0.47619 20 17 17 26 21 21 47 25 25 39 23 14 22 14
r-72 31 0.750538 33 0.742424 28654 35741 35651 28630 37246 28245 48463 60684 60711 48655 41360 45397 45453 41491
r-196 50 0.394286 22 0.597403 21202 15144 15057 16107 24353 24862 38551 26100 26054 26488 25344 19729 19528 19582
r-936 42 0.222997 11 0.381818 12 1 1 0 7 0 12 1 0 0 5 0 1 1
r-577 27 1 28 0.939153 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000
r-725 16 0.966667 33 0.857955 3598 3432 3392 3797 4938 3440 2995 3604 3547 2876 414 12 27 293
r-999 18 0.562092 35 0.616807 714 1595 966 671 1593 799 1058 2733 1253 1427 839 1472 840 921
r-483 12 0.727273 48 0.492021 27 138 86 28 149 17 28 88 140 17 29 159 163 19
r-838 42 0.47619 31 0.0774194 981 4764 977 4953 2177 2413 1590 9669 1591 9825 2882 5510 2274 5642
r-469 49 0.496599 48 0.991135 1021 1000000 1085 1000000 652912 6267 1697 1000000 1737 1000000 8260 971521 8154 969274
r-557 18 0.405229 40 0.260256 172 633 111 111 781 171 242 1086 197 158 643 456 464 463
r-608 29 0.662562 42 0.204413 867 1522 868 1304 2815 1393 1467 2680 1607 1473 1834 2758 1831 2035
r-231 26 0.824615 34 0.106952 25 17 15 15 28 28 25 17 42 25 18 43 18 31
r-576 49 0.685374 17 0.647059 1312 214 218 141 1173 220 1609 220 215 259 1013 434 389 614
r-760 24 0.503623 21 0.72381 264 555 261 585 278 439 314 886 279 984 312 268 198 427
r-352 46 0.105314 44 0.997886 4 39 9 39 32 15 13 125 25 125 19 22 19 41
r-875 49 0.126701 45 0.217172 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000
r-690 11 0.0545455 22 0.935065 0 0 0 0 0 0 0 0 0 0 0 0 0 0
r-581 34 0.882353 36 0.466667 1450 752 751 1452 1848 1443 2586 1902 1115 2422 2270 1785 1629 2117
r-92 15 0.685714 42 0.379791 61 187 185 95 346 85 78 172 268 78 178 289 300 183
r-541 42 0.182346 38 0.455192 218621 65561 65696 65322 161262 107691 458504 121938 121768 122440 165704 81507 81593 81454
r-909 37 0.489489 43 0.623477 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000
r-345 24 0.601449 42 0.666667 15455 37314 15534 15880 35678 15419 26484 73433 26562 26521 19344 33733 19862 19323
r-42 27 0.581197 49 0.586735 249383 428846 250423 249893 418556 251189 508092 964357 508284 507529 269578 352060 269666 271334
r-960 26 0.418462 10 0.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
r-898 44 0.774841 41 0.857317 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000
r-649 37 0.0465465 22 0.91342 1 2 1 1 4 5 9 3 5 3 4 3 3 1
r-37 13 0.448718 17 0.0661765 0 0 0 0 1 0 0 1 0 0 0 1 0 0
r-33 33 0.941288 41 0.373171 999 381 330 629 1134 928 1334 713 668 1290 1204 372 427 1227
r-772 43 0.819491 15 0.0571429 1 3 1 6 7 6 2 12 5 12 3 10 3 10
