mcsplit mcsplit-h mcsplit+f mcsplit+fmm mcsplit+bigf mcsplit-swapped mcsplit+S
8733 10243 16386 17723 9169 15502 8805
20 49 7 12 16 13 32
0 0 0 0 0 0 0
9 11 10 6 12 6 6
1000000 1000000 1000000 1000000 1000000 1000000 1000000
404 413 378 229 234 166 169
190 157 203 372 136 190 244
983 1414 1570 1732 893 1034 1103
2 2 0 1 2 1 1
31934 43607 205222 226675 30727 207699 207246
925478 1000000 1000000 1000000 856706 1000000 922363
4 5 5 3 2 3 2
98167 117500 85233 93706 85808 66016 65998
33372 39120 37831 40807 31600 32545 32469
0 0 0 0 0 0 0
2 1 1 2 2 1 2
983527 1000000 1000000 1000000 832318 1000000 1000000
1000000 1000000 1000000 1000000 1000000 740932 1000000
5713 6444 4888 5056 4758 3167 5866
197 210 210 291 249 186 349
1 2 2 3 1 2 1
7957 9304 8166 9322 7699 7195 8242
1000000 1000000 1000000 1000000 1000000 1000000 1000000
823 974 1190 1149 756 963 818
1000000 1000000 1000000 1000000 1000000 1000000 1000000
1926 2058 1885 1927 1597 1763 1658
3 2 5 6 2 3 3
1675 1754 1531 1913 1265 1828 1339
1000000 1000000 1000000 1000000 1000000 1000000 1000000
0 0 1 1 0 0 0
962 1171 255 269 1103 216 217
47 59 107 74 64 105 74
10854 14059 7804 8700 8967 5807 11303
104 131 173 180 109 143 126
114 142 150 167 100 131 112
1000000 1000000 1000000 1000000 924778 744785 1000000
112 122 111 120 59 48 48
10 8 18 12 6 15 10
178 200 378 296 249 358 289
261288 313518 300502 342444 243371 272707 272687
78023 83999 132553 141476 72995 101565 78304
18080 21593 19677 21547 16547 17538 17621
0 0 0 0 0 0 0
2077 2181 1619 1780 1750 1318 1967
15 16 13 8 8 11 11
248599 256971 579790 610465 197260 406847 246747
1000000 1000000 1000000 1000000 1000000 1000000 1000000
32 38 57 39 41 55 32
201913 230890 435243 483630 180168 400895 204847
0 0 0 0 0 0 0
118 80 119 111 114 48 79
228 407 460 296 370 383 229
133401 155253 217121 233217 131830 184951 134221
51580 55793 78001 82856 40780 50918 50208
1 1 0 0 0 1 1
344 554 337 376 315 408 410
210705 239878 1000000 1000000 214883 826152 210834
11163 14353 10654 11706 10101 10101 11230
0 0 0 0 0 0 0
3627 4362 4826 5261 3784 4341 3944
51665 61081 72908 78968 48665 70196 70337
37 42 42 45 34 36 37
2 1 2 2 2 1 1
70 45 107 112 43 106 69
1000000 1000000 1000000 1000000 960295 789581 805830
1000000 1000000 1000000 1000000 1000000 1000000 1000000
16 18 28 30 14 15 27
1000000 1000000 1000000 1000000 1000000 1000000 1000000
0 0 0 0 0 0 0
131658 145197 168434 181269 116000 120076 132038
12206 14547 2961 3016 11993 2485 12212
21 13 38 38 11 38 12
0 0 0 0 0 0 0
3495 3780 3619 3973 3159 2386 3416
2935 2454 2799 2998 2309 2556 2276
583 658 355 372 364 456 455
8 8 10 10 7 9 8
2432 2303 2064 2345 1807 1560 2714
98 79 89 101 56 102 67
1000000 1000000 1000000 1000000 1000000 1000000 1000000
322664 422270 291757 321932 287259 254554 254307
111804 118701 115481 122233 88659 92881 110827
0 0 0 0 0 0 0
20655 24036 20025 21151 25056 23882 21876
23 24 31 34 39 26 40
2 2 2 2 2 1 1
3 7 6 3 3 4 6
21357 23327 23072 25585 18934 19181 19075
2 4 4 2 3 4 3
12 13 11 11 19 9 23
41 51 32 55 35 46 29
0 1 1 0 0 0 0
1000000 1000000 1000000 1000000 1000000 1000000 1000000
1000000 1000000 1000000 1000000 1000000 1000000 1000000
9303 10125 15468 16884 8181 12423 9394
0 0 0 0 0 0 0
10832 9416 20051 22395 10224 19544 10883
1 0 0 0 1 2 1
2 2 2 4 1 3 2
1000000 1000000 1000000 1000000 1000000 1000000 1000000
1846 2263 2221 3128 1642 1996 1855
890868 1000000 1000000 1000000 786412 979506 983929
2 2 1 1 1 2 1
1000000 1000000 1000000 1000000 1000000 1000000 1000000
11020 12179 3437 3893 10085 3266 11025
0 0 0 1 0 0 0
9446 10476 9235 9816 7111 4598 10233
4 4 6 7 3 3 3
3 4 4 4 3 3 3
1000000 1000000 1000000 1000000 1000000 1000000 1000000
0 1 1 2 1 0 0
62 68 89 169 101 126 110
652684 748831 752828 823705 568949 611626 655768
1577 1757 2494 2603 1561 2549 1912
0 0 0 0 0 0 0
4677 5559 3287 3777 5030 2994 4936
3545 3856 3869 4038 3751 3102 3513
7173 6736 7998 8971 5069 4606 5845
496401 537416 880015 961188 466822 604282 505870
467 490 825 689 502 664 636
12638 15711 10226 11417 10908 8699 8805
52 166 35 153 53 200 52
5045 5040 13585 14354 4268 11537 4996
267 292 149 157 205 131 477
147 276 203 220 129 176 237
5866 7348 7269 8182 5214 6707 6164
1000000 1000000 1000000 1000000 1000000 1000000 1000000
340308 401607 545479 597325 290915 350549 355909
1000000 1000000 1000000 1000000 1000000 1000000 1000000
110707 127445 150849 168267 108165 147324 110378
0 0 0 0 0 0 0
273 496 230 343 218 176 273
1277 1295 1563 1613 1031 1350 1259
0 0 0 0 0 0 0
1497 1343 1361 1655 1173 915 1346
56137 62163 82132 85795 41589 48534 54337
0 0 0 0 0 1 1
1000000 1000000 1000000 1000000 1000000 1000000 1000000
7 7 5 5 5 5 7
1000000 1000000 1000000 1000000 1000000 1000000 1000000
1 0 0 0 0 0 1
0 0 0 0 0 0 0
547 418 550 865 313 432 462
1 1 3 1 1 2 2
1000000 1000000 1000000 1000000 1000000 1000000 1000000
0 0 0 0 0 0 0
2600 2797 1470 1800 2157 1509 2550
120 103 114 125 73 111 127
175 115 160 282 172 115 98
1000000 1000000 1000000 1000000 1000000 1000000 1000000
275 169 312 214 201 159 158
0 0 0 0 0 0 0
1000000 1000000 1000000 1000000 1000000 1000000 1000000
2 2 2 2 1 1 1
15817 21071 17180 19208 23776 30092 15975
7 8 3 6 4 65 7
0 0 0 0 0 0 0
0 0 0 0 0 0 0
220946 252302 213359 227208 189957 118157 221171
27732 32795 30532 32953 26217 28521 28635
40 26 57 58 39 33 39
130 177 304 333 86 268 158
49551 49602 53045 56048 38297 33845 49922
1000000 1000000 1000000 1000000 1000000 1000000 1000000
21583 26305 21620 24128 19876 21880 21731
7148 8574 10135 11194 6922 8968 9033
384 418 383 299 227 279 382
3956 5597 4447 4932 4195 4735 3949
4 2 3 6 4 4 2
24417 28029 20969 22554 20417 12842 12854
0 0 0 0 0 0 0
215556 274824 146013 162032 179157 117405 117267
0 0 0 0 0 0 0
133 179 142 159 106 124 87
1246 1453 1265 1281 985 1200 1205
0 0 0 0 0 0 0
1 1 2 2 1 1 2
401 305 318 556 383 278 245
0 0 0 0 0 0 0
7651 8775 25501 27057 7428 22009 7715
11 13 13 15 19 19 20
20 12 10 11 10 17 11
166 108 407 317 153 284 165
1000000 1000000 1000000 1000000 1000000 1000000 1000000
0 0 0 0 0 0 0
1000000 1000000 1000000 1000000 1000000 1000000 1000000
1000000 1000000 1000000 1000000 1000000 1000000 1000000
1 1 1 2 0 2 1
174 200 162 95 276 139 175
5362 5807 8118 8616 5266 7039 5435
25109 32354 24062 26497 22804 22924 25057
19 22 24 25 10 21 13
4 4 2 2 2 3 3
86 70 92 446 99 71 84
1000000 1000000 1000000 1000000 1000000 1000000 1000000
0 0 2 2 1 2 0
1000000 1000000 1000000 1000000 1000000 1000000 1000000
0 0 0 0 0 0 0
1000000 1000000 956517 1000000 1000000 858910 1000000
1 1 0 0 1 0 1
21327 25083 26744 26479 19341 20239 20285
533 413 591 529 471 322 323
44922 46744 45039 46524 33952 30595 44964
98249 109380 423349 445926 80871 261757 261815
32 37 19 34 29 31 32
0 3 0 1 1 0 0
0 1 0 1 0 0 0
12 14 16 16 10 9 7
18 34 21 23 18 22 31
569 699 1742 2010 809 1726 567
