instance mcsplit-si-ll mcsplit-si-dom mcsplit-si-dom-D1 mcsplit-si-dom-D2 mcsplit-si-static mcsplit-si-adjmat-dom glasgow glasgow-nosupp ri ri-ds vf3 static-then-dom dom-then-static family vbos vbmcsplit
g17-g18 6 8 0 8 6 18 0 0 7 5 18 6 8 2 0 6
g17-g19 0 0 0 0 0 0 0 0 30 19 29 0 0 2 0 0
g17-g20 0 0 0 0 0 0 0 0 7602 6456 7025 0 0 2 0 0
g17-g21 0 0 0 0 0 0 1 0 942 934 115 0 0 2 0 0
g17-g22 0 0 0 0 0 0 1 4 2 2 0 0 0 2 0 0
g17-g23 0 0 0 0 0 0 0 0 3 3 51 0 0 2 0 0
g17-g24 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
g17-g25 0 0 0 0 0 0 0 0 1 0 6 0 0 2 0 0
g17-g26 0 0 0 0 0 0 0 0 4 3 203 0 0 2 0 0
g17-g27 0 0 0 0 0 0 5 5 17 15 7 0 0 2 5 0
g17-g28 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
g17-g29 27 45 10 28 18 34 16584 20637 158090 130644 131177 18 45 2 16584 18
g17-g30 7 8 3 13 9 9 6474 8284 57275 47138 50589 9 8 2 6474 8
g17-g31 23 15 10 15 11 17 23830 25262 330263 273344 239059 11 15 2 23830 11
g17-g32 0 0 0 0 0 0 10 1 238 205 18 0 0 2 1 0
g17-g33 0 0 0 0 0 0 6 7 2 2 2 0 0 2 2 0
g17-g34 1 1 0 0 0 2 0 16 1 1 3 0 1 2 0 0
g17-g35 0 0 0 0 0 1 4 5 3 2 901 0 0 2 2 0
g17-g36 2 2 1 2 0 2 2 37 3 3 2 0 2 2 2 0
g17-g37 10 11 15 11 12 27 22 97 48 36 97 12 11 2 22 11
g17-g38 0 0 0 0 0 0 0 0 110 85 67 0 0 2 0 0
g17-g39 0 0 0 0 0 0 6 7 0 1 0 0 0 2 0 0
g17-g40 2 1 1 1 3 2 605 387 747022 671539 239809 3 1 2 387 1
g17-g41 0 0 0 0 0 0 8 7 2 3 2 0 0 2 2 0
g17-g42 0 0 1 0 0 1 4 9 3 5 3 0 0 2 3 0
g17-g43 2 3 4 3 3 3 18 20 55 45 49213 3 3 2 18 3
g17-g44 950 1061 992 1042 2255 1350 6590 9599 56715 45974 1000000 1161 2355 2 6590 1061
g17-g45 342 376 352 359 704 453 1966 2877 14539 11353 734175 476 804 2 1966 376
g17-g46 1834 1975 1603 2011 2198 2833 11193 25161 50071 40349 62319 2075 2298 2 11193 1975
g17-g47 1321 1405 1080 1401 1532 2002 7922 17744 34016 27600 43526 1505 1632 2 7922 1405
g17-g48 2139 2220 1564 2222 2501 3182 20012 38493 98594 79667 113611 2320 2601 2 20012 2220
g17-g49 6 6 9 6 5 6 43 54 82 66 89 5 6 2 43 5
g17-g50 5 8 5 5 9 3 83 84 8811 8010 4428 9 8 2 83 3
g18-g19 0 0 0 0 0 0 0 0 29 19 20 0 0 2 0 0
g18-g20 0 0 0 0 0 0 0 0 7509 6501 5255 0 0 2 0 0
g18-g21 0 0 0 0 0 0 1 0 890 947 92 0 0 2 0 0
g18-g22 0 0 0 0 0 0 0 0 2 2 1 0 0 2 0 0
g18-g23 0 0 0 0 0 0 0 0 4 2 52 0 0 2 0 0
g18-g24 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
g18-g25 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
