instance mcsplit-si-ll mcsplit-si-dom mcsplit-si-dom-D1 mcsplit-si-dom-D2 mcsplit-si-static mcsplit-si-adjmat-dom glasgow glasgow-nosupp ri ri-ds vf3 static-then-dom dom-then-static family vbos vbmcsplit
phase-30-150-0.64-0.62-0.64-3 4950 4326 4296 23300 10091 3513 42096 30581 1000000 1000000 1000000 4426 10191 12 30581 3513
phase-30-150-0.64-0.62-0.64-4 6681 5990 5802 26423 10157 4419 40267 29756 1000000 1000000 1000000 6090 10257 12 29756 4419
phase-30-150-0.64-0.62-0.64-5 7777 6875 7079 25023 11711 4265 37716 27323 1000000 1000000 1000000 6975 11811 12 27323 4265
phase-30-150-0.64-0.62-0.64-6 4975 4285 19431 19722 12717 3448 30131 21888 1000000 1000000 1000000 4385 12817 12 21888 3448
phase-30-150-0.64-0.62-0.64-7 6115 5196 35395 35064 9294 4430 56909 41601 1000000 1000000 1000000 5296 9394 12 41601 4430
phase-30-150-0.64-0.62-0.64-8 13769 12883 36852 38364 19319 8785 57425 41684 1000000 1000000 1000000 12983 19419 12 41684 8785
phase-30-150-0.66-0.64-0.66-1 5223 4519 40528 41279 9866 3531 56153 40765 1000000 1000000 1000000 4619 9966 12 40765 3531
phase-30-150-0.66-0.64-0.66-2 5122 4594 108134 107997 6461 3368 163551 118620 1000000 1000000 1000000 4694 6561 12 118620 3368
phase-30-150-0.66-0.64-0.66-3 5158 4407 20240 20597 11378 3350 34015 25006 1000000 1000000 1000000 4507 11478 12 25006 3350
phase-30-150-0.66-0.64-0.66-4 7698 6620 69915 70055 15777 5127 111482 81479 1000000 1000000 1000000 6720 15877 12 81479 5127
phase-30-150-0.66-0.64-0.66-5 6710 5921 19891 19744 7930 4076 34281 24722 1000000 1000000 1000000 6021 8030 12 24722 4076
phase-30-150-0.66-0.64-0.66-6 4637 3974 18380 18405 5750 3004 27346 19844 1000000 1000000 1000000 4074 5850 12 19844 3004
phase-30-150-0.66-0.64-0.66-7 5185 4461 31258 31157 10502 3428 48810 35058 1000000 1000000 1000000 4561 10602 12 35058 3428
phase-30-150-0.66-0.64-0.66-8 4982 4648 34427 33678 14676 3315 46379 33676 1000000 1000000 1000000 4748 14776 12 33676 3315
phase-30-150-0.68-0.64-0.68-1 8910 7752 63596 63375 13865 6018 98213 71380 1000000 1000000 1000000 7852 13965 12 71380 6018
phase-30-150-0.68-0.64-0.68-2 4899 4239 56906 55878 12145 3442 83291 60378 1000000 1000000 1000000 4339 12245 12 60378 3442
phase-30-150-0.68-0.64-0.68-3 2480 2079 13864 13829 6220 1607 20149 14633 1000000 1000000 1000000 2179 6320 12 14633 1607
phase-30-150-0.68-0.64-0.68-4 2124 1841 76730 73246 2370 1393 107544 78152 1000000 1000000 1000000 1941 2470 12 78152 1393
phase-30-150-0.68-0.64-0.68-5 5361 4558 21096 21231 5736 3682 33303 24015 1000000 1000000 1000000 4658 5836 12 24015 3682
phase-30-150-0.68-0.64-0.68-6 4567 3944 3884 10340 5976 3035 16657 12064 1000000 1000000 1000000 4044 6076 12 12064 3035
phase-30-150-0.68-0.64-0.68-7 4798 4182 4193 24821 5229 2784 36742 26790 1000000 1000000 1000000 4282 5329 12 26790 2784
phase-30-150-0.68-0.64-0.68-8 2986 2584 45428 45452 3341 1980 60145 44261 1000000 1000000 1000000 2684 3441 12 44261 1980
phase-30-150-0.70-0.66-0.70-1 2022 1684 1828 41065 2179 1353 57352 41590 1000000 1000000 1000000 1784 2279 12 41590 1353
phase-30-150-0.70-0.66-0.70-2 2590 2218 21316 21285 2458 1568 28774 21085 1000000 1000000 1000000 2318 2558 12 21085 1568
phase-30-150-0.70-0.66-0.70-3 3804 3234 91902 91116 4473 2222 125615 92351 1000000 1000000 1000000 3334 4573 12 92351 2222
phase-30-150-0.70-0.66-0.70-4 7035 6265 87728 87917 10270 3789 122740 89059 1000000 1000000 1000000 6365 10370 12 89059 3789
