instance mcsplit-si-ll mcsplit-si-dom mcsplit-si-dom-D1 mcsplit-si-dom-D2 mcsplit-si-static mcsplit-si-adjmat-dom glasgow glasgow-nosupp ri ri-ds vf3 static-then-dom dom-then-static family vbos vbmcsplit
si4_r001_m400.03 66 41 40 69 1 98 35 3578 41 24 31 1 41 7 24 1
si4_r001_m400.09 0 0 0 0 0 1 34 21 2 18 2 0 0 7 2 0
si4_r001_m400.05 717 703 700 770 4 1839 32 750 39 50 296 4 104 7 32 4
si4_r001_m400.01 26 16 16 26 0 45 33 7 3 12 111 0 16 7 3 0
si4_r001_m400.07 56 61 60 61 0 154 53 1590 4 9 46 0 61 7 4 0
si6_r001_m400.09 1 1 1 1 0 3 35 120 0 29 10 0 1 7 0 0
si6_r001_m400.05 11 10 9 10 1 18 57 238 1 31 12 1 10 7 1 1
si6_r001_m400.00 1 0 0 0 0 3 55 11 0 13 2 0 0 7 0 0
si6_r001_m400.04 0 0 0 0 0 3 59 58 2 31 259 0 0 7 2 0
si6_r001_m400.07 0 0 0 0 0 2 32 18 0 30 2 0 0 7 0 0
si6_r001_m400.06 0 0 0 0 0 2 31 36 1 30 13 0 0 7 1 0
si6_r001_m400.02 0 0 0 0 0 2 59 27 1 31 1 0 0 7 1 0
si6_r001_m400.03 0 0 0 0 0 3 59 16 1 37 1 0 0 7 1 0
si6_r001_m400.08 0 1 254 0 0 2 33 83 1 29 1 0 1 7 1 0
si6_r001_m400.01 1 0 0 0 0 3 58 13 0 26 0 0 0 7 0 0
si4_r01_m200.01 76 64 38 62 40 43 431 277 693 556 880 40 64 7 277 40
si4_r01_m200.08 137 108 8 70 49 135 1069 764 1343 1104 2409 49 149 7 764 49
si4_r01_m200.03 2 1 153 2 8 2 57 13 429 348 233 8 1 7 13 1
si4_r01_m200.04 0 0 2 0 0 0 38 3 410 331 916 0 0 7 3 0
si4_r01_m200.07 2 2 2 3 11 3 59 55 2411 1988 1036 11 2 7 55 2
si4_r01_m200.02 55 28 62 46 26 33 285 261 3191 2631 3647 26 28 7 261 26
si4_r01_m200.05 36 35 53 33 17 63 276 151 2638 2184 4061 17 35 7 151 17
si4_r01_m200.06 1 0 0 0 0 0 43 5 476 366 450 0 0 7 5 0
si4_r01_m200.00 22 33 32 21 5 35 404 265 216 186 1207 5 33 7 186 5
si4_r01_m200.09 13 11 19 11 11 13 193 96 2074 1624 2500 11 11 7 96 11
si2_r001_m400.06 1000000 1000000 1000000 1000000 11397 1000000 92 1000000 13999 9744 36640 1000000 11497 7 92 11397
si2_r001_m400.08 12334 13128 13132 13267 8 31660 18 20801 92 41 270 8 108 7 18 8
si2_r001_m400.09 1000000 1000000 1000000 1000000 59 1000000 248 1000000 134 88 1469 59 159 7 88 59
si2_r001_m400.01 1952 2096 2118 2111 1 4932 11 244 14983 9699 0 1 101 7 0 1
si2_r001_m400.03 1539 1633 1624 1662 88 4014 42 10814 287 197 524 88 188 7 42 88
si2_r001_m400.04 146032 160656 160055 160291 10 384550 94 347519 27 33 4580 10 110 7 27 10
si2_r001_m400.05 32533 36423 36736 36439 1 81104 14 176243 16 9 562 1 101 7 9 1
si2_r001_m400.02 1000000 1000000 1000000 1000000 1 1000000 21 1000000 6 10 11 1 101 7 6 1
si2_r001_m400.00 51 55 34 34 1 74 20 33 6 9 56 1 55 7 6 1
si2_r001_m400.07 1000000 1000000 1000000 1000000 163 1000000 215 1000000 302 237 1016 1000000 263 7 215 163
si2_r01_m200.03 16 23 118 15 20 18 54 41 3002 2474 4988 20 23 7 41 18
si2_r01_m200.00 288 282 7316 275 161 325 1027 726 986 820 3300 382 261 7 726 161
si2_r01_m200.05 115 149 151 157 200 174 365 374 3188 2653 4008 249 300 7 365 149
si2_r01_m200.01 4 4 6 4 7 8 31 6 1047 842 2699 7 4 7 6 4
si2_r01_m200.08 216 222 221 200 131 229 733 587 168 138 273 322 231 7 138 131
si2_r01_m200.06 23 22 34 22 5 41 188 71 2350 1953 4697 5 22 7 71 5
si2_r01_m200.09 833 833 841 826 976 1084 2439 1357 13089 10808 17828 933 1076 7 1357 833
si2_r01_m200.02 300 320 337 323 356 428 1101 624 3144 2722 3810 420 456 7 624 320
si2_r01_m200.07 143 171 209 164 635 225 1516 475 6586 5646 2894 271 735 7 475 171
si2_r01_m200.04 69 62 1590 102 49 88 177 231 82 69 190 49 62 7 69 49
si2_r01_m400.04 1074 893 881 891 6193 1198 6058 4092 253101 200621 47222 993 6293 7 4092 893
si2_r01_m400.00 1692 1405 1426 1444 1149 1908 9130 6755 119032 99368 154802 1505 1249 7 6755 1149
si2_r01_m400.07 235 196 14772 193 265 223 2162 1515 69816 57508 74061 296 365 7 1515 196
