instance mcsplit-mcis-sparse kdown2017 kdown2019 kdown2019-restarts family
all-images-CVIU11-pattern10-target99 1000000 1000000 1000001 1000006 14
all-images-CVIU11-pattern11-target1 14 435 5844 6695 14
all-images-CVIU11-pattern11-target10 3 413 3861 3811 14
all-images-CVIU11-pattern11-target100 6 237 840 1071 14
all-images-CVIU11-pattern11-target101 5 271 935 1079 14
all-images-CVIU11-pattern11-target102 5 268 1967 2000 14
all-images-CVIU11-pattern11-target103 10 368 2563 2567 14
all-images-CVIU11-pattern11-target104 14 454 5709 6221 14
all-images-CVIU11-pattern11-target105 7 643 6132 5998 14
all-images-CVIU11-pattern11-target106 10 378 4239 4285 14
all-images-CVIU11-pattern11-target107 14 250 3041 3272 14
all-images-CVIU11-pattern11-target108 11 1226 12314 12854 14
all-images-CVIU11-pattern11-target109 7 1043 6910 6826 14
all-images-CVIU11-pattern11-target11 4 290 1611 1639 14
all-images-CVIU11-pattern11-target110 4 464 2048 2115 14
all-images-CVIU11-pattern11-target111 5 390 2004 2489 14
all-images-CVIU11-pattern11-target112 4 340 1980 1936 14
all-images-CVIU11-pattern11-target113 4 675 2629 2355 14
all-images-CVIU11-pattern11-target114 5 387 1407 1837 14
all-images-CVIU11-pattern11-target115 5 718 4601 4602 14
all-images-CVIU11-pattern11-target116 9 1163 13095 13720 14
all-images-CVIU11-pattern11-target117 13 644 5663 5853 14
all-images-CVIU11-pattern11-target118 6 487 4015 3956 14
all-images-CVIU11-pattern11-target119 18 1985 11651 11521 14
all-images-CVIU11-pattern11-target12 6 1372 5862 5568 14
all-images-CVIU11-pattern11-target120 17 678 6507 6360 14
all-images-CVIU11-pattern11-target121 9 707 8676 9247 14
all-images-CVIU11-pattern11-target122 9 451 3536 3875 14
all-images-CVIU11-pattern11-target123 11 686 9308 9193 14
all-images-CVIU11-pattern11-target124 5 583 4478 4870 14
all-images-CVIU11-pattern11-target125 8 875 9029 7887 14
all-images-CVIU11-pattern11-target126 5 270 552 663 14
all-images-CVIU11-pattern11-target127 33 524 1345 1568 14
all-images-CVIU11-pattern11-target128 15 684 6949 7572 14
all-images-CVIU11-pattern11-target129 2 405 1123 915 14
all-images-CVIU11-pattern11-target13 9 877 5796 6121 14
all-images-CVIU11-pattern11-target130 15 539 1033 920 14
all-images-CVIU11-pattern11-target131 11 594 2196 1981 14
all-images-CVIU11-pattern11-target132 49 323 2815 3045 14
all-images-CVIU11-pattern11-target133 11 525 3490 2776 14
all-images-CVIU11-pattern11-target134 25 355 3462 3183 14
all-images-CVIU11-pattern11-target135 8 422 2387 2513 14
all-images-CVIU11-pattern11-target136 7 479 2947 3461 14
all-images-CVIU11-pattern11-target137 3 359 1048 866 14
all-images-CVIU11-pattern11-target138 8 858 12403 11674 14
all-images-CVIU11-pattern11-target139 2 208 1144 1120 14
all-images-CVIU11-pattern11-target14 1 261 968 940 14
all-images-CVIU11-pattern11-target140 5 290 1504 1546 14
all-images-CVIU11-pattern11-target141 3 237 1129 1188 14
all-images-CVIU11-pattern11-target142 7 265 2527 2604 14
all-images-CVIU11-pattern11-target143 27 531 2035 1606 14
all-images-CVIU11-pattern11-target144 11 501 3726 4071 14
all-images-CVIU11-pattern11-target145 20 399 1450 1335 14
all-images-CVIU11-pattern11-target146 14 770 7822 7981 14
all-images-CVIU11-pattern11-target15 4 241 656 914 14
all-images-CVIU11-pattern11-target16 11 176 1287 1476 14
all-images-CVIU11-pattern11-target17 9 539 7068 6845 14
all-images-CVIU11-pattern11-target18 9 643 6364 6686 14
all-images-CVIU11-pattern11-target19 6 1195 15880 14928 14
all-images-CVIU11-pattern11-target2 0 336 2268 2141 14
all-images-CVIU11-pattern11-target20 15 675 8129 7874 14
all-images-CVIU11-pattern11-target21 15 681 5154 4838 14
all-images-CVIU11-pattern11-target22 4 387 2836 2493 14
all-images-CVIU11-pattern11-target23 6 1203 6447 6284 14
all-images-CVIU11-pattern11-target24 13 153 1131 771 14
all-images-CVIU11-pattern11-target25 5 538 2531 2432 14
all-images-CVIU11-pattern11-target26 4 273 1808 1374 14
all-images-CVIU11-pattern11-target27 32 479 4278 4288 14
all-images-CVIU11-pattern11-target28 7 361 892 1147 14
all-images-CVIU11-pattern11-target29 13 1153 13011 12371 14
all-images-CVIU11-pattern11-target3 6 945 7818 7425 14
all-images-CVIU11-pattern11-target30 20 808 8737 9153 14
all-images-CVIU11-pattern11-target31 6 777 5806 5813 14
all-images-CVIU11-pattern11-target32 12 966 14736 14534 14
all-images-CVIU11-pattern11-target33 12 840 12807 12761 14
all-images-CVIU11-pattern11-target34 6 702 4963 4751 14
all-images-CVIU11-pattern11-target35 13 1254 14493 13915 14
all-images-CVIU11-pattern11-target36 5 538 3123 3237 14
all-images-CVIU11-pattern11-target37 18 1102 11956 12009 14
all-images-CVIU11-pattern11-target38 10 713 10845 10697 14
all-images-CVIU11-pattern11-target39 9 601 3468 3171 14
all-images-CVIU11-pattern11-target4 13 558 5732 6351 14
