instance mcsplit-si-ll mcsplit-si-dom mcsplit-si-dom-D1 mcsplit-si-dom-D2 mcsplit-si-static mcsplit-si-adjmat-dom glasgow glasgow-nosupp ri ri-ds vf3 static-then-dom dom-then-static instance pattern_n pattern_d target_n target_d
si2_m4Dr2_m256.06 17 11 11 19 16 24 8 49 62 63 256 16 11 si2_m4Dr2_m256.06 51 0.0658824 256 0.0221507
si2_m4Dr2_m256.08 0 0 0 0 0 0 3 1 0 2 0 0 0 si2_m4Dr2_m256.08 51 0.0690196 256 0.0221507
si2_m4Dr2_m256.05 0 0 0 0 0 0 5 1 0 2 0 0 0 si2_m4Dr2_m256.05 51 0.0784314 256 0.0221507
si2_m4Dr2_m256.01 0 0 0 0 0 1 5 23 0 3 2 0 0 si2_m4Dr2_m256.01 51 0.067451 256 0.0221201
si2_m4Dr2_m256.02 0 0 0 0 0 1 5 3 0 2 1 0 0 si2_m4Dr2_m256.02 51 0.0729412 256 0.0221507
si6_r001_m600.09 1 1 1000000 1 1 5 127 50 1 85 1 1 1 si6_r001_m600.09 360 0.0201176 600 0.0201725
si6_r001_m600.00 33 49 61546 30 2 118 127 1735 6 94 126 2 49 si6_r001_m600.00 360 0.0200867 600 0.0201725
si6_r001_m600.07 2 1 1 1 1 7 217 140 13 65 167 1 1 si6_r001_m600.07 360 0.0205664 600 0.0201948
si6_r001_m600.03 4 3 3 3 2 13 211 220 10 71 19 2 3 si6_r001_m600.03 360 0.0206592 600 0.0201113
si6_r001_m600.01 2 3 2 2 1 7 201 282 1 62 127 1 3 si6_r001_m600.01 360 0.0205664 600 0.0201391
si6_r001_m600.06 1 1 1 1 1 5 119 65 0 88 1 1 1 si6_r001_m600.06 360 0.0206438 600 0.0200835
si6_r001_m600.08 2 1 1 1 1 5 141 130 1 94 208 1 1 si6_r001_m600.08 360 0.02052 600 0.0202003
si6_r001_m600.02 12 10 6 6 2 28 122 154 5 71 40 2 10 si6_r001_m600.02 360 0.0205973 600 0.0202115
si6_r001_m600.04 42 66 39 67 1 85 121 792 2 39 11 1 66 si6_r001_m600.04 360 0.0203188 600 0.0201614
si6_r001_m600.05 1 1 1 1 1 5 122 30 0 60 1 1 1 si6_r001_m600.05 360 0.0208759 600 0.0202003
si2_m4Dr2_m1296.05 1 0 1 0 1 18 72 30 0 72 0 1 0 si2_m4Dr2_m1296.05 259 0.0151447 1296 0.00459865
si2_m4Dr2_m1296.09 1 1 1 2 2 16 97 32 14 81 10 2 1 si2_m4Dr2_m1296.09 259 0.0145162 1296 0.00459865
si2_m4Dr2_m1296.02 4 4 6 4 16 48 170 44 27 122 19 16 4 si2_m4Dr2_m1296.02 259 0.0132292 1296 0.00459865
si2_m4Dr2_m1296.07 6 9 5 6 0 37 73 29 0 97 1 0 9 si2_m4Dr2_m1296.07 259 0.015025 1296 0.00459745
si2_m4Dr2_m1296.00 0 0 0 0 1 14 70 28 1 52 0 1 0 si2_m4Dr2_m1296.00 259 0.015444 1296 0.00459865
si2_m4Dr2_m1296.06 22 14 23 14 62 82 76 615 546 461 126 62 14 si2_m4Dr2_m1296.06 259 0.013738 1296 0.00459865
si2_m4Dr2_m1296.08 0 0 0 0 0 9 76 31 0 97 1 0 0 si2_m4Dr2_m1296.08 259 0.0135285 1296 0.00459865
si2_m4Dr2_m1296.01 92 93 60 61 158 363 89 5440 77 130 90 193 93 si2_m4Dr2_m1296.01 259 0.0142767 1296 0.00459626
si2_m4Dr2_m1296.03 1 0 1 0 1 12 72 31 0 71 1 1 0 si2_m4Dr2_m1296.03 259 0.0144563 1296 0.00459865
si2_m4Dr2_m1296.04 0 0 0 0 6 10 111 28 13 50 2 6 0 si2_m4Dr2_m1296.04 259 0.0157433 1296 0.00459865
si4_b06m_m800.08 0 0 0 0 1 5 69 22 0 28 1 1 0 si4_b06m_m800.08 320 0.0136364 800 0.00750313
si4_b06m_m800.00 0 0 0 0 1 7 43 22 0 28 1 1 0 si4_b06m_m800.00 320 0.0141066 800 0.00750939
